,ROC_daily_20
2000-01-31,0.5376
2000-02-29,68.2353
2000-03-31,-3.5928
2000-04-28,-1.5256
2000-05-31,7.9792
2000-06-30,-14.6067
2000-07-31,-12.3289
2000-08-31,69.4915
2000-09-29,-17.2500
2000-10-31,-23.8073
2000-11-30,-16.5882
2000-12-29,3.1433
2001-01-31,33.1915
2001-02-28,-38.2553
2001-03-30,-15.3271
2001-04-30,30.5464
2001-05-31,-11.6071
2001-06-29,-5.7734
2001-07-31,1.6575
2001-08-31,-2.3061
2001-09-28,-34.7956
2001-10-31,2.8417
2001-11-30,6.2500
2001-12-31,4.4471
2002-01-31,-3.4179
2002-02-28,-14.4598
2002-03-29,0
2002-04-30,-15.0735
2002-05-31,1.2721
2002-06-28,-18.8968
2002-07-31,-10.4089
2002-08-30,14.7619
2002-09-30,-18.2573
2002-10-31,28.9081
2002-11-29,14.5149
2002-12-31,-22.6005
2003-01-31,-7.6062
2003-02-28,23.7166
2003-03-31,-1.4337
2003-04-30,19.3514
2003-05-30,16.2545
2003-06-30,-6.8486
2003-07-31,5.9464
2003-08-29,3.7712
2003-09-30,-8.8249
2003-10-31,5.5476
2003-11-28,11.2638
2003-12-31,-7.6285
2004-01-30,4.8193
2004-02-27,4.9154
2004-03-31,-5.3804
2004-04-30,-13.0435
2004-05-31,0
2004-06-30,-2.7474
2004-07-30,-11.4827
2004-08-31,-9.1705
2004-09-30,10.4529
2004-10-29,0.9529
2004-11-30,-8.3581
2004-12-31,-2.0949
2005-01-31,-2.7898
2005-02-28,5.8728
2005-03-31,-4.1634
2005-04-29,-4.4805
2005-05-31,9.8439
2005-06-30,-1.5827
2005-07-29,5.0657
2005-08-31,-5.2598
2005-09-30,2.5967
2005-10-31,-6.9058
2005-11-30,10.2601
2005-12-30,-8.6115
2006-01-31,10.8726
2006-02-28,-4.3483
2006-03-31,-0.5971
2006-04-28,-0.9922
2006-05-31,-7.4252
2006-06-30,-6.6783
2006-07-31,0.5912
2006-08-31,-4.6603
2006-09-29,-4.0796
2006-10-31,9.1970
2006-11-30,3.1804
2006-12-29,1.0763
2007-01-31,-0.3651
2007-02-28,10.6001
2007-03-30,-1.9377
2007-04-30,11.9745
2007-05-31,-7.2801
2007-06-29,2.7012
2007-07-31,-7.7063
2007-08-31,4.5157
2007-09-28,-0.9858
2007-10-31,-7.2616
2007-11-30,-5.9866
2007-12-31,3.5810
2008-01-31,-6.6184
2008-02-29,-5.0776
2008-03-31,10.3742
2008-04-30,6.0935
2008-05-30,5.1030
2008-06-30,-8.8902
2008-07-31,-2.3367
2008-08-29,-6.7604
2008-09-30,-4.4944
2008-10-31,-13.3117
2008-11-28,-20.2797
2008-12-31,17.6751
2009-01-30,5.0473
2009-02-27,-8.8063
2009-03-31,6.7637
2009-04-30,12.0000
2009-05-29,15.6669
2009-06-30,1.2255
2009-07-31,10.8097
2009-08-31,3.0766
2009-09-30,-0.6484
2009-10-30,-2.3991
2009-11-30,17.0113
2009-12-31,3.9158
2010-01-29,-15.1134
2010-02-26,7.6980
2010-03-31,-1.2676
2010-04-30,3.8515
2010-05-31,0
2010-06-30,-6.5414
2010-07-30,6.4112
2010-08-31,-5.9544
2010-09-30,10.1053
2010-10-29,7.2635
2010-11-30,5.2071
2010-12-31,1.1004
2011-01-31,3.0794
2011-02-28,4.1253
2011-03-31,-3.8574
2011-04-29,2.3616
2011-05-31,2.5689
2011-06-30,-1.7570
2011-07-29,-12.1104
2011-08-31,-0.6711
2011-09-30,-4.8417
2011-10-31,17.7020
2011-11-30,-0.9032
2011-12-30,1.6189
2012-01-31,9.3628
2012-02-29,0.2044
2012-03-30,5.3215
2012-04-30,-3.5149
2012-05-31,-5.9456
2012-06-29,5.4001
2012-07-31,4.9409
2012-08-31,0.6072
2012-09-28,-0.5458
2012-10-31,-0.9587
2012-11-30,0.6695
2012-12-31,4.3621
2013-01-31,-0.8182
2013-02-28,3.1442
2013-03-29,0
2013-04-30,-2.6770
2013-05-31,4.6648
2013-06-28,-1.8942
2013-07-31,8.9826
2013-08-30,-6.5153
2013-09-30,1.6638
2013-10-31,6.4335
2013-11-29,-2.1907
2013-12-31,5.9609
2014-01-31,-2.0495
2014-02-28,4.7041
2014-03-31,5.0613
2014-04-30,-5.1590
2014-05-30,3.7967
2014-06-30,3.2461
2014-07-31,-8.7851
2014-08-29,2.2196
2014-09-30,-1.5124
2014-10-31,4.2875
2014-11-28,16.2553
2014-12-31,1.2199
2015-01-30,-6.1509
2015-02-27,10.7213
2015-03-31,7.2523
2015-04-30,-1.1667
2015-05-29,10.5402
2015-06-30,-5.2060
2015-07-31,-9.3973
2015-08-31,-4.0871
2015-09-30,5.3408
2015-10-30,7.9547
2015-11-30,2.5116
2015-12-31,-8.9233
2016-01-29,-4.7569
2016-02-29,-0.8177
2016-03-31,6.8219
2016-04-29,-4.5100
2016-05-31,3.3532
2016-06-30,-2.8140
2016-07-29,12.6942
2016-08-31,0.1735
2016-09-30,2.2042
2016-10-31,-0.2335
2016-11-30,17.3899
2016-12-30,5.2311
2017-01-31,3.1947
2017-02-28,7.9959
2017-03-31,-1.4787
2017-04-28,-7.2993
2017-05-31,13.5744
2017-06-30,-3.3085
2017-07-31,1.5553
2017-08-31,7.3518
2017-09-29,3.5594
2017-10-31,6.2864
2017-11-30,-4.8687
2017-12-29,3.3910
2018-01-31,1.7723
2018-02-28,-1.5292
2018-03-30,0
2018-04-30,-1.5775
2018-05-31,10.0566
2018-06-29,-2.0614
2018-07-31,-0.1765
2018-08-31,2.8701
2018-09-28,-6.1986
2018-10-31,-8.8424
2018-11-30,5.0072
2018-12-31,-4.1220
2019-01-31,15.0605
2019-02-28,8.5749
2019-03-29,-2.9233
2019-04-30,7.3513
2019-05-31,-16.9356
2019-06-28,16.8185
2019-07-31,3.4799
2019-08-30,-2.0465
2019-09-30,1.7299
2019-10-31,-3.8243
2019-11-29,5.9270
