,ROC_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,7.2622
2005-11-30,15.3602
2005-12-30,-5.3336
2006-01-31,-0.4878
2006-02-28,9.7544
2006-03-31,2.4091
2006-04-28,9.4643
2006-05-31,-4.6310
2006-06-30,-3.8941
2006-07-31,-0.1567
2006-08-31,0.5748
2006-09-29,2.5585
2006-10-31,7.8082
2006-11-30,7.2359
2006-12-29,0.7394
2007-01-31,7.9817
2007-02-28,-0.2913
2007-03-30,-0.0350
2007-04-30,4.0777
2007-05-31,4.1770
2007-06-29,0.4265
2007-07-31,-7.4620
2007-08-31,10.9071
2007-09-28,5.0433
2007-10-31,-1.5938
2007-11-30,-3.0558
2007-12-31,-6.0998
2008-01-31,-0.0721
2008-02-29,-8.4433
2008-03-31,2.3894
2008-04-30,-12.8111
2008-05-30,-5.7251
2008-06-30,-12.1219
2008-07-31,6.0115
2008-08-29,5.4369
2008-09-30,-15.2241
2008-10-31,-34.4461
2008-11-28,-2.0827
2008-12-31,37.3310
2009-01-30,-13.7414
2009-02-27,-24.3390
2009-03-31,40.6314
2009-04-30,26.2857
2009-05-29,14.6110
2009-06-30,-19.0190
2009-07-31,19.8310
2009-08-31,8.3333
2009-09-30,28.6018
2009-10-30,-4.3753
2009-11-30,9.9510
2009-12-31,-0.1286
2010-01-29,-2.0993
2010-02-26,0.5919
2010-03-31,11.5593
2010-04-30,0.4115
2010-05-31,0
2010-06-30,-10.3474
2010-07-30,18.3087
2010-08-31,2.1986
2010-09-30,3.4536
2010-10-29,8.2286
2010-11-30,1.2333
2010-12-31,7.1495
2011-01-31,7.1242
2011-02-28,5.2996
2011-03-31,-4.5625
2011-04-29,1.6045
2011-05-31,-0.4328
2011-06-30,-2.2207
2011-07-29,-6.2067
2011-08-31,-9.6481
2011-09-30,-10.4844
2011-10-31,25.0134
2011-11-30,4.6582
2011-12-30,9.1469
2012-01-31,7.8767
2012-02-29,4.6608
2012-03-30,2.3102
2012-04-30,-5.1112
2012-05-31,-10.2790
2012-06-29,14.0799
2012-07-31,-0.5193
2012-08-31,4.3321
2012-09-28,3.9230
2012-10-31,2.9817
2012-11-30,1.6588
2012-12-31,3.2306
2013-01-31,1.5931
2013-02-28,3.3458
2013-03-29,0
2013-04-30,1.4980
