,ROC_daily_20
2000-01-31,-14.8764
2000-02-29,-5.9323
2000-03-31,13.4811
2000-04-28,3.3944
2000-05-31,3.0173
2000-06-30,-14.2413
2000-07-31,13.2246
2000-08-31,4.6221
2000-09-29,-2.7704
2000-10-31,7.6412
2000-11-30,-10.6802
2000-12-29,-4.3630
2001-01-31,29.6813
2001-02-28,11.5018
2001-03-30,-9.1204
2001-04-30,2.1905
2001-05-31,9.6698
2001-06-29,5.6728
2001-07-31,-10.3080
2001-08-31,-2.1447
2001-09-28,-23.2526
2001-10-31,-2.7189
2001-11-30,10.4163
2001-12-31,10.4569
2002-01-31,12.7406
2002-02-28,13.4034
2002-03-29,0
2002-04-30,5.1866
2002-05-31,-9.5546
2002-06-28,5.2632
2002-07-31,-13.7905
2002-08-30,13.7209
2002-09-30,-13.9468
2002-10-31,1.6798
2002-11-29,4.5909
2002-12-31,-5.8768
2003-01-31,-5.5771
2003-02-28,-0.5263
2003-03-31,1.2254
2003-04-30,14.8947
2003-05-30,0.0912
2003-06-30,12.7027
2003-07-31,5.8939
2003-08-29,0.3347
2003-09-30,-5.1699
2003-10-31,10.9159
2003-11-28,3.1643
2003-12-31,6.1000
2004-01-30,9.4879
2004-02-27,11.1864
2004-03-31,2.8982
2004-04-30,2.8779
2004-05-31,0
2004-06-30,1.7964
2004-07-30,-0.4337
2004-08-31,2.5033
2004-09-30,16.9435
2004-10-29,1.5584
2004-11-30,7.2558
2004-12-31,0.5280
2005-01-31,-6.8283
2005-02-28,3.5294
2005-03-31,-0.2342
2005-04-29,-11.0546
2005-05-31,2.7208
2005-06-30,-2.9352
2005-07-29,7.4792
2005-08-31,-4.2020
2005-09-30,-12.2558
2005-10-31,0.0525
2005-11-30,2.9396
2005-12-30,-3.1905
2006-01-31,-7.5504
2006-02-28,4.2242
2006-03-31,-1.0692
2006-04-28,0.2044
2006-05-31,-4.3397
2006-06-30,-7.4589
2006-07-31,-11.0677
2006-08-31,-4.9039
2006-09-29,8.6760
2006-10-31,1.0911
2006-11-30,5.9033
2006-12-29,-1.4520
2007-01-31,6.9279
2007-02-28,-3.1157
2007-03-30,-0.9639
2007-04-30,2.8571
2007-05-31,4.3333
2007-06-29,-6.2356
2007-07-31,-15.2727
2007-08-31,-7.7403
2007-09-28,-8.1190
2007-10-31,-7.7718
2007-11-30,-4.0685
2007-12-31,-16.3806
2008-01-31,11.8203
2008-02-29,-13.9006
2008-03-31,-1.9644
2008-04-30,-0.5959
2008-05-30,-19.1740
2008-06-30,-21.5396
2008-07-31,27.7228
2008-08-29,5.1869
2008-09-30,-10.3086
2008-10-31,-68.0479
2008-11-28,-15.8758
2008-12-31,38.0328
2009-01-30,-33.9667
2009-02-27,5.4608
2009-03-31,32.1839
2009-04-30,62.0596
2009-05-29,-22.7425
2009-06-30,-18.0266
2009-07-31,79.0524
2009-08-31,23.3732
2009-09-30,37.7011
2009-10-30,-8.5824
2009-11-30,6.3908
2009-12-31,18.4529
2010-01-29,-15.2449
2010-02-26,2.8520
2010-03-31,33.1943
2010-04-30,32.8671
2010-05-31,0
2010-06-30,-27.0112
2010-07-30,33.2283
2010-08-31,-24.4352
2010-09-30,12.9918
2010-10-29,3.1311
2010-11-30,3.7464
2010-12-31,9.2075
2011-01-31,6.2967
2011-02-28,16.9036
2011-03-31,9.4705
2011-04-29,-8.1007
2011-05-31,-5.1619
2011-06-30,1.8981
2011-07-29,7.0098
2011-08-31,-20.7876
2011-09-30,-9.9423
2011-10-31,30.8148
2011-11-30,11.1678
2011-12-30,-1.2575
2012-01-31,18.1617
2012-02-29,12.0431
2012-03-30,12.0052
2012-04-30,2.0971
2012-05-31,-17.3897
2012-06-29,8.8682
2012-07-31,-1.8742
2012-08-31,9.3721
2012-09-28,-3.9474
2012-10-31,4.8444
2012-11-30,5.7047
2012-12-31,12.8832
2013-01-31,16.0835
2013-02-28,1.1379
2013-03-29,0
2013-04-30,-1.6770
2013-05-31,6.8088
2013-06-28,-4.8257
2013-07-31,15.0915
2013-08-30,-7.3631
2013-09-30,9.7635
2013-10-31,10.0195
2013-11-29,1.4918
2013-12-31,2.2874
2014-01-31,-8.4970
2014-02-28,5.6072
2014-03-31,1.2520
2014-04-30,-13.0651
2014-05-30,6.3299
2014-06-30,-1.5194
2014-07-31,-3.8388
2014-08-29,8.5773
2014-09-30,-3.8119
2014-10-31,9.8334
2014-11-28,8.4479
2014-12-31,3.6812
2015-01-30,5.8915
2015-02-27,-2.4522
2015-03-31,-6.0960
2015-04-30,-2.0935
2015-05-29,2.2387
2015-06-30,0.2167
2015-07-31,4.5490
2015-08-31,-4.8428
2015-09-30,0.4404
2015-10-30,12.3382
2015-11-30,-1.9245
2015-12-31,-3.6988
2016-01-29,-22.1832
2016-02-29,7.1296
2016-03-31,7.8445
2016-04-29,-0.4972
2016-05-31,-2.6799
2016-06-30,-5.1486
2016-07-29,9.4881
2016-08-31,-5.0077
2016-09-30,5.1520
2016-10-31,-11.0429
2016-11-30,17.4873
2016-12-30,5.8002
2017-01-31,9.7543
2017-02-28,1.5086
2017-03-31,0.8902
2017-04-28,-7.2409
2017-05-31,-1.2205
2017-06-30,11.0265
2017-07-31,-9.7561
2017-08-31,-5.9145
2017-09-29,6.6502
2017-10-31,-12.0660
2017-11-30,7.9549
2017-12-29,-0.2349
2018-01-31,12.1272
2018-02-28,-9.2590
2018-03-30,0
2018-04-30,4.5939
2018-05-31,6.6572
2018-06-29,-0.7847
2018-07-31,-3.6415
2018-08-31,4.7083
2018-09-28,1.6995
2018-10-31,-21.1197
2018-11-30,-0.2733
2018-12-31,-11.6584
2019-01-31,7.6364
2019-02-28,4.4093
2019-03-29,-6.1007
2019-04-30,0.5498
2019-05-31,-19.4366
2019-06-28,10.6316
2019-07-31,8.3297
2019-08-30,-1.2929
2019-09-30,11.8455
2019-10-31,14.5780
2019-11-29,1.3212
2019-12-31,3.2358
2020-01-31,4.7500
2020-02-28,-15.1270
2020-03-31,-34.0973
2020-04-30,52.6552
2020-05-29,15.7920
2020-06-30,11.2830
2020-07-31,3.3482
2020-08-31,-10.4828
2020-09-30,-7.7369
2020-10-30,2.5431
2020-11-30,17.5654
2020-12-31,2.8464
2021-01-29,10.4920
2021-02-26,1.2987
2021-03-31,4.8713
2021-04-30,10.5459
2021-05-31,0
2021-06-30,0.5450
2021-07-30,4.2957
2021-08-31,-7.2428
2021-09-30,-3.7093
2021-10-29,-4.3858
2021-11-30,-3.5221
2021-12-31,4.8288
2022-01-31,-9.8680
2022-02-28,6.2169
2022-03-31,-16.6684
