,ROC_daily_20
2000-01-31,-9.6904
2000-02-29,-4.8332
2000-03-31,25.0169
2000-04-28,3.1381
2000-05-31,-6.8452
2000-06-30,-3.8857
2000-07-31,2.1998
2000-08-31,-1.1915
2000-09-29,-4.0896
2000-10-31,-22.1654
2000-11-30,18.0122
2000-12-29,13.0347
2001-01-31,2.5474
2001-02-28,7.1448
2001-03-30,-2.3606
2001-04-30,13.6597
2001-05-31,1.6976
2001-06-29,4.5549
2001-07-31,9.9404
2001-08-31,0.4559
2001-09-28,-11.0491
2001-10-31,3.9644
2001-11-30,13.8166
2001-12-31,-2.1683
2002-01-31,3.0439
2002-02-28,14.3923
2002-03-29,0
2002-04-30,-0.3184
2002-05-31,-6.9766
2002-06-28,-4.8096
2002-07-31,3.1330
2002-08-30,13.3139
2002-09-30,-6.7573
2002-10-31,5.9170
2002-11-29,-0.1992
2002-12-31,-2.1105
2003-01-31,-13.3664
2003-02-28,-3.4094
2003-03-31,1.9389
2003-04-30,7.3595
2003-05-30,0.6925
2003-06-30,1.7170
2003-07-31,-6.1726
2003-08-29,2.8793
2003-09-30,-4.4229
2003-10-31,2.0525
2003-11-28,-1.1474
2003-12-31,7.6426
2004-01-30,-3.0600
2004-02-27,8.5884
2004-03-31,2.3219
2004-04-30,3.1704
2004-05-31,0
2004-06-30,2.9144
2004-07-30,-4.7482
2004-08-31,1.3101
2004-09-30,0.4156
2004-10-29,-0.1885
2004-11-30,4.8342
2004-12-31,2.7552
2005-01-31,-0.3094
2005-02-28,3.5627
2005-03-31,2.5371
2005-04-29,-10.3448
2005-05-31,-0.3062
2005-06-30,-3.0325
2005-07-29,1.7332
2005-08-31,-0.9324
2005-09-30,-5.0730
2005-10-31,7.9689
2005-11-30,5.6647
2005-12-30,-0.6063
2006-01-31,9.5084
2006-02-28,-0.8241
2006-03-31,6.0799
2006-04-28,-1.5952
2006-05-31,-2.5430
2006-06-30,-0.9702
2006-07-31,0.2613
2006-08-31,5.1252
2006-09-29,1.7337
2006-10-31,2.0024
2006-11-30,2.6927
2006-12-29,-0.4395
2007-01-31,-0.2060
2007-02-28,0.3679
2007-03-30,1.5202
2007-04-30,-0.5091
2007-05-31,0.2728
2007-06-29,-1.7762
2007-07-31,-11.9247
2007-08-31,4.3686
2007-09-28,-1.5223
2007-10-31,-5.1533
2007-11-30,-2.8423
2007-12-31,0.9215
2008-01-31,1.1550
2008-02-29,-7.8351
2008-03-31,2.4577
2008-04-30,-2.0849
2008-05-30,0.9197
2008-06-30,-14.5254
2008-07-31,27.4208
2008-08-29,0.2673
2008-09-30,-8.0351
2008-10-31,0.0000
2008-11-28,13.3334
2008-12-31,-7.7163
2009-01-30,-4.6875
2009-02-27,-18.9091
2009-03-31,21.1438
2009-04-30,13.9877
2009-05-29,5.3181
2009-06-30,-2.4768
2009-07-31,8.0460
2009-08-31,-0.8991
2009-09-30,-0.7660
2009-10-30,2.8264
2009-11-30,14.3397
2009-12-31,-4.0453
2010-01-29,-7.0553
2010-02-26,3.7255
2010-03-31,-2.1132
2010-04-30,2.3217
2010-05-31,0
2010-06-30,-5.6933
2010-07-30,10.7579
2010-08-31,-3.2891
2010-09-30,6.7945
2010-10-29,-0.6258
2010-11-30,1.5670
2010-12-31,0.2455
2011-01-31,-0.3368
2011-02-28,2.2185
2011-03-31,-0.8462
2011-04-29,-4.4803
2011-05-31,6.6889
2011-06-30,5.2336
2011-07-29,-6.4535
2011-08-31,0.0530
2011-09-30,-4.3407
2011-10-31,-0.4251
2011-11-30,7.4810
2011-12-30,3.1196
2012-01-31,3.9894
2012-02-29,1.0804
2012-03-30,2.6383
2012-04-30,0.3097
2012-05-31,-5.7443
2012-06-29,4.0850
2012-07-31,-1.5370
2012-08-31,0.1987
2012-09-28,4.2053
2012-10-31,4.9540
2012-11-30,1.1566
2012-12-31,-0.4167
2013-01-31,4.9412
2013-02-28,5.1527
2013-03-29,0
2013-04-30,-3.0310
2013-05-31,0.5347
2013-06-28,-0.0255
2013-07-31,4.2785
2013-08-30,-5.1766
2013-09-30,-1.9603
2013-10-31,3.8792
2013-11-29,-1.5308
2013-12-31,5.3227
2014-01-31,-5.6359
2014-02-28,2.3108
2014-03-31,0.2299
2014-04-30,1.3092
2014-05-30,3.8713
2014-06-30,-1.4542
2014-07-31,-3.1529
2014-08-29,4.9032
2014-09-30,-6.6306
2014-10-31,-0.0779
2014-11-28,5.4437
2014-12-31,11.3821
2015-01-30,-2.0128
2015-02-27,10.6140
2015-03-31,-4.5941
2015-04-30,-1.5102
2015-05-29,2.7079
2015-06-30,-1.9390
2015-07-31,-2.1515
2015-08-31,-3.6379
2015-09-30,-4.9940
2015-10-30,12.5645
2015-11-30,3.5638
2015-12-31,-3.7268
2016-01-29,5.4173
2016-02-29,3.1283
2016-03-31,3.6014
2016-04-29,-3.7960
2016-05-31,0.2148
2016-06-30,2.9388
2016-07-29,-0.8740
2016-08-31,5.4278
2016-09-30,-3.2068
2016-10-31,-3.2181
2016-11-30,4.1297
2016-12-30,-2.0082
2017-01-31,1.8821
2017-02-28,1.8668
2017-03-31,-1.1331
2017-04-28,-8.0998
2017-05-31,0.8358
2017-06-30,3.3058
2017-07-31,-8.3892
2017-08-31,1.5012
2017-09-29,6.9467
2017-10-31,-2.6595
2017-11-30,4.4213
2017-12-29,1.8542
2018-01-31,-2.2380
2018-02-28,-5.3979
2018-03-30,0
2018-04-30,-0.4143
2018-05-31,-0.3567
2018-06-29,-0.8690
2018-07-31,8.3805
2018-08-31,-3.7652
2018-09-28,-1.5198
2018-10-31,-3.3777
2018-11-30,5.9483
2018-12-31,-4.7323
2019-01-31,6.9177
2019-02-28,9.9579
2019-03-29,4.9366
2019-04-30,2.3877
2019-05-31,-0.1882
2019-06-28,1.2557
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
