,ROC_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,1.6789
2014-11-28,5.5220
2014-12-31,2.7273
2015-01-30,-3.8616
2015-02-27,2.8971
2015-03-31,-3.6342
2015-04-30,6.9376
2015-05-29,3.4292
2015-06-30,0.4413
2015-07-31,-3.6154
2015-08-31,-4.6485
2015-09-30,0.7176
2015-10-30,3.8018
2015-11-30,10.0372
2015-12-31,-1.6892
2016-01-29,-19.2015
2016-02-29,-9.0581
2016-03-31,-0.0477
2016-04-29,7.0258
2016-05-31,2.1249
2016-06-30,-16.1561
2016-07-29,11.7618
2016-08-31,10.2850
2016-09-30,0.7749
2016-10-31,7.5610
2016-11-30,24.8510
2016-12-30,3.6358
2017-01-31,1.9085
2017-02-28,2.6954
2017-03-31,-9.8147
2017-04-28,5.2466
2017-05-31,-7.4376
2017-06-30,4.5415
2017-07-31,-1.1771
2017-08-31,-5.9341
2017-09-29,14.3073
2017-10-31,3.6645
2017-11-30,6.0725
2017-12-29,3.1450
2018-01-31,8.0600
2018-02-28,-5.3532
2018-03-30,0
2018-04-30,0.9489
2018-05-31,-0.3901
2018-06-29,-6.5578
2018-07-31,1.7014
2018-08-31,1.8308
2018-09-28,-5.7429
2018-10-31,-3.0966
2018-11-30,-2.8067
2018-12-31,-17.4854
2019-01-31,12.2058
2019-02-28,6.8557
2019-03-29,-12.1622
2019-04-30,8.2074
2019-05-31,-10.1241
2019-06-28,8.5328
2019-07-31,7.4140
2019-08-30,-4.9845
2019-09-30,4.8311
2019-10-31,6.2347
2019-11-29,9.3857
2019-12-31,6.0037
2020-01-31,-7.5767
2020-02-28,-16.4073
2020-03-31,-39.6148
2020-04-30,31.6864
2020-05-29,7.6373
2020-06-30,0.4777
2020-07-31,6.1034
2020-08-31,6.7685
2020-09-30,-3.4008
2020-10-30,5.4889
2020-11-30,19.8532
2020-12-31,4.0745
2021-01-29,2.9379
2021-02-26,17.9406
2021-03-31,-1.0312
2021-04-30,3.8515
2021-05-31,0
2021-06-30,-8.1314
2021-07-30,-8.4096
2021-08-31,2.1460
2021-09-30,8.7500
2021-10-29,-1.0446
2021-11-30,-1.4798
2021-12-31,-1.7058
2022-01-31,9.7529
2022-02-28,1.3926
2022-03-31,-9.6832
