,ROC_daily_20
2000-01-31,15.2005
2000-02-29,-15.1280
2000-03-31,6.3183
2000-04-28,11.1111
2000-05-31,4.3567
2000-06-30,-2.2708
2000-07-31,9.4182
2000-08-31,12.3595
2000-09-29,15.1864
2000-10-31,0.6521
2000-11-30,4.3442
2000-12-29,-5.2146
2001-01-31,-11.6133
2001-02-28,13.0101
2001-03-30,5.5569
2001-04-30,9.4057
2001-05-31,2.6658
2001-06-29,-11.7221
2001-07-31,-1.3793
2001-08-31,-0.7566
2001-09-28,-2.3226
2001-10-31,-3.0051
2001-11-30,-5.9584
2001-12-31,8.6030
2002-01-31,-12.3869
2002-02-28,3.9098
2002-03-29,0
2002-04-30,1.0013
2002-05-31,-14.2201
2002-06-28,-2.8429
2002-07-31,-15.0333
2002-08-30,11.6895
2002-09-30,-27.1338
2002-10-31,5.7821
2002-11-29,-2.2352
2002-12-31,1.6121
2003-01-31,-14.4651
2003-02-28,-18.5326
2003-03-31,8.5075
2003-04-30,27.8343
2003-05-30,16.8677
2003-06-30,3.3679
2003-07-31,-9.8613
2003-08-29,-0.3657
2003-09-30,1.1357
2003-10-31,1.3400
2003-11-28,2.1421
2003-12-31,15.0816
2004-01-30,6.2592
2004-02-27,0.8980
2004-03-31,2.6806
2004-04-30,-7.1429
2004-05-31,0
2004-06-30,2.1652
2004-07-30,6.9120
2004-08-31,2.9949
2004-09-30,4.0455
2004-10-29,6.1445
2004-11-30,2.7187
2004-12-31,3.6416
2005-01-31,5.7639
2005-02-28,4.3132
2005-03-31,2.8645
2005-04-29,3.0720
2005-05-31,-4.5284
2005-06-30,6.5591
2005-07-29,-0.6391
2005-08-31,-1.1845
2005-09-30,0.5862
2005-10-31,-8.9409
2005-11-30,3.7708
2005-12-30,1.3663
2006-01-31,3.2787
2006-02-28,1.2180
2006-03-31,2.8582
2006-04-28,-1.5218
2006-05-31,-1.0921
2006-06-30,1.9792
2006-07-31,3.2346
2006-08-31,-1.1629
2006-09-29,0.6667
2006-10-31,1.2480
2006-11-30,0.7646
2006-12-29,4.6974
2007-01-31,2.2726
2007-02-28,2.1367
2007-03-30,4.1047
2007-04-30,1.1336
2007-05-31,-5.0878
2007-06-29,-5.7187
2007-07-31,-7.9459
2007-08-31,8.4960
2007-09-28,3.4311
2007-10-31,-0.2082
2007-11-30,6.3602
2007-12-31,1.9202
2008-01-31,-5.5696
2008-02-29,-4.8285
2008-03-31,1.7674
2008-04-30,0.0546
2008-05-30,0.1581
2008-06-30,-4.0309
2008-07-31,1.8540
2008-08-29,2.8879
2008-09-30,0.5190
2008-10-31,-5.6452
2008-11-28,-6.1562
2008-12-31,3.5172
2009-01-30,0.9327
2009-02-27,-11.2435
2009-03-31,17.1849
2009-04-30,-3.1557
2009-05-29,4.1784
2009-06-30,3.4752
2009-07-31,7.4254
2009-08-31,1.0488
2009-09-30,2.9431
2009-10-30,2.8609
2009-11-30,7.0001
2009-12-31,-0.2319
2010-01-29,-5.1091
2010-02-26,-0.1689
2010-03-31,-0.4878
2010-04-30,2.2547
2010-05-31,0
2010-06-30,0.2506
2010-07-30,7.0758
2010-08-31,0.3224
2010-09-30,1.5482
2010-10-29,2.1312
2010-11-30,-1.4503
2010-12-31,0.2815
2011-01-31,0.3930
2011-02-28,1.5434
2011-03-31,0.3872
2011-04-29,2.7548
2011-05-31,1.0107
2011-06-30,1.1822
2011-07-29,-1.2215
2011-08-31,3.9786
2011-09-30,6.2733
2011-10-31,3.6022
2011-11-30,4.4934
2011-12-30,6.2802
2012-01-31,-3.1364
2012-02-29,-0.6542
2012-03-30,-0.1426
2012-04-30,1.9990
2012-05-31,3.5237
2012-06-29,3.1767
2012-07-31,-2.9496
2012-08-31,-4.4866
2012-09-28,-0.0309
2012-10-31,2.0348
2012-11-30,-1.0507
2012-12-31,-0.0313
2013-01-31,5.7376
2013-02-28,2.3083
2013-03-29,0
2013-04-30,3.5527
2013-05-31,-9.5497
2013-06-28,0.8516
2013-07-31,5.6862
2013-08-30,-7.5382
2013-09-30,1.7988
2013-10-31,8.1411
2013-11-29,-1.3949
2013-12-31,-0.8619
2014-01-31,3.6396
2014-02-28,2.5327
2014-03-31,1.6702
2014-04-30,5.4054
2014-05-30,-3.6499
2014-06-30,4.7142
2014-07-31,-0.1246
2014-08-29,2.5765
2014-09-30,1.7971
2014-10-31,9.2856
2014-11-28,-0.7103
2014-12-31,1.4574
2015-01-30,4.3093
2015-02-27,-11.2433
2015-03-31,-0.9418
2015-04-30,0.9632
2015-05-29,-1.3294
2015-06-30,-5.9027
2015-07-31,2.3301
2015-08-31,-4.3700
2015-09-30,4.1854
2015-10-30,-0.6809
2015-11-30,-4.0300
2015-12-31,7.9540
2016-01-29,4.3081
2016-02-29,-0.3128
2016-03-31,9.5749
2016-04-29,-2.8966
2016-05-31,0.1683
2016-06-30,8.6775
2016-07-29,-0.2331
2016-08-31,-5.4928
2016-09-30,0.8950
2016-10-31,1.1759
2016-11-30,-5.0239
2016-12-30,6.6942
2017-01-31,1.1853
2017-02-28,8.2330
