,ROC_daily_20
2000-01-31,12.4240
2000-02-29,-9.8867
2000-03-31,-35.3882
2000-04-28,16.5133
2000-05-31,14.2027
2000-06-30,-0.7641
2000-07-31,-3.9512
2000-08-31,0.0483
2000-09-29,-6.6634
2000-10-31,19.4000
2000-11-30,-4.6550
2000-12-29,-31.8657
2001-01-31,-11.0667
2001-02-28,3.4722
2001-03-30,-15.2247
2001-04-30,-22.0728
2001-05-31,15.5816
2001-06-29,1.3636
2001-07-31,20.6186
2001-08-31,-2.9936
2001-09-28,-7.3239
2001-10-31,-9.4904
2001-11-30,3.4247
2001-12-31,0.0000
2002-01-31,0.0000
2002-02-28,3.6066
2002-03-29,0
2002-04-30,8.7478
2002-05-31,2.2466
2002-06-28,-8.8960
2002-07-31,-17.6101
2002-08-30,3.6332
2002-09-30,-16.5275
2002-10-31,-6.2500
2002-11-29,10.3483
2002-12-31,8.8154
2003-01-31,-2.9898
2003-02-28,6.2769
2003-03-31,9.5200
2003-04-30,7.2006
2003-05-30,11.9670
2003-06-30,-0.4242
2003-07-31,-1.0253
2003-08-29,16.7079
2003-09-30,1.1117
2003-10-31,0.7669
2003-11-28,2.5615
2003-12-31,4.1805
2004-01-30,1.2341
2004-02-27,4.0559
2004-03-31,3.5197
2004-04-30,-3.9803
2004-05-31,0
2004-06-30,5.6972
2004-07-30,5.0157
2004-08-31,1.7026
2004-09-30,-0.4467
2004-10-29,14.0187
2004-11-30,5.3849
2004-12-31,3.8238
2005-01-31,1.3737
2005-02-28,1.5317
2005-03-31,8.1228
2005-04-29,3.5663
2005-05-31,0.2182
2005-06-30,10.4230
2005-07-29,0.8138
2005-08-31,9.1636
2005-09-30,4.8151
2005-10-31,-10.5478
2005-11-30,3.9392
2005-12-30,-4.1633
2006-01-31,0.4815
2006-02-28,0.1128
2006-03-31,-6.3037
2006-04-28,-3.3947
2006-05-31,-0.7336
2006-06-30,-2.5855
2006-07-31,6.1026
2006-08-31,3.6826
2006-09-29,-3.9771
2006-10-31,4.6879
2006-11-30,2.3370
2006-12-29,-0.4613
2007-01-31,-1.0994
2007-02-28,3.6841
2007-03-30,4.4556
2007-04-30,6.5540
2007-05-31,8.4093
2007-06-29,-3.1381
2007-07-31,-7.8411
2007-08-31,-1.3845
2007-09-28,5.7105
2007-10-31,4.0437
2007-11-30,-0.7974
2007-12-31,-4.1189
2008-01-31,-2.0347
2008-02-29,-5.0000
2008-03-31,-0.1541
2008-04-30,3.1843
2008-05-30,1.1785
2008-06-30,-1.2789
2008-07-31,-5.2528
2008-08-29,-1.8803
2008-09-30,-11.4654
2008-10-31,-9.8759
2008-11-28,-5.8625
2008-12-31,1.1656
2009-01-30,1.4010
2009-02-27,-17.3649
2009-03-31,17.2247
2009-04-30,-1.3495
2009-05-29,2.5605
2009-06-30,6.0824
2009-07-31,5.3455
2009-08-31,3.4045
2009-09-30,2.3423
2009-10-30,-2.1525
2009-11-30,7.0082
2009-12-31,-0.2588
2010-01-29,-5.6892
2010-02-26,-2.5097
2010-03-31,3.5577
2010-04-30,0.2041
2010-05-31,0
2010-06-30,-1.2773
2010-07-30,5.8767
2010-08-31,-0.0296
2010-09-30,-0.0819
2010-10-29,6.5550
2010-11-30,-0.2700
2010-12-31,2.9871
2011-01-31,-6.0104
2011-02-28,2.2308
2011-03-31,-2.7617
2011-04-29,7.3244
2011-05-31,0.2803
2011-06-30,0.7235
2011-07-29,-1.7548
2011-08-31,0.8406
2011-09-30,4.5459
2011-10-31,9.4045
2011-11-30,-1.7250
2011-12-30,6.6370
2012-01-31,-0.8696
2012-02-29,2.0224
2012-03-30,0.0600
2012-04-30,3.5286
2012-05-31,2.9540
2012-06-29,4.8622
2012-07-31,-0.8162
2012-08-31,-4.1585
2012-09-28,5.0364
2012-10-31,2.0888
2012-11-30,-2.6333
2012-12-31,0.1079
2013-01-31,4.7381
2013-02-28,0.8186
2013-03-29,0
2013-04-30,5.9055
2013-05-31,-12.5452
2013-06-28,5.5809
2013-07-31,6.5171
2013-08-30,-7.0488
2013-09-30,1.1085
2013-10-31,7.0057
2013-11-29,-5.7516
2013-12-31,1.1875
2014-01-31,6.0092
2014-02-28,9.2179
2014-03-31,9.7937
2014-04-30,-0.1060
2014-05-30,-2.7513
2014-06-30,5.0263
2014-07-31,-2.8713
2014-08-29,5.7204
2014-09-30,-4.0317
2014-10-31,10.5654
2014-11-28,1.5985
2014-12-31,2.5217
2015-01-30,4.0776
2015-02-27,-6.9515
2015-03-31,-1.3344
2015-04-30,-3.1622
2015-05-29,-0.2133
2015-06-30,-5.9579
2015-07-31,4.2745
2015-08-31,-2.7764
2015-09-30,10.9898
2015-10-30,-4.1191
2015-11-30,-1.9167
2015-12-31,1.7223
2016-01-29,2.4876
2016-02-29,10.2913
2016-03-31,8.0611
2016-04-29,-1.7098
2016-05-31,0.2660
2016-06-30,8.9190
2016-07-29,-0.3734
2016-08-31,-4.2906
2016-09-30,0.0283
2016-10-31,2.9276
2016-11-30,-5.1448
2016-12-30,5.8035
2017-01-31,1.2363
2017-02-28,10.8578
2017-03-31,0.8316
2017-04-28,0.6038
2017-05-31,3.1096
2017-06-30,-3.9956
2017-07-31,0.6267
2017-08-31,0.9315
2017-09-29,-3.0809
2017-10-31,3.8177
2017-11-30,2.7693
2017-12-29,-21.4490
2018-01-31,-1.1383
2018-02-28,-3.0560
2018-03-30,0
2018-04-30,3.8352
2018-05-31,-2.3102
2018-06-29,4.9885
2018-07-31,4.3540
2018-08-31,-1.9248
2018-09-28,2.8063
2018-10-31,1.3881
2018-11-30,-18.8737
2018-12-31,4.8567
2019-01-31,0.3877
2019-02-28,7.2721
2019-03-29,1.9901
2019-04-30,1.7065
2019-05-31,-0.5528
2019-06-28,13.5422
2019-07-31,12.0006
2019-08-30,-2.0068
2019-09-30,5.2010
2019-10-31,-14.9425
2019-11-29,9.8569
2019-12-31,6.2793
2020-01-31,2.9175
2020-02-28,-12.3647
2020-03-31,-18.8722
2020-04-30,14.5114
2020-05-29,-1.0220
2020-06-30,-9.2716
2020-07-31,0.2341
2020-08-31,-2.6887
2020-09-30,-0.6461
2020-10-30,8.8155
2020-11-30,9.4932
2020-12-31,2.0989
2021-01-29,-5.6304
2021-02-26,-8.3206
2021-03-31,6.1884
2021-04-30,1.9900
2021-05-31,0
2021-06-30,3.0843
2021-07-30,-4.7956
2021-08-31,4.4232
2021-09-30,-3.6380
2021-10-29,14.3350
2021-11-30,3.1280
2021-12-31,5.2930
2022-01-31,-8.0000
2022-02-28,2.2573
2022-03-31,8.5156
