,ROC_daily_20
2000-01-31,-4.0432
2000-02-29,-16.6479
2000-03-31,21.7740
2000-04-28,3.0610
2000-05-31,7.3508
2000-06-30,-3.3920
2000-07-31,1.8549
2000-08-31,7.4599
2000-09-29,1.1932
2000-10-31,8.3985
2000-11-30,2.9035
2000-12-29,8.1367
2001-01-31,-0.4062
2001-02-28,-8.7355
2001-03-30,-6.5139
2001-04-30,7.5000
2001-05-31,4.6226
2001-06-29,-10.6087
2001-07-31,-6.7620
2001-08-31,-5.8290
2001-09-28,-16.7816
2001-10-31,3.2000
2001-11-30,6.5378
2001-12-31,5.6234
2002-01-31,1.7741
2002-02-28,1.5067
2002-03-29,0
2002-04-30,-6.1357
2002-05-31,8.7019
2002-06-28,-7.5022
2002-07-31,-2.2448
2002-08-30,5.3923
2002-09-30,-9.9221
2002-10-31,5.8668
2002-11-29,9.0655
2002-12-31,-4.2012
2003-01-31,-10.5755
2003-02-28,2.8215
2003-03-31,-3.2224
2003-04-30,9.8592
2003-05-30,5.0057
2003-06-30,-2.7408
2003-07-31,3.3288
2003-08-29,5.0911
2003-09-30,-7.2900
2003-10-31,6.3730
2003-11-28,9.0974
2003-12-31,4.5535
2004-01-30,-1.3127
2004-02-27,-1.2645
2004-03-31,-3.3704
2004-04-30,0.4504
2004-05-31,0
2004-06-30,6.4311
2004-07-30,-2.9421
2004-08-31,-0.0460
2004-09-30,-0.2739
2004-10-29,0.2347
2004-11-30,4.5934
2004-12-31,3.7596
2005-01-31,-4.0799
2005-02-28,2.0287
2005-03-31,-1.9629
2005-04-29,-2.0169
2005-05-31,4.5067
2005-06-30,-6.4106
2005-07-29,5.0615
2005-08-31,-0.7178
2005-09-30,6.6548
2005-10-31,-3.0662
2005-11-30,8.3349
2005-12-30,-3.2885
2006-01-31,3.6814
2006-02-28,6.5476
2006-03-31,0.2397
2006-04-28,1.2636
2006-05-31,-4.1448
2006-06-30,1.2076
2006-07-31,-5.8346
2006-08-31,2.3254
2006-09-29,2.0816
2006-10-31,0.4403
2006-11-30,4.3519
2006-12-29,1.7070
2007-01-31,1.9959
2007-02-28,-1.9326
2007-03-30,1.2929
2007-04-30,9.0508
2007-05-31,4.8934
2007-06-29,-4.0984
2007-07-31,-0.8426
2007-08-31,6.3167
2007-09-28,10.9675
2007-10-31,-1.2656
2007-11-30,11.6630
2007-12-31,-0.6314
2008-01-31,-7.9572
2008-02-29,0.9222
2008-03-31,0.9812
2008-04-30,-2.5364
2008-05-30,9.7948
2008-06-30,-14.0150
2008-07-31,1.1633
2008-08-29,-2.7358
2008-09-30,-12.8791
2008-10-31,-14.3194
2008-11-28,11.4936
2008-12-31,14.2278
2009-01-30,-10.6801
2009-02-27,-19.7971
2009-03-31,13.1881
2009-04-30,15.2726
2009-05-29,-4.8035
2009-06-30,-6.5744
2009-07-31,14.4385
2009-08-31,2.1633
2009-09-30,10.9635
2009-10-30,-1.4618
2009-11-30,10.5826
2009-12-31,1.4769
2010-01-29,-4.1532
2010-02-26,14.4439
2010-03-31,5.0720
2010-04-30,2.7543
2010-05-31,0
2010-06-30,-6.8245
2010-07-30,13.3638
2010-08-31,-7.6055
2010-09-30,8.4432
2010-10-29,2.2918
2010-11-30,-1.0038
2010-12-31,0.5452
2011-01-31,2.9911
2011-02-28,5.3326
2011-03-31,-3.4694
2011-04-29,4.0048
2011-05-31,-9.7264
2011-06-30,8.4651
2011-07-29,-12.7289
2011-08-31,-3.1503
2011-09-30,-9.4079
2011-10-31,18.2600
2011-11-30,8.9856
2011-12-30,-10.1273
2012-01-31,10.2812
2012-02-29,-1.3141
2012-03-30,3.8821
2012-04-30,0.6899
2012-05-31,-4.7304
2012-06-29,2.0820
2012-07-31,5.2203
2012-08-31,5.3893
2012-09-28,-4.8680
2012-10-31,1.0432
2012-11-30,0.5474
2012-12-31,5.4350
2013-01-31,4.8535
2013-02-28,-0.1921
2013-03-29,0
2013-04-30,1.1295
2013-05-31,3.6966
2013-06-28,-5.0818
2013-07-31,10.7562
2013-08-30,-2.8477
2013-09-30,7.1724
2013-10-31,5.0839
2013-11-29,0.6733
2013-12-31,5.1228
2014-01-31,-4.8485
2014-02-28,-1.3352
2014-03-31,3.8073
2014-04-30,1.2775
2014-05-30,-1.2261
2014-06-30,-1.2059
2014-07-31,-4.4868
2014-08-29,1.6666
2014-09-30,-2.6901
2014-10-31,2.6274
2014-11-28,1.2580
2014-12-31,-2.8486
2015-01-30,-7.7596
2015-02-27,2.6580
2015-03-31,-3.0147
2015-04-30,5.2603
2015-05-29,3.3142
2015-06-30,-8.0763
2015-07-31,-7.3577
2015-08-31,-6.1427
2015-09-30,-4.5386
2015-10-30,6.8794
2015-11-30,6.9171
2015-12-31,-2.2081
2016-01-29,-5.2545
2016-02-29,7.3005
2016-03-31,7.8754
2016-04-29,-0.2192
2016-05-31,-4.9313
2016-06-30,-0.1531
2016-07-29,7.1702
2016-08-31,0.4503
2016-09-30,3.5131
2016-10-31,-5.7993
2016-11-30,11.7015
2016-12-30,-1.7967
2017-01-31,5.2197
2017-02-28,2.3887
2017-03-31,-0.8448
2017-04-28,1.1240
2017-05-31,0.7464
2017-06-30,0.4719
2017-07-31,-0.0168
2017-08-31,-1.9247
2017-09-29,6.4363
2017-10-31,1.7843
2017-11-30,2.0020
2017-12-29,7.5131
2018-01-31,2.1063
2018-02-28,-1.2805
2018-03-30,0
2018-04-30,0.1961
2018-05-31,5.4991
2018-06-29,-3.1246
2018-07-31,4.0899
2018-08-31,8.0486
2018-09-28,0.2881
2018-10-31,-13.5507
2018-11-30,-2.7865
2018-12-31,-11.2580
2019-01-31,9.5732
2019-02-28,4.5095
2019-03-29,0.1023
2019-04-30,1.2263
2019-05-31,-13.4243
2019-06-28,10.7570
2019-07-31,-2.1418
2019-08-30,-2.5176
2019-09-30,12.2000
2019-10-31,8.9286
2019-11-29,6.0125
2019-12-31,3.9531
2020-01-31,-7.5503
2020-02-28,-12.5718
2020-03-31,-25.2432
2020-04-30,24.7921
2020-05-29,7.9985
2020-06-30,1.4391
2020-07-31,0.5839
2020-08-31,11.4622
2020-09-30,-6.5022
2020-10-30,-1.1443
2020-11-30,19.3743
2020-12-31,5.8893
2021-01-29,-0.5888
2021-02-26,6.5730
2021-03-31,1.9090
2021-04-30,0.0885
2021-05-31,0
2021-06-30,-1.2721
2021-07-30,4.0962
2021-08-31,4.7961
2021-09-30,-9.4666
2021-10-29,1.9441
2021-11-30,-9.7996
2021-12-31,2.8657
2022-01-31,-1.0971
2022-02-28,2.9809
2022-03-31,5.1813
