,ROC_daily_20
2000-01-31,-1.5328
2000-02-29,8.2192
2000-03-31,24.6854
2000-04-28,-7.0244
2000-05-31,-3.3857
2000-06-30,-6.5903
2000-07-31,-13.7014
2000-08-31,5.0788
2000-09-29,7.2452
2000-10-31,8.0000
2000-11-30,-0.9679
2000-12-29,10.5518
2001-01-31,17.5214
2001-02-28,9.5536
2001-03-30,-1.7208
2001-04-30,-0.7393
2001-05-31,8.5938
2001-06-29,-7.1323
2001-07-31,14.3786
2001-08-31,6.2323
2001-09-28,-8.0426
2001-10-31,0.1041
2001-11-30,1.3950
2001-12-31,0.8188
2002-01-31,13.9142
2002-02-28,-0.0609
2002-03-29,0
2002-04-30,6.9221
2002-05-31,2.7984
2002-06-28,-1.9033
2002-07-31,-12.8094
2002-08-30,8.9695
2002-09-30,-5.6303
2002-10-31,22.1341
2002-11-29,-4.2222
2002-12-31,6.2890
2003-01-31,-5.3128
2003-02-28,-5.1110
2003-03-31,11.3111
2003-04-30,9.9711
2003-05-30,9.0338
2003-06-30,6.0920
2003-07-31,-1.1594
2003-08-29,6.8442
2003-09-30,-1.4438
2003-10-31,5.6444
2003-11-28,-10.0699
2003-12-31,-3.2328
2004-01-30,-3.4560
2004-02-27,8.4688
2004-03-31,-4.3123
2004-04-30,-8.1189
2004-05-31,0
2004-06-30,-3.1159
2004-07-30,-7.7483
2004-08-31,-2.9358
2004-09-30,4.4675
2004-10-29,11.0902
2004-11-30,-1.0135
2004-12-31,7.2666
2005-01-31,7.1085
2005-02-28,0.5805
2005-03-31,-8.4156
2005-04-29,-9.0051
2005-05-31,-5.1367
2005-06-30,4.0564
2005-07-29,-1.1494
2005-08-31,-20.2247
2005-09-30,0.2442
2005-10-31,10.8663
2005-11-30,2.8793
2005-12-30,5.8945
2006-01-31,-3.3885
2006-02-28,7.1220
2006-03-31,3.4901
2006-04-28,-5.4820
2006-05-31,0.4423
2006-06-30,-0.6128
2006-07-31,-6.9996
2006-08-31,8.8085
2006-09-29,14.7775
2006-10-31,0.1360
2006-11-30,-3.9270
2006-12-29,5.5482
2007-01-31,10.4671
2007-02-28,-8.3544
2007-03-30,3.5236
2007-04-30,7.4949
2007-05-31,2.1865
2007-06-29,1.6968
2007-07-31,-12.3928
2007-08-31,3.6093
2007-09-28,-5.4652
2007-10-31,-7.6166
2007-11-30,-1.1335
2007-12-31,-17.8551
2008-01-31,12.3332
2008-02-29,-8.9829
2008-03-31,2.4920
2008-04-30,0.0000
2008-05-30,-2.5057
2008-06-30,-4.0713
2008-07-31,6.1503
2008-08-29,3.5744
2008-09-30,-4.8069
2008-10-31,9.6130
2008-11-28,2.7747
2008-12-31,4.3761
2009-01-30,6.5209
2009-02-27,-0.6157
