,ROC_daily_20
2000-01-31,-10.2360
2000-02-29,6.0476
2000-03-31,0.6115
2000-04-28,8.9497
2000-05-31,8.3170
2000-06-30,-2.1969
2000-07-31,-2.2886
2000-08-31,12.4973
2000-09-29,-7.4801
2000-10-31,-25.3274
2000-11-30,-13.1314
2000-12-29,8.5980
2001-01-31,11.8989
2001-02-28,-0.7946
2001-03-30,-11.0600
2001-04-30,17.5782
2001-05-31,15.9801
2001-06-29,-22.6070
2001-07-31,2.5183
2001-08-31,-20.7622
2001-09-28,-27.1310
2001-10-31,10.5687
2001-11-30,-10.1228
2001-12-31,-38.8707
2002-01-31,12.0619
2002-02-28,24.1644
2002-03-29,0
2002-04-30,-0.1763
2002-05-31,6.6705
2002-06-28,-13.4707
2002-07-31,-8.9655
2002-08-30,27.0903
2002-09-30,-14.2965
2002-10-31,10.8219
2002-11-29,32.9783
2002-12-31,-9.9615
2003-01-31,-2.1898
2003-02-28,7.7660
2003-03-31,1.7559
2003-04-30,1.8554
2003-05-30,12.3294
2003-06-30,-1.4757
2003-07-31,-2.4208
2003-08-29,8.7230
2003-09-30,-1.0204
2003-10-31,-5.9472
2003-11-28,0.4493
2003-12-31,10.4503
2004-01-30,15.9615
2004-02-27,5.7228
2004-03-31,-3.5238
2004-04-30,-0.7989
2004-05-31,0
2004-06-30,3.6301
2004-07-30,4.8893
2004-08-31,-6.6444
2004-09-30,12.7510
2004-10-29,7.6744
2004-11-30,12.8911
2004-12-31,1.6317
2005-01-31,4.8165
2005-02-28,7.6641
2005-03-31,-1.1203
2005-04-29,-6.8533
2005-05-31,0.1987
2005-06-30,11.1059
2005-07-29,17.2104
2005-08-31,5.7627
2005-09-30,8.4864
2005-10-31,-14.2484
2005-11-30,6.2250
2005-12-30,-5.1149
2006-01-31,28.5023
2006-02-28,-15.7185
2006-03-31,2.6138
2006-04-28,5.1817
2006-05-31,-7.6417
2006-06-30,-3.3472
2006-07-31,-10.0930
2006-08-31,-3.0135
2006-09-29,-12.7836
2006-10-31,21.7539
2006-11-30,7.2478
2006-12-29,-7.9727
2007-01-31,-4.8631
2007-02-28,5.7144
2007-03-30,2.4532
2007-04-30,0.0945
2007-05-31,12.8707
2007-06-29,-3.7120
2007-07-31,3.0615
2007-08-31,1.2032
2007-09-28,12.5440
2007-10-31,0.7411
2007-11-30,-6.3296
2007-12-31,3.5509
2008-01-31,-14.2673
2008-02-29,15.7318
2008-03-31,2.6893
2008-04-30,14.2608
2008-05-30,8.3488
2008-06-30,10.4475
2008-07-31,-15.3381
2008-08-29,-3.7200
2008-09-30,-24.2162
2008-10-31,-26.1567
2008-11-28,-11.8678
2008-12-31,17.8988
2009-01-30,-5.1155
2009-02-27,-8.9900
2009-03-31,3.6863
2009-04-30,30.0322
2009-05-29,13.8508
2009-06-30,-12.4736
2009-07-31,14.3375
2009-08-31,3.0303
2009-09-30,15.3552
2009-10-30,13.4810
2009-11-30,0.5135
2009-12-31,3.9378
2010-01-29,-2.5359
2010-02-26,1.9899
2010-03-31,-4.9527
2010-04-30,-0.2928
2010-05-31,0
2010-06-30,3.6740
2010-07-30,19.6157
2010-08-31,-9.2977
2010-09-30,11.2344
2010-10-29,-4.4104
2010-11-30,20.4328
2010-12-31,0.5417
2011-01-31,10.2131
2011-02-28,7.1787
2011-03-31,5.0590
2011-04-29,1.2841
2011-05-31,2.6983
2011-06-30,1.6949
2011-07-29,7.3137
2011-08-31,-16.2044
2011-09-30,-29.0563
2011-10-31,30.2650
2011-11-30,4.6525
2011-12-30,-5.2183
2012-01-31,6.5778
2012-02-29,-0.5166
2012-03-30,-7.6972
2012-04-30,3.1033
2012-05-31,-12.8443
2012-06-29,-4.9831
2012-07-31,15.8392
2012-08-31,-2.6955
2012-09-28,2.9642
2012-10-31,-4.0986
2012-11-30,2.0502
2012-12-31,4.3012
2013-01-31,13.9177
2013-02-28,3.2587
2013-03-29,0
2013-04-30,7.2199
2013-05-31,-1.2972
2013-06-28,-0.0167
2013-07-31,5.6088
2013-08-30,3.9417
2013-09-30,0.3125
2013-10-31,9.5661
2013-11-29,-0.6600
2013-12-31,-2.1335
2014-01-31,-1.9996
2014-02-28,15.2913
2014-03-31,4.4519
2014-04-30,5.7689
2014-05-30,2.7500
2014-06-30,9.2293
2014-07-31,-2.5840
2014-08-29,-1.3970
2014-09-30,-4.4155
2014-10-31,-10.8632
2014-11-28,-21.7359
2014-12-31,-2.0731
2015-01-30,1.6781
2015-02-27,8.5166
2015-03-31,1.7861
2015-04-30,11.7070
2015-05-29,-7.2523
2015-06-30,-6.2064
2015-07-31,-0.2863
2015-08-31,-1.4706
2015-09-30,-6.8511
2015-10-30,4.2935
2015-11-30,3.8301
2015-12-31,-12.6059
2016-01-29,-6.8561
2016-02-29,2.1076
2016-03-31,6.1200
2016-04-29,17.7258
2016-05-31,0.7332
2016-06-30,7.5006
2016-07-29,-3.5990
2016-08-31,0.1630
2016-09-30,4.2964
2016-10-31,2.4499
2016-11-30,14.8388
2016-12-30,1.9358
2017-01-31,4.5850
2017-02-28,-5.0268
2017-03-31,-8.6505
2017-04-28,-6.4055
2017-05-31,-0.2428
2017-06-30,-5.3430
2017-07-31,-0.6322
2017-08-31,-7.2805
2017-09-29,18.6631
2017-10-31,-4.8742
2017-11-30,-2.9501
2017-12-29,17.4552
2018-01-31,8.2443
2018-02-28,-14.2593
2018-03-30,0
2018-04-30,14.9707
2018-05-31,-5.5091
2018-06-29,-7.8455
2018-07-31,-4.6098
2018-08-31,-5.1367
2018-09-28,1.2302
2018-10-31,-17.0335
2018-11-30,-9.6060
2018-12-31,-16.1474
2019-01-31,14.8718
2019-02-28,-2.7875
2019-03-29,-4.7070
2019-04-30,-6.0053
2019-05-31,-23.2516
2019-06-28,7.6862
2019-07-31,1.5453
2019-08-30,-10.2857
2019-09-30,1.0131
2019-10-31,3.2725
2019-11-29,9.0390
2019-12-31,15.9002
2020-01-31,-11.6288
2020-02-28,-22.7335
2020-03-31,-57.0533
2020-04-30,59.0909
2020-05-29,11.9048
2020-06-30,2.2853
2020-07-31,14.0016
2020-08-31,11.3558
2020-09-30,-25.7548
2020-10-30,6.6313
2020-11-30,37.5622
2020-12-31,7.3254
2021-01-29,-7.7929
2021-02-26,19.4855
2021-03-31,-3.6804
2021-04-30,-10.7664
2021-05-31,0
2021-06-30,-5.0513
2021-07-30,-13.1092
2021-08-31,-1.6937
2021-09-30,9.8019
2021-10-29,12.1634
2021-11-30,-15.5981
2021-12-31,4.0566
2022-01-31,34.4119
2022-02-28,6.9196
2022-03-31,13.5532
