,ROC_daily_20
2000-01-31,-16.7967
2000-02-29,0.6897
2000-03-31,15.8022
2000-04-28,8.7379
2000-05-31,0.8110
2000-06-30,-40.5086
2000-07-31,0.9202
2000-08-31,18.0031
2000-09-29,-8.3848
2000-10-31,44.6894
2000-11-30,-8.5468
2000-12-29,-2.9538
2001-01-31,6.7797
2001-02-28,-0.9697
2001-03-30,-8.9082
2001-04-30,19.8039
2001-05-31,-1.3252
2001-06-29,-27.8478
2001-07-31,8.6467
2001-08-31,1.7562
2001-09-28,-32.2208
2001-10-31,9.6475
2001-11-30,9.4893
2001-12-31,2.0519
2002-01-31,0.6287
2002-02-28,16.3000
2002-03-29,0
2002-04-30,-4.4792
2002-05-31,6.1656
2002-06-28,-10.1276
2002-07-31,-3.5469
2002-08-30,-0.7361
2002-09-30,-27.6795
2002-10-31,10.6796
2002-11-29,9.5436
2002-12-31,-7.0848
2003-01-31,-2.1617
2003-02-28,-1.8306
2003-03-31,-6.8469
2003-04-30,7.4192
2003-05-30,11.6164
2003-06-30,1.7045
2003-07-31,1.6535
2003-08-29,4.1604
2003-09-30,-11.4881
2003-10-31,13.2027
2003-11-28,-1.8951
2003-12-31,14.2906
2004-01-30,8.0467
2004-02-27,-1.9924
2004-03-31,-3.4788
2004-04-30,2.0963
2004-05-31,0
2004-06-30,10.3313
2004-07-30,4.2984
2004-08-31,-2.2449
2004-09-30,-0.3889
2004-10-29,-8.3787
2004-11-30,1.3542
2004-12-31,-1.5295
2005-01-31,1.6097
2005-02-28,6.9584
2005-03-31,-1.4827
2005-04-29,-3.3514
2005-05-31,0.7535
2005-06-30,0.0000
2005-07-29,7.2345
2005-08-31,-1.1426
2005-09-30,-2.0888
2005-10-31,-7.7421
2005-11-30,6.4467
2005-12-30,-0.0268
2006-01-31,3.1409
2006-02-28,8.2678
2006-03-31,2.5168
2006-04-28,0.3779
2006-05-31,-5.3875
2006-06-30,-2.1845
2006-07-31,-3.9702
2006-08-31,1.1074
2006-09-29,5.6302
2006-10-31,0.5251
2006-11-30,2.3817
2006-12-29,5.2583
2007-01-31,0.9947
2007-02-28,3.3302
2007-03-30,0.3267
2007-04-30,17.6292
2007-05-31,4.7910
2007-06-29,-4.2857
2007-07-31,0.7533
2007-08-31,-3.0434
2007-09-28,5.6493
2007-10-31,0.8346
2007-11-30,-3.6699
2007-12-31,8.7425
2008-01-31,-1.3856
2008-02-29,-2.1276
2008-03-31,-1.9465
2008-04-30,3.0713
2008-05-30,-1.2935
2008-06-30,-13.7712
2008-07-31,2.4587
2008-08-29,-1.0871
2008-09-30,-17.2311
2008-10-31,-19.5296
2008-11-28,-6.5701
2008-12-31,23.4675
2009-01-30,-0.0609
2009-02-27,-17.0556
2009-03-31,12.7935
2009-04-30,10.2437
2009-05-29,7.2219
2009-06-30,-10.7701
2009-07-31,13.4729
2009-08-31,5.0950
2009-09-30,3.4243
2009-10-30,0.8146
2009-11-30,8.0154
2009-12-31,-1.4332
2010-01-29,-2.9390
2010-02-26,1.6343
2010-03-31,10.6305
2010-04-30,5.4186
2010-05-31,0
2010-06-30,-9.0846
2010-07-30,11.1803
2010-08-31,-8.8079
