,ROC_daily_20
2000-01-31,-4.0885
2000-02-29,5.2962
2000-03-31,18.3333
2000-04-28,6.2199
2000-05-31,-10.2002
2000-06-30,19.5546
2000-07-31,11.2401
2000-08-31,22.0208
2000-09-29,3.9652
2000-10-31,3.9413
2000-11-30,-32.0546
2000-12-29,36.4492
2001-01-31,13.1288
2001-02-28,-14.8877
2001-03-30,-17.5982
2001-04-30,25.8621
2001-05-31,0.9383
2001-06-29,-5.1233
2001-07-31,-10.0282
2001-08-31,-12.4549
2001-09-28,-31.3411
2001-10-31,5.7778
2001-11-30,16.5289
2001-12-31,2.9078
2002-01-31,-5.2739
2002-02-28,-10.6542
2002-03-29,0
2002-04-30,-20.3596
2002-05-31,-11.4035
2002-06-28,-18.5644
2002-07-31,-1.4323
2002-08-30,7.8994
2002-09-30,-30.8571
2002-10-31,33.6898
2002-11-29,16.5600
2002-12-31,-16.2791
2003-01-31,-12.9616
2003-02-28,-18.8205
2003-03-31,-1.1892
2003-04-30,21.9482
2003-05-30,15.8092
2003-06-30,7.5385
2003-07-31,8.8339
2003-08-29,5.5921
2003-09-30,-11.4802
2003-10-31,-5.1776
2003-11-28,-11.2773
2003-12-31,6.9666
2004-01-30,1.4925
2004-02-27,5.3281
2004-03-31,-6.9503
2004-04-30,-14.0655
2004-05-31,0
2004-06-30,2.9630
2004-07-30,-23.5294
2004-08-31,2.9155
2004-09-30,3.1524
2004-10-29,-2.6690
2004-11-30,11.8919
2004-12-31,-0.3965
2005-01-31,7.0064
2005-02-28,4.6863
2005-03-31,-6.5620
2005-04-29,-9.0202
2005-05-31,1.7949
2005-06-30,0.2504
2005-07-29,21.0658
2005-08-31,-10.6355
2005-09-30,-2.2735
2005-10-31,-3.7634
2005-11-30,8.6957
2005-12-30,9.3040
2006-01-31,19.8830
2006-02-28,3.9258
2006-03-31,3.4680
2006-04-28,15.1053
2006-05-31,-12.9176
2006-06-30,-6.6633
2006-07-31,6.1114
2006-08-31,7.1319
2006-09-29,5.7796
2006-10-31,4.4545
2006-11-30,-5.5871
2006-12-29,13.9621
2007-01-31,-1.1359
2007-02-28,0.2099
2007-03-30,-2.9851
2007-04-30,8.2424
2007-05-31,0.3338
2007-06-29,5.2096
2007-07-31,-4.5833
2007-08-31,0.8578
2007-09-28,12.6916
2007-10-31,9.3438
2007-11-30,-10.9868
2007-12-31,19.5429
2008-01-31,-10.4605
2008-02-29,-5.9148
2008-03-31,-3.9639
2008-04-30,0.9048
2008-05-30,3.8249
2008-06-30,-13.1159
2008-07-31,-1.3971
2008-08-29,9.1612
2008-09-30,-18.4926
2008-10-31,-26.8400
2008-11-28,-11.9058
2008-12-31,26.6667
2009-01-30,-18.3518
2009-02-27,0.0266
2009-03-31,39.8587
2009-04-30,1.0295
2009-05-29,7.0174
2009-06-30,3.7857
2009-07-31,17.6295
2009-08-31,5.4241
2009-09-30,15.3573
2009-10-30,-7.9634
2009-11-30,5.6552
2009-12-31,5.5730
2010-01-29,-17.8723
2010-02-26,-2.5096
2010-03-31,6.8780
2010-04-30,4.0742
2010-05-31,0
2010-06-30,-10.7162
2010-07-30,15.2123
2010-08-31,-7.2727
2010-09-30,11.7368
2010-10-29,7.6275
2010-11-30,-4.4548
2010-12-31,5.2033
2011-01-31,2.8263
2011-02-28,9.2780
2011-03-31,-6.1329
2011-04-29,-2.6995
2011-05-31,-1.4219
2011-06-30,-0.6369
2011-07-29,-5.2137
2011-08-31,-13.8804
2011-09-30,-14.2620
2011-10-31,35.1515
2011-11-30,8.2681
2011-12-30,-0.6920
2012-01-31,12.3444
2012-02-29,10.2896
2012-03-30,7.6706
2012-04-30,-6.8616
2012-05-31,-11.4340
2012-06-29,8.3933
2012-07-31,-1.9060
2012-08-31,5.4915
2012-09-28,6.3857
2012-10-31,-3.1462
2012-11-30,1.7612
2012-12-31,4.4018
2013-01-31,1.0757
2013-02-28,-4.6780
2013-03-29,0
2013-04-30,10.0937
2013-05-31,6.7906
2013-06-28,-5.7499
2013-07-31,2.2229
2013-08-30,-7.6165
2013-09-30,5.0725
2013-10-31,5.3371
2013-11-29,3.9458
2013-12-31,3.5857
2014-01-31,-7.3042
2014-02-28,3.0628
2014-03-31,10.9445
2014-04-30,-6.0064
2014-05-30,2.6037
2014-06-30,2.5537
2014-07-31,-1.5179
2014-08-29,8.6676
2014-09-30,-3.6133
2014-10-31,2.1196
2014-11-28,2.3470
2014-12-31,-2.4198
2015-01-30,-7.0597
2015-02-27,7.2936
2015-03-31,-1.4403
2015-04-30,4.1227
2015-05-29,-3.1945
2015-06-30,-5.9458
2015-07-31,2.6050
2015-08-31,-10.8756
2015-09-30,-5.1048
2015-10-30,5.1347
2015-11-30,2.4322
2015-12-31,-0.3868
2016-01-29,-10.3355
2016-02-29,-9.7547
2016-03-31,9.0361
2016-04-29,-1.1791
2016-05-31,2.0691
2016-06-30,-17.1586
2016-07-29,14.2522
2016-08-31,8.4898
2016-09-30,0.5466
2016-10-31,-10.7120
2016-11-30,12.6705
2016-12-30,-4.0481
2017-01-31,-4.6803
2017-02-28,11.1282
2017-03-31,-5.2583
2017-04-28,7.2266
2017-05-31,-1.9202
2017-06-30,6.8630
2017-07-31,-1.1935
2017-08-31,-4.2540
2017-09-29,6.8944
2017-10-31,0.0839
2017-11-30,1.9963
2017-12-29,1.0229
2018-01-31,-0.6052
2018-02-28,-10.5112
2018-03-30,0
2018-04-30,-6.0636
2018-05-31,-1.8790
2018-06-29,-4.1847
2018-07-31,0.7465
2018-08-31,-2.9870
2018-09-28,-5.6884
2018-10-31,-5.8543
2018-11-30,-6.0856
2018-12-31,-17.3333
2019-01-31,8.1948
2019-02-28,5.7789
2019-03-29,-1.0251
2019-04-30,10.0150
2019-05-31,-6.4572
2019-06-28,4.7083
2019-07-31,-6.5725
2019-08-30,-10.2147
2019-09-30,7.8981
2019-10-31,6.6582
2019-11-29,6.2157
2019-12-31,3.9907
2020-01-31,-3.8355
2020-02-28,-16.9583
2020-03-31,-36.4591
2020-04-30,7.6155
2020-05-29,-5.7447
2020-06-30,28.5544
2020-07-31,-4.8341
2020-08-31,3.4776
2020-09-30,12.0825
2020-10-30,10.6329
2020-11-30,25.1193
2020-12-31,3.9976
2021-01-29,18.7428
2021-02-26,4.8458
2021-03-31,6.5934
2021-04-30,4.8544
2021-05-31,0
2021-06-30,-6.1447
2021-07-30,-9.5362
2021-08-31,4.0466
2021-09-30,-4.1733
2021-10-29,3.3347
2021-11-30,-15.2707
2021-12-31,1.1868
2022-01-31,-1.5639
2022-02-28,-1.4974
2022-03-31,14.9551
