,ROC_daily_20
2000-01-31,-32.4254
2000-02-29,3.9667
2000-03-31,103.8769
2000-04-28,-26.7714
2000-05-31,-2.2545
2000-06-30,25.5580
2000-07-31,-1.8370
2000-08-31,17.2000
2000-09-29,-2.6664
2000-10-31,-21.3311
2000-11-30,0.0000
2000-12-29,-1.5500
2001-01-31,21.2500
2001-02-28,3.0000
2001-03-30,45.0000
2001-04-30,33.9523
2001-05-31,44.2718
2001-06-29,3.3010
2001-07-31,-2.1118
2001-08-31,-16.2162
2001-09-28,-26.3261
2001-10-31,28.3310
2001-11-30,3.6364
2001-12-31,13.9850
2002-01-31,-6.1470
2002-02-28,29.6799
2002-03-29,0
2002-04-30,18.1891
2002-05-31,-16.2342
2002-06-28,-18.2093
2002-07-31,-8.2902
2002-08-30,6.4601
2002-09-30,-0.6192
2002-10-31,3.4069
2002-11-29,20.1952
2002-12-31,-7.3575
2003-01-31,-9.2334
2003-02-28,-6.6377
2003-03-31,-0.5461
2003-04-30,48.4211
2003-05-30,10.4513
2003-06-30,28.6263
2003-07-31,17.2778
2003-08-29,10.4585
2003-09-30,-16.5346
2003-10-31,-10.9384
2003-11-28,5.7822
2003-12-31,-7.5889
2004-01-30,7.8241
2004-02-27,4.2945
2004-03-31,-14.3192
2004-04-30,-12.2249
2004-05-31,0
2004-06-30,-3.4437
2004-07-30,-1.0466
2004-08-31,1.3982
2004-09-30,10.7969
2004-10-29,15.2231
2004-11-30,6.0145
2004-12-31,12.5000
2005-01-31,-6.8277
2005-02-28,16.2791
2005-03-31,-4.9774
2005-04-29,-10.8497
2005-05-31,-8.4290
2005-06-30,3.0151
2005-07-29,9.6435
2005-08-31,9.4845
2005-09-30,2.2898
2005-10-31,-13.7677
2005-11-30,2.5047
2005-12-30,1.3548
2006-01-31,7.9841
2006-02-28,4.2814
2006-03-31,4.4089
2006-04-28,5.4030
2006-05-31,-7.2324
2006-06-30,11.4744
2006-07-31,-1.8613
2006-08-31,5.6334
2006-09-29,10.6660
2006-10-31,6.3625
2006-11-30,7.8037
2006-12-29,16.2332
2007-01-31,7.0856
2007-02-28,-8.5863
2007-03-30,-1.8400
2007-04-30,1.5485
2007-05-31,-4.2298
2007-06-29,5.1980
2007-07-31,-6.7057
2007-08-31,-5.4257
2007-09-28,-8.6292
2007-10-31,-3.5136
2007-11-30,15.5634
2007-12-31,-13.6423
2008-01-31,10.1644
2008-02-29,-16.9607
2008-03-31,5.7734
2008-04-30,3.4397
2008-05-30,-5.3442
2008-06-30,-27.7127
2008-07-31,-0.5197
2008-08-29,4.9645
2008-09-30,-8.4967
2008-10-31,-11.3523
2008-11-28,-26.1165
2008-12-31,10.3641
2009-01-30,4.9492
2009-02-27,6.4334
2009-03-31,40.8834
2009-04-30,2.4077
2009-05-29,-12.1473
2009-06-30,14.3079
2009-07-31,16.7149
2009-08-31,3.9640
2009-09-30,24.0356
2009-10-30,1.7063
2009-11-30,1.0676
2009-12-31,20.2281
2010-01-29,-15.6582
2010-02-26,-4.3128
2010-03-31,13.1532
2010-04-30,-5.7899
2010-05-31,0
2010-06-30,-9.0494
2010-07-30,4.5590
2010-08-31,-6.3440
2010-09-30,34.0712
2010-10-29,11.5149
2010-11-30,7.7982
2010-12-31,-5.2319
2011-01-31,2.4153
2011-02-28,8.5635
2011-03-31,-9.2708
2011-04-29,8.0997
2011-05-31,-13.4267
2011-06-30,17.8546
2011-07-29,-3.3263
2011-08-31,-6.9513
2011-09-30,-13.1148
2011-10-31,28.4067
2011-11-30,-2.7393
2011-12-30,4.4551
2012-01-31,-0.1640
2012-02-29,0.8544
2012-03-30,7.4752
2012-04-30,-10.9091
2012-05-31,-10.7843
2012-06-29,-5.0860
2012-07-31,6.6284
2012-08-31,9.7990
2012-09-28,-6.5698
2012-10-31,18.7544
2012-11-30,3.7185
2012-12-31,3.5301
2013-01-31,4.5069
2013-02-28,-1.8400
2013-03-29,0
2013-04-30,10.9665
2013-05-31,1.6739
2013-06-28,-1.3043
2013-07-31,5.4170
2013-08-30,-4.0549
2013-09-30,1.9134
2013-10-31,-2.1857
2013-11-29,7.1505
2013-12-31,-8.7168
2014-01-31,-3.8166
2014-02-28,7.5028
2014-03-31,-2.7633
2014-04-30,-7.8316
2014-05-30,-0.3822
2014-06-30,17.4041
2014-07-31,-7.2053
2014-08-29,4.8839
2014-09-30,-10.4665
2014-10-31,19.3893
2014-11-28,1.9320
2014-12-31,16.6025
2015-01-30,-6.7287
2015-02-27,6.0022
2015-03-31,2.4039
2015-04-30,-0.4094
2015-05-29,4.3019
2015-06-30,-8.1692
2015-07-31,-3.2398
2015-08-31,-4.8807
2015-09-30,1.2978
2015-10-30,-1.2881
2015-11-30,-2.8978
2015-12-31,-6.9162
2016-01-29,-19.0249
2016-02-29,4.7080
2016-03-31,7.0830
2016-04-29,2.3188
2016-05-31,2.7969
2016-06-30,-5.8744
2016-07-29,18.8252
2016-08-31,4.8932
2016-09-30,-9.5916
2016-10-31,-4.9124
2016-11-30,18.7873
2016-12-30,8.9509
2017-01-31,3.6030
2017-02-28,-3.5132
2017-03-31,-8.7097
2017-04-28,-2.5974
2017-05-31,8.5522
2017-06-30,-0.8491
2017-07-31,5.0587
2017-08-31,2.4565
2017-09-29,12.8965
2017-10-31,-1.6114
2017-11-30,-7.4537
2017-12-29,-6.9366
2018-01-31,10.2069
2018-02-28,-13.7845
2018-03-30,0
2018-04-30,4.3057
2018-05-31,8.5013
2018-06-29,4.2638
2018-07-31,1.2747
2018-08-31,4.4986
2018-09-28,-3.2897
2018-10-31,-7.6180
2018-11-30,-5.2488
2018-12-31,-5.0840
2019-01-31,-6.6540
2019-02-28,5.3078
2019-03-29,13.2198
2019-04-30,12.7262
2019-05-31,0.0511
2019-06-28,10.9223
2019-07-31,0.0798
2019-08-30,-3.1628
2019-09-30,5.6676
2019-10-31,10.0650
2019-11-29,4.3898
2019-12-31,-9.3288
2020-01-31,8.4125
2020-02-28,-12.1276
2020-03-31,-37.5232
2020-04-30,40.6608
2020-05-29,19.5519
2020-06-30,-2.6948
2020-07-31,8.6864
2020-08-31,9.7844
2020-09-30,-15.3527
2020-10-30,-9.5343
2020-11-30,8.1444
2020-12-31,-2.0835
2021-01-29,24.4769
2021-02-26,-1.4676
2021-03-31,8.9163
2021-04-30,8.0529
2021-05-31,0
2021-06-30,12.5981
2021-07-30,2.5808
2021-08-31,-10.3722
2021-09-30,0.4869
2021-10-29,7.6584
2021-11-30,1.6553
2021-12-31,-9.6190
2022-01-31,-14.6356
2022-02-28,-0.6091
2022-03-31,-7.6658
