,ROC_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,-6.8090
2010-07-30,15.7556
2010-08-31,14.5251
2010-09-30,13.7012
2010-10-29,12.5262
2010-11-30,12.3462
2010-12-31,12.8239
2011-01-31,4.4767
2011-02-28,9.2369
2011-03-31,-0.0253
2011-04-29,12.5158
2011-05-31,-3.7521
2011-06-30,-7.6259
2011-07-29,2.4403
2011-08-31,-6.5321
2011-09-30,-27.9776
2011-10-31,36.3485
2011-11-30,17.9779
2011-12-30,0.2468
2012-01-31,32.6562
2012-02-29,0.1856
2012-03-30,0.4471
2012-04-30,-4.2841
2012-05-31,-7.5404
2012-06-29,8.0784
2012-07-31,9.0086
2012-08-31,8.5329
2012-09-28,6.1434
2012-10-31,2.2797
2012-11-30,-3.3975
2012-12-31,14.7999
2013-01-31,7.1827
2013-02-28,-6.3368
2013-03-29,0
2013-04-30,1.4372
2013-05-31,14.0050
2013-06-28,-0.5851
2013-07-31,5.0451
2013-08-30,1.7404
2013-09-30,5.0979
2013-10-31,0.8381
2013-11-29,4.2567
2013-12-31,3.1214
2014-01-31,-0.0254
2014-02-28,13.6068
2014-03-31,0.5313
2014-04-30,4.9992
2014-05-30,7.7364
2014-06-30,-2.5449
2014-07-31,7.5949
2014-08-29,7.9895
