,ROC_daily_20
2000-01-31,-1.2879
2000-02-29,-17.6809
2000-03-31,38.5156
2000-04-28,-4.4568
2000-05-31,9.2067
2000-06-30,-5.7762
2000-07-31,17.4089
2000-08-31,-2.0644
2000-09-29,11.9730
2000-10-31,-1.1427
2000-11-30,-10.3583
2000-12-29,1.6507
2001-01-31,-4.1607
2001-02-28,-1.7447
2001-03-30,-8.8878
2001-04-30,2.0329
2001-05-31,5.7993
2001-06-29,-3.8095
2001-07-31,-1.7281
2001-08-31,-7.5622
2001-09-28,-2.6673
2001-10-31,-6.9472
2001-11-30,8.2777
2001-12-31,0.4673
2002-01-31,-4.0142
2002-02-28,7.2081
2002-03-29,0
2002-04-30,-10.3512
2002-05-31,0.7992
2002-06-28,-4.2616
2002-07-31,3.6139
2002-08-30,8.4727
2002-09-30,-14.4090
2002-10-31,21.6641
2002-11-29,1.0490
2002-12-31,-3.8093
2003-01-31,-10.4224
2003-02-28,-3.0260
2003-03-31,5.8079
2003-04-30,11.2714
2003-05-30,4.0905
2003-06-30,0.7894
2003-07-31,-5.4797
2003-08-29,2.8807
2003-09-30,-6.8297
2003-10-31,-10.6943
2003-11-28,-0.1348
2003-12-31,7.4214
2004-01-30,-2.0046
2004-02-27,2.7623
2004-03-31,-4.8500
2004-04-30,-2.4599
2004-05-31,0
2004-06-30,3.4184
2004-07-30,-1.4680
2004-08-31,1.7995
2004-09-30,1.7115
2004-10-29,-39.8967
2004-11-30,2.5466
2004-12-31,14.8342
2005-01-31,-1.2158
2005-02-28,5.0177
2005-03-31,-4.4029
2005-04-29,-5.6923
2005-05-31,3.3452
2005-06-30,-3.4843
2005-07-29,5.2269
2005-08-31,-0.2489
2005-09-30,8.2265
2005-10-31,-1.5799
2005-11-30,8.3860
2005-12-30,-0.1258
2006-01-31,-3.8053
2006-02-28,1.0131
2006-03-31,-6.0480
2006-04-28,5.2431
2006-05-31,-7.1854
2006-06-30,-5.0159
2006-07-31,1.1672
2006-08-31,0.5380
2006-09-29,7.6070
2006-10-31,6.7849
2006-11-30,3.3553
2006-12-29,-2.4188
2007-01-31,-3.1821
2007-02-28,-0.5745
2007-03-30,-0.1704
2007-04-30,9.1282
2007-05-31,2.1469
2007-06-29,-4.8382
2007-07-31,-10.8492
2007-08-31,-0.8188
2007-09-28,-3.6281
