,ROC_daily_20
2000-01-31,-16.1713
2000-02-29,-8.6850
2000-03-31,10.5389
2000-04-28,-32.5239
2000-05-31,-10.4623
2000-06-30,20.6455
2000-07-31,-12.7375
2000-08-31,-0.6263
2000-09-29,-13.6084
2000-10-31,21.7645
2000-11-30,-17.5812
2000-12-29,-24.3987
2001-01-31,40.7561
2001-02-28,-6.9107
2001-03-30,-3.5280
2001-04-30,23.8801
2001-05-31,-0.8314
2001-06-29,3.7816
2001-07-31,-6.2465
2001-08-31,-14.7107
2001-09-28,-17.5342
2001-10-31,3.4145
2001-11-30,3.8325
2001-12-31,3.1771
2002-01-31,-4.9672
2002-02-28,-7.1758
2002-03-29,0
2002-04-30,-8.7640
2002-05-31,-0.5858
2002-06-28,7.4445
2002-07-31,-6.7263
2002-08-30,10.5156
2002-09-30,-10.8802
2002-10-31,19.3527
2002-11-29,7.8736
2002-12-31,-10.3831
2003-01-31,-11.6530
2003-02-28,-1.4208
2003-03-31,2.8462
2003-04-30,5.0103
2003-05-30,-4.3157
2003-06-30,4.0584
2003-07-31,-1.7485
2003-08-29,1.3374
2003-09-30,1.9809
2003-10-31,-9.6153
2003-11-28,-1.5697
2003-12-31,6.6641
2004-01-30,1.0230
2004-02-27,-4.9445
2004-03-31,-5.4608
2004-04-30,4.1866
2004-05-31,0
2004-06-30,9.3834
2004-07-30,-0.4890
2004-08-31,-2.4575
2004-09-30,0.9493
2004-10-29,-0.9912
2004-11-30,6.2136
2004-12-31,-1.3658
2005-01-31,-1.6467
2005-02-28,-3.5996
2005-03-31,-4.3151
2005-04-29,4.8922
2005-05-31,2.5802
2005-06-30,-3.6836
2005-07-29,3.0998
2005-08-31,0.7733
2005-09-30,-5.4044
2005-10-31,0.7843
2005-11-30,6.9358
2005-12-30,-6.2388
2006-01-31,7.6482
2006-02-28,-3.7144
2006-03-31,1.0397
2006-04-28,-11.3111
2006-05-31,-5.2976
2006-06-30,2.3726
2006-07-31,3.2618
2006-08-31,6.5425
2006-09-29,6.4202
2006-10-31,4.8959
2006-11-30,2.2577
2006-12-29,1.7030
2007-01-31,3.3490
2007-02-28,-7.2602
2007-03-30,0.3963
2007-04-30,7.4273
2007-05-31,0.5862
2007-06-29,-3.6613
2007-07-31,-2.5219
2007-08-31,-0.4436
2007-09-28,3.5501
2007-10-31,24.9809
2007-11-30,-9.0468
2007-12-31,5.9524
2008-01-31,-7.4390
2008-02-29,-16.2389
2008-03-31,4.3386
2008-04-30,-2.1948
2008-05-30,-3.3177
2008-06-30,-1.0432
2008-07-31,-0.6182
2008-08-29,7.7039
2008-09-30,-1.5129
2008-10-31,-15.1596
2008-11-28,-10.0576
2008-12-31,1.5144
2009-01-30,-12.0370
2009-02-27,-7.5267
2009-03-31,15.6801
2009-04-30,4.9197
2009-05-29,3.7696
2009-06-30,11.0748
2009-07-31,0.6418
2009-08-31,4.0113
2009-09-30,7.1667
2009-10-30,11.0978
2009-11-30,6.5180
2009-12-31,2.3506
2010-01-29,-8.9793
2010-02-26,-1.2295
2010-03-31,2.9076
2010-04-30,4.7154
2010-05-31,0
2010-06-30,-13.0385
2010-07-30,11.4421
2010-08-31,-9.8301
2010-09-30,2.4686
2010-10-29,9.3724
2010-11-30,-5.6992
2010-12-31,3.7932
2011-01-31,-0.6628
2011-02-28,-3.6512
2011-03-31,-3.0916
2011-04-29,2.0874
2011-05-31,-1.8971
2011-06-30,7.3493
2011-07-29,5.3846
2011-08-31,-0.5650
2011-09-30,-5.0362
2011-10-31,8.5609
2011-11-30,-0.8414
2011-12-30,2.6899
2012-01-31,13.7519
2012-02-29,8.1946
2012-03-30,0.5612
2012-04-30,-0.7441
2012-05-31,-7.5999
2012-06-29,7.5220
2012-07-31,-3.5668
2012-08-31,4.2843
2012-09-28,-1.8470
2012-10-31,-3.2214
2012-11-30,-9.0599
2012-12-31,0.3558
2013-01-31,-0.6155
2013-02-28,0.6391
2013-03-29,0
2013-04-30,14.9306
2013-05-31,5.9692
2013-06-28,-1.0172
