,ROC_daily_20
2000-01-31,-7.0477
2000-02-29,-9.0457
2000-03-31,19.2880
2000-04-28,33.7358
2000-05-31,4.6724
2000-06-30,-16.2770
2000-07-31,7.2604
2000-08-31,6.1656
2000-09-29,16.7673
2000-10-31,-8.1967
2000-11-30,2.9349
2000-12-29,-1.5538
2001-01-31,4.1201
2001-02-28,7.6051
2001-03-30,-10.3093
2001-04-30,3.7356
2001-05-31,-4.9766
2001-06-29,-9.6549
2001-07-31,0.5388
2001-08-31,1.7697
2001-09-28,23.3211
2001-10-31,-7.0233
2001-11-30,-5.3390
2001-12-31,7.3711
2002-01-31,13.2880
2002-02-28,0.5618
2002-03-29,0
2002-04-30,5.8772
2002-05-31,-1.3816
2002-06-28,3.0503
2002-07-31,-6.5034
2002-08-30,14.1798
2002-09-30,0.9772
2002-10-31,-15.3530
2002-11-29,-5.6205
2002-12-31,0.3414
2003-01-31,-8.4068
2003-02-28,-5.0075
2003-03-31,-0.9467
2003-04-30,0.7907
2003-05-30,0.5937
2003-06-30,-1.6190
2003-07-31,4.8182
2003-08-29,4.3762
2003-09-30,-9.8589
2003-10-31,3.4124
2003-11-28,3.3767
2003-12-31,4.4010
2004-01-30,1.1611
2004-02-27,2.8457
2004-03-31,-1.0854
2004-04-30,0.9048
2004-05-31,0
2004-06-30,3.9187
2004-07-30,-2.0302
2004-08-31,-2.1133
2004-09-30,3.5534
2004-10-29,-3.6313
2004-11-30,7.8755
2004-12-31,-4.8153
2005-01-31,-4.5622
2005-02-28,2.6317
2005-03-31,0.7090
2005-04-29,1.1808
2005-05-31,1.2328
2005-06-30,-0.6831
2005-07-29,0.3620
2005-08-31,1.4434
2005-09-30,-3.0157
2005-10-31,-0.4269
2005-11-30,6.4931
2005-12-30,4.0505
2006-01-31,3.3605
2006-02-28,3.7486
2006-03-31,3.8000
2006-04-28,-1.8774
2006-05-31,-3.4518
2006-06-30,-1.5219
2006-07-31,3.3250
2006-08-31,3.3005
2006-09-29,1.8859
2006-10-31,-3.9358
2006-11-30,0.4391
2006-12-29,1.1505
2007-01-31,4.7858
2007-02-28,0.7186
2007-03-30,3.3561
2007-04-30,-0.7815
2007-05-31,4.5441
2007-06-29,2.2050
2007-07-31,-3.0079
2007-08-31,1.5269
2007-09-28,0.5673
2007-10-31,6.4545
2007-11-30,-3.4954
2007-12-31,-0.1904
2008-01-31,0.9669
2008-02-29,-0.4868
2008-03-31,-1.0177
2008-04-30,-6.8026
2008-05-30,1.4622
2008-06-30,-10.0686
2008-07-31,2.1990
2008-08-29,3.7407
2008-09-30,-12.5902
2008-10-31,-17.3744
2008-11-28,-11.0607
2008-12-31,14.8687
2009-01-30,6.8384
2009-02-27,-22.1071
2009-03-31,23.8717
2009-04-30,8.3595
2009-05-29,-0.6268
2009-06-30,-5.3853
2009-07-31,0.2248
2009-08-31,6.8246
2009-09-30,6.0234
2009-10-30,-0.0996
2009-11-30,10.1567
2009-12-31,1.0494
2010-01-29,-0.4047
2010-02-26,8.9177
2010-03-31,5.2150
2010-04-30,2.3849
2010-05-31,0
2010-06-30,-10.4900
2010-07-30,8.2918
2010-08-31,-7.3562
2010-09-30,7.1769
2010-10-29,4.7903
2010-11-30,-2.1476
2010-12-31,1.1713
2011-01-31,6.9775
2011-02-28,-0.6396
2011-03-31,2.3197
2011-04-29,1.4352
2011-05-31,2.5358
2011-06-30,8.6991
2011-07-29,-12.7469
2011-08-31,-3.4268
2011-09-30,-2.4130
2011-10-31,13.5247
2011-11-30,4.7812
2011-12-30,2.0059
2012-01-31,-0.7353
2012-02-29,3.8959
2012-03-30,2.2088
2012-04-30,3.6018
2012-05-31,-6.3914
2012-06-29,11.0937
2012-07-31,4.1863
2012-08-31,1.6118
2012-09-28,-0.1953
2012-10-31,1.6425
2012-11-30,-2.4013
2012-12-31,1.3193
2013-01-31,-4.5915
2013-02-28,-0.1658
2013-03-29,0
2013-04-30,9.1354
2013-05-31,8.7842
2013-06-28,0.4976
2013-07-31,12.0360
2013-08-30,-2.1237
2013-09-30,3.2405
2013-10-31,15.5028
2013-11-29,5.3699
2013-12-31,2.4951
2014-01-31,2.0489
2014-02-28,7.4129
2014-03-31,1.9501
2014-04-30,-1.9685
2014-05-30,1.3663
2014-06-30,-1.9105
2014-07-31,2.9481
2014-08-29,3.2294
2014-09-30,2.4811
2014-10-31,7.3869
2014-11-28,3.1593
2014-12-31,5.1509
2015-01-30,6.4862
2015-02-27,5.3679
2015-03-31,-1.6317
2015-04-30,-4.0548
2015-05-29,3.8519
2015-06-30,-1.0727
2015-07-31,8.4702
2015-08-31,-4.4354
2015-09-30,4.1288
2015-10-30,12.0695
2015-11-30,-0.3174
2015-12-31,1.6802
2016-01-29,-2.6410
2016-02-29,4.2997
2016-03-31,2.3691
2016-04-29,2.9704
2016-05-31,2.0930
2016-06-30,4.1710
2016-07-29,-2.5418
2016-08-31,-2.6049
2016-09-30,1.0008
2016-10-31,6.4621
2016-11-30,9.2943
2016-12-30,-6.6206
2017-01-31,-1.5049
2017-02-28,7.6739
2017-03-31,-2.0953
2017-04-28,2.8863
2017-05-31,5.6618
2017-06-30,-0.7001
2017-07-31,2.5009
2017-08-31,1.6533
2017-09-29,5.6978
2017-10-31,1.5288
2017-11-30,4.4974
2017-12-29,0.1738
2018-01-31,11.5614
2018-02-28,3.1167
2018-03-30,0
2018-04-30,-6.7956
2018-05-31,6.5406
2018-06-29,-6.7548
2018-07-31,-2.7131
2018-08-31,0.8215
2018-09-28,6.2540
2018-10-31,-17.5298
2018-11-30,-4.4188
2018-12-31,-5.6160
2019-01-31,11.8440
2019-02-28,3.6839
2019-03-29,-6.0627
2019-04-30,5.7641
2019-05-31,5.0495
2019-06-28,6.5491
2019-07-31,6.7596
2019-08-30,7.8292
2019-09-30,2.2468
2019-10-31,-3.2525
2019-11-29,0.1731
2019-12-31,0.6555
2020-01-31,5.3050
2020-02-28,-14.2492
2020-03-31,-8.1456
2020-04-30,7.7136
2020-05-29,1.8084
2020-06-30,-5.9989
2020-07-31,4.8521
2020-08-31,6.3231
2020-09-30,-7.3124
2020-10-30,-7.6859
2020-11-30,4.7865
2020-12-31,1.9915
2021-01-29,-5.2873
2021-02-26,0.0273
2021-03-31,8.2046
2021-04-30,9.9926
2021-05-31,0
2021-06-30,-1.0294
2021-07-30,-1.2513
2021-08-31,1.3287
2021-09-30,-1.3234
2021-10-29,-1.0252
2021-11-30,-1.2690
2021-12-31,9.7853
2022-01-31,-4.4359
2022-02-28,16.7371
2022-03-31,-0.5493
