,ROC_daily_20
2000-01-31,1.4283
2000-02-29,1.5962
2000-03-31,-12.1659
2000-04-28,-6.3030
2000-05-31,11.7393
2000-06-30,-11.9718
2000-07-31,-13.4250
2000-08-31,-0.6777
2000-09-29,7.8185
2000-10-31,-17.2520
2000-11-30,0.9807
2000-12-29,14.0055
2001-01-31,7.1713
2001-02-28,1.0025
2001-03-30,-1.0535
2001-04-30,9.5540
2001-05-31,1.5259
2001-06-29,6.3099
2001-07-31,-5.4118
2001-08-31,5.1451
2001-09-28,-12.5458
2001-10-31,-4.2820
2001-11-30,11.2064
2001-12-31,-6.5437
2002-01-31,9.2191
2002-02-28,5.1839
2002-03-29,0
2002-04-30,-0.8245
2002-05-31,-1.8093
2002-06-28,-3.0037
2002-07-31,3.3113
2002-08-30,-0.7803
2002-09-30,-15.8897
2002-10-31,8.7520
2002-11-29,6.1231
2002-12-31,-6.3110
2003-01-31,-2.2823
2003-02-28,-3.3013
2003-03-31,2.9677
2003-04-30,9.5134
2003-05-30,9.5823
2003-06-30,-0.4922
2003-07-31,-0.9103
2003-08-29,2.8583
2003-09-30,-2.4936
2003-10-31,2.8529
2003-11-28,-2.1298
2003-12-31,0.4451
2004-01-30,-0.0985
2004-02-27,3.4942
2004-03-31,0.5664
2004-04-30,1.7205
2004-05-31,0
2004-06-30,0.4540
2004-07-30,-4.7834
2004-08-31,3.2052
2004-09-30,0.7309
2004-10-29,-3.4216
2004-11-30,1.0690
2004-12-31,2.8216
2005-01-31,-3.3276
2005-02-28,5.0632
2005-03-31,-2.6327
2005-04-29,-0.7986
2005-05-31,-0.5283
2005-06-30,-2.9851
2005-07-29,2.3651
2005-08-31,-3.1473
2005-09-30,-3.4913
2005-10-31,0.1905
2005-11-30,0.2584
2005-12-30,0.2135
2006-01-31,1.1598
2006-02-28,1.2681
2006-03-31,3.2468
2006-04-28,-2.6518
2006-05-31,-2.8378
2006-06-30,0.3889
2006-07-31,0.0484
2006-08-31,5.1448
2006-09-29,1.7894
2006-10-31,4.8250
2006-11-30,-0.3400
2006-12-29,0.2170
2007-01-31,3.6372
2007-02-28,0.2870
2007-03-30,-2.6801
2007-04-30,5.7502
2007-05-31,2.2817
2007-06-29,-2.3973
2007-07-31,-1.9775
2007-08-31,-1.5812
2007-09-28,3.3212
2007-10-31,-12.5000
2007-11-30,-1.9031
2007-12-31,-1.1948
2008-01-31,-2.7306
2008-02-29,-1.5834
2008-03-31,-2.1241
2008-04-30,-0.9328
2008-05-30,1.2606
2008-06-30,-5.5402
2008-07-31,-4.5194
2008-08-29,9.0694
2008-09-30,-3.6501
2008-10-31,-22.5625
2008-11-28,3.5948
2008-12-31,8.6567
2009-01-30,-12.6374
2009-02-27,-15.1101
2009-03-31,31.3273
2009-04-30,4.1154
2009-05-29,-5.1849
2009-06-30,-4.8590
2009-07-31,-2.1791
2009-08-31,10.1636
2009-09-30,14.3580
2009-10-30,2.8547
2009-11-30,-4.5807
2009-12-31,-1.0435
2010-01-29,-9.1225
2010-02-26,9.8678
2010-03-31,7.3781
2010-04-30,3.8855
2010-05-31,0
2010-06-30,-1.3920
2010-07-30,9.9054
2010-08-31,-21.5050
2010-09-30,8.3080
2010-10-29,2.5234
2010-11-30,1.0723
2010-12-31,6.2390
2011-01-31,0.4136
2011-02-28,6.1606
2011-03-31,2.8835
2011-04-29,-4.3986
2011-05-31,-2.0241
2011-06-30,-2.2534
2011-07-29,-6.2636
2011-08-31,0.5045
2011-09-30,-4.9545
2011-10-31,11.6101
2011-11-30,-3.6631
2011-12-30,0.4878
2012-01-31,2.3193
2012-02-29,-2.4458
2012-03-30,-2.3876
2012-04-30,-2.5597
2012-05-31,-18.7476
2012-06-29,10.8889
2012-07-31,-9.0538
2012-08-31,-1.0144
2012-09-28,3.7538
2012-10-31,4.2090
2012-11-30,-20.9238
2012-12-31,-4.9151
2013-01-31,33.5496
2013-02-28,12.3399
2013-03-29,0
2013-04-30,-5.2011
2013-05-31,2.1179
2013-06-28,0.0000
2013-07-31,17.2585
2013-08-30,-5.5396
2013-09-30,11.4583
2013-10-31,11.9035
2013-11-29,9.4664
2013-12-31,-0.3422
2014-01-31,7.4691
2014-02-28,-0.8105
2014-03-31,1.2466
2014-04-30,4.4427
2014-05-30,4.7763
2014-06-30,-1.3219
2014-07-31,-2.6619
2014-08-29,1.0008
2014-09-30,-8.6957
2014-10-31,1.4766
2014-11-28,0.9767
2014-12-31,1.1623
2015-01-30,-1.6003
2015-02-27,-2.8671
2015-03-31,3.0946
2015-04-30,-5.1717
2015-05-29,-1.5170
2015-06-30,-4.9772
2015-07-31,0.1436
2015-08-31,-1.7918
2015-09-30,2.9031
2015-10-30,4.6629
2015-11-30,5.5331
2015-12-31,-1.0067
2016-01-29,-5.9558
2016-02-29,-6.4684
2016-03-31,14.8800
2016-04-29,-2.6462
2016-05-31,-10.0760
2016-06-30,-6.0190
2016-07-29,8.4831
2016-08-31,5.2791
2016-09-30,-4.0676
2016-10-31,-1.1634
2016-11-30,-0.0640
2016-12-30,4.5423
2017-01-31,4.8058
2017-02-28,-11.9008
2017-03-31,-3.3898
2017-04-28,2.2308
2017-05-31,-1.4023
2017-06-30,-0.5270
2017-07-31,4.2384
2017-08-31,1.8905
2017-09-29,9.0272
2017-10-31,-1.9971
2017-11-30,-4.6128
2017-12-29,4.7798
2018-01-31,23.7719
2018-02-28,-0.2430
2018-03-30,0
2018-04-30,-4.9302
2018-05-31,0.9080
2018-06-29,-4.9889
2018-07-31,0.9249
2018-08-31,-9.9375
2018-09-28,-3.9349
2018-10-31,-8.1831
2018-11-30,9.3905
2018-12-31,-29.1367
2019-01-31,17.6183
2019-02-28,0.1581
2019-03-29,-3.5112
2019-04-30,0.8511
2019-05-31,-30.2437
2019-06-28,17.2603
2019-07-31,-7.3227
2019-08-30,-2.7286
2019-09-30,28.3708
2019-10-31,3.5294
2019-11-29,8.1794
