,ROC_daily_20
2000-01-31,7.4250
2000-02-29,-14.5450
2000-03-31,-1.2227
2000-04-28,-21.8789
2000-05-31,18.4980
2000-06-30,2.5504
2000-07-31,6.9222
2000-08-31,2.5904
2000-09-29,-7.5884
2000-10-31,-2.7594
2000-11-30,0.0000
2000-12-29,18.3000
2001-01-31,21.2121
2001-02-28,6.6316
2001-03-30,-1.2500
2001-04-30,20.9114
2001-05-31,16.0833
2001-06-29,21.7360
2001-07-31,1.8439
2001-08-31,-9.3768
2001-09-28,-16.0665
2001-10-31,-5.2530
2001-11-30,-12.4912
2001-12-31,-5.2125
2002-01-31,5.3922
2002-02-28,-13.3230
2002-03-29,0
2002-04-30,7.6790
2002-05-31,15.7025
2002-06-28,-7.1429
2002-07-31,-3.7469
2002-08-30,-0.5581
2002-09-30,-0.5613
2002-10-31,13.9241
2002-11-29,0.0794
2002-12-31,-3.4181
2003-01-31,0.6405
2003-02-28,-3.1638
2003-03-31,3.6649
2003-04-30,23.3735
2003-05-30,-1.9736
2003-06-30,7.3439
2003-07-31,5.7382
2003-08-29,-11.7549
2003-09-30,-11.9640
2003-10-31,1.2048
2003-11-28,11.9682
2003-12-31,2.4104
2004-01-30,6.2341
2004-02-27,13.4847
2004-03-31,0.0999
2004-04-30,7.3500
2004-05-31,0
2004-06-30,-7.3278
2004-07-30,-9.9459
2004-08-31,12.7486
2004-09-30,3.9454
2004-10-29,-12.1315
2004-11-30,0.4358
2004-12-31,-4.5856
2005-01-31,-0.6948
2005-02-28,1.1484
2005-03-31,9.9311
2005-04-29,-3.0175
2005-05-31,-14.6732
2005-06-30,-10.8696
2005-07-29,-0.2869
2005-08-31,1.0746
2005-09-30,1.9957
2005-10-31,-6.1754
2005-11-30,7.0094
2005-12-30,0.1343
2006-01-31,4.6948
2006-02-28,1.6080
2006-03-31,1.4935
2006-04-28,-1.4206
2006-05-31,7.8961
2006-06-30,-4.3943
2006-07-31,-1.6149
2006-08-31,0.9001
2006-09-29,5.1425
2006-10-31,4.2541
2006-11-30,-2.3010
2006-12-29,3.0989
2007-01-31,-0.1156
2007-02-28,-3.3279
2007-03-30,7.4863
2007-04-30,7.5878
2007-05-31,2.7430
2007-06-29,-1.1111
2007-07-31,-4.9439
2007-08-31,6.8056
2007-09-28,4.1463
2007-10-31,10.3818
2007-11-30,14.3818
2007-12-31,13.3010
2008-01-31,-9.2941
2008-02-29,8.5214
2008-03-31,12.8965
2008-04-30,4.9143
2008-05-30,-12.2032
2008-06-30,-11.1826
2008-07-31,7.5397
2008-08-29,-0.9335
2008-09-30,10.2006
2008-10-31,-8.7738
2008-11-28,1.3707
2008-12-31,-2.7100
2009-01-30,-9.1613
2009-02-27,-32.3846
2009-03-31,28.9870
2009-04-30,4.7696
2009-05-29,3.8348
2009-06-30,3.9282
2009-07-31,-1.9154
2009-08-31,5.5114
2009-09-30,16.0464
2009-10-30,10.3888
2009-11-30,8.1012
2009-12-31,0.0000
2010-01-29,11.5646
2010-02-26,14.0216
2010-03-31,12.4043
2010-04-30,3.4868
2010-05-31,0
2010-06-30,2.7483
2010-07-30,-2.5744
2010-08-31,-0.9339
2010-09-30,10.7432
2010-10-29,2.1871
2010-11-30,-9.9478
2010-12-31,0.7637
2011-01-31,14.8255
2011-02-28,5.1011
2011-03-31,2.6727
2011-04-29,13.6318
2011-05-31,-4.8321
2011-06-30,2.4484
2011-07-29,2.7768
2011-08-31,7.7640
2011-09-30,3.9388
2011-10-31,-0.8892
2011-11-30,11.1594
2011-12-30,0.1441
2012-01-31,-1.7472
2012-02-29,7.8870
2012-03-30,-2.3535
2012-04-30,1.5391
2012-05-31,-0.3647
2012-06-29,16.2559
2012-07-31,-3.8455
2012-08-31,-4.9983
2012-09-28,5.8690
2012-10-31,-2.0103
2012-11-30,-9.5669
2012-12-31,0.5121
2013-01-31,-5.8101
2013-02-28,14.0117
2013-03-29,0
2013-04-30,-0.2756
2013-05-31,-2.2603
2013-06-28,4.4544
2013-07-31,1.9507
2013-08-30,-5.2555
2013-09-30,1.5056
2013-10-31,10.1270
2013-11-29,13.1189
2013-12-31,-2.1800
2014-01-31,1.6721
2014-02-28,5.5458
2014-03-31,-6.2383
2014-04-30,-7.0517
2014-05-30,-5.2827
2014-06-30,5.1204
2014-07-31,-1.8655
2014-08-29,-1.8108
2014-09-30,0.8325
2014-10-31,4.0539
2014-11-28,-0.6400
2014-12-31,5.7908
2015-01-30,-9.2247
2015-02-27,0.3873
2015-03-31,5.9723
2015-04-30,11.7629
2015-05-29,3.8969
2015-06-30,-4.8788
2015-07-31,4.6385
2015-08-31,-4.8860
2015-09-30,-12.3649
2015-10-30,-1.8603
2015-11-30,-5.2146
2015-12-31,-2.1372
2016-01-29,-0.4544
2016-02-29,-12.5778
2016-03-31,1.6851
2016-04-29,-23.7197
2016-05-31,-0.1310
2016-06-30,-7.6210
2016-07-29,0.7941
2016-08-31,-3.2995
2016-09-30,1.1836
2016-10-31,-11.2924
2016-11-30,2.1045
2016-12-30,-2.9953
2017-01-31,-8.5065
2017-02-28,0.4973
2017-03-31,-8.7548
2017-04-28,10.4736
2017-05-31,-4.2214
2017-06-30,2.8322
2017-07-31,-0.7945
2017-08-31,15.8296
2017-09-29,7.2062
2017-10-31,-6.0986
2017-11-30,5.8389
2017-12-29,-0.0573
2018-01-31,1.0369
2018-02-28,-9.6495
2018-03-30,0
2018-04-30,-3.5904
2018-05-31,-3.8915
2018-06-29,-1.5794
2018-07-31,9.1945
2018-08-31,-2.5520
2018-09-28,-6.8053
2018-10-31,-2.2525
2018-11-30,-13.9132
2018-12-31,-39.5570
2019-01-31,14.6914
2019-02-28,6.0521
2019-03-29,-3.9298
2019-04-30,-2.3635
2019-05-31,-13.9673
2019-06-28,13.3270
2019-07-31,9.3763
2019-08-30,-10.3426
2019-09-30,19.4741
2019-10-31,-0.3196
2019-11-29,-2.9775
2019-12-31,1.9136
2020-01-31,11.2108
2020-02-28,-12.0268
2020-03-31,-9.8256
2020-04-30,18.1556
2020-05-29,3.1781
2020-06-30,-1.9688
2020-07-31,-3.9319
2020-08-31,-4.0822
2020-09-30,-10.6114
2020-10-30,-2.1851
2020-11-30,10.4316
2020-12-31,-6.7556
2021-01-29,-4.0018
2021-02-26,-7.6219
2021-03-31,-1.3932
2021-04-30,2.3353
2021-05-31,0
2021-06-30,-2.4918
2021-07-30,2.8259
2021-08-31,-15.9310
2021-09-30,16.7345
2021-10-29,-7.0222
2021-11-30,-20.7641
2021-12-31,8.5682
2022-01-31,-2.1337
2022-02-28,-5.6216
2022-03-31,2.0988
