,ROC_daily_20
2000-01-31,-3.4510
2000-02-29,358.9764
2000-03-31,-41.2326
2000-04-28,-0.4531
2000-05-31,-24.9274
2000-06-30,19.9115
2000-07-31,-5.8705
2000-08-31,22.4603
2000-09-29,-7.9289
2000-10-31,-10.0840
2000-11-30,-6.2308
2000-12-29,44.6678
2001-01-31,-7.9021
2001-02-28,2.0488
2001-03-30,-26.0333
2001-04-30,39.7476
2001-05-31,4.2810
2001-06-29,3.0024
2001-07-31,-20.5735
2001-08-31,10.9392
2001-09-28,-27.0820
2001-10-31,-15.4876
2001-11-30,25.2603
2001-12-31,1.7709
2002-01-31,-11.1748
2002-02-28,-13.1549
2002-03-29,0
2002-04-30,-11.9027
2002-05-31,-13.3263
2002-06-28,-12.1671
2002-07-31,31.8008
2002-08-30,1.1788
2002-09-30,-12.6214
2002-10-31,2.4374
2002-11-29,43.0932
2002-12-31,-12.4409
2003-01-31,-1.8858
2003-02-28,-3.9288
2003-03-31,-57.6338
2003-04-30,-8.1277
2003-05-30,117.0273
2003-06-30,5.7718
2003-07-31,-2.4699
2003-08-29,4.4643
2003-09-30,8.5381
2003-10-31,-22.7679
2003-11-28,-2.7925
2003-12-31,11.4394
2004-01-30,1.0197
2004-02-27,-4.9026
2004-03-31,-9.4667
2004-04-30,-7.3910
2004-05-31,0
2004-06-30,-7.3063
2004-07-30,-15.7480
2004-08-31,9.1912
2004-09-30,-2.1421
2004-10-29,-17.1982
2004-11-30,22.2812
2004-12-31,-0.1085
2005-01-31,-21.8241
2005-02-28,-12.5894
2005-03-31,-15.5372
2005-04-29,11.6232
2005-05-31,2.8053
2005-06-30,31.0938
2005-07-29,14.8987
2005-08-31,-24.9246
2005-09-30,24.2147
2005-10-31,28.9691
2005-11-30,-6.9942
2005-12-30,45.7379
2006-01-31,-4.2138
2006-02-28,7.8393
2006-03-31,-3.0321
2006-04-28,-12.1597
2006-05-31,-10.8201
2006-06-30,-2.8788
2006-07-31,6.5523
2006-08-31,13.7536
2006-09-29,-1.1965
2006-10-31,28.1969
2006-11-30,8.1448
2006-12-29,-6.6946
2007-01-31,-0.8969
2007-02-28,-3.6425
2007-03-30,15.7388
2007-04-30,25.8094
2007-05-31,-21.5385
2007-06-29,-22.0531
2007-07-31,-17.8256
2007-08-31,38.8027
