,ROC_daily_20
2000-01-31,-11.5679
2000-02-29,-12.5675
2000-03-31,2.1463
2000-04-28,3.0553
2000-05-31,11.3519
2000-06-30,-13.6294
2000-07-31,-1.3741
2000-08-31,7.0216
2000-09-29,-4.6954
2000-10-31,-13.5852
2000-11-30,3.0719
2000-12-29,20.6434
2001-01-31,-0.3644
2001-02-28,11.8903
2001-03-30,-12.9193
2001-04-30,6.1785
2001-05-31,9.4971
2001-06-29,-2.9094
2001-07-31,1.1921
2001-08-31,-0.6953
2001-09-28,-10.5785
2001-10-31,-3.7373
2001-11-30,14.2902
2001-12-31,1.3311
2002-01-31,-2.4513
2002-02-28,-1.3559
2002-03-29,0
2002-04-30,3.5645
2002-05-31,-8.7597
2002-06-28,-4.4398
2002-07-31,7.3387
2002-08-30,0.9591
2002-09-30,-10.8795
2002-10-31,-11.5961
2002-11-29,7.4023
2002-12-31,1.9195
2003-01-31,-4.2648
2003-02-28,-13.5816
2003-03-31,1.4396
2003-04-30,8.9141
2003-05-30,24.5485
2003-06-30,3.9364
2003-07-31,3.0775
2003-08-29,-2.2506
2003-09-30,-2.2790
2003-10-31,2.4832
2003-11-28,9.0859
2003-12-31,6.4995
2004-01-30,3.6484
2004-02-27,1.9626
2004-03-31,-2.5765
2004-04-30,-4.4805
2004-05-31,0
2004-06-30,7.3821
2004-07-30,-2.5184
2004-08-31,-1.8739
2004-09-30,0.4490
2004-10-29,-0.0318
2004-11-30,11.0630
2004-12-31,2.4978
2005-01-31,-5.2139
2005-02-28,1.2505
2005-03-31,-1.1875
2005-04-29,3.9154
2005-05-31,1.5185
2005-06-30,2.8614
2005-07-29,4.4625
2005-08-31,-0.9939
2005-09-30,-1.3571
2005-10-31,-5.3514
2005-11-30,-2.7060
2005-12-30,-1.2983
2006-01-31,-4.7062
2006-02-28,3.7819
2006-03-31,-2.6480
2006-04-28,2.4635
2006-05-31,-2.5240
2006-06-30,-0.6221
2006-07-31,-8.6385
2006-08-31,5.7457
2006-09-29,1.6656
2006-10-31,2.0802
2006-11-30,3.7569
2006-12-29,0.7655
2007-01-31,5.1204
2007-02-28,-2.3482
2007-03-30,2.8387
2007-04-30,9.8661
2007-05-31,0.9568
2007-06-29,0.7642
2007-07-31,-4.3242
2007-08-31,-7.3411
2007-09-28,2.7832
2007-10-31,9.1574
2007-11-30,-8.0535
2007-12-31,2.9460
2008-01-31,-5.1418
2008-02-29,-8.6919
2008-03-31,-4.7754
2008-04-30,-1.8251
2008-05-30,4.3879
2008-06-30,-7.7950
2008-07-31,-6.6434
2008-08-29,4.2477
2008-09-30,-14.4103
2008-10-31,-23.1090
2008-11-28,-21.0916
2008-12-31,8.5532
2009-01-30,-26.4200
2009-02-27,-25.1681
2009-03-31,7.1637
2009-04-30,48.4000
2009-05-29,15.7082
2009-06-30,-17.1184
2009-07-31,22.6831
2009-08-31,25.5064
2009-09-30,23.7485
2009-10-30,-0.6924
2009-11-30,3.7566
2009-12-31,5.2457
2010-01-29,-11.0844
2010-02-26,-0.1005
2010-03-31,6.4838
2010-04-30,1.2632
2010-05-31,0
2010-06-30,-12.3662
2010-07-30,3.2436
2010-08-31,-11.5722
2010-09-30,7.4098
2010-10-29,8.5933
2010-11-30,-12.4297
2010-12-31,4.4232
2011-01-31,2.8953
2011-02-28,5.0790
2011-03-31,1.3390
2011-04-29,1.0651
2011-05-31,11.3779
2011-06-30,-5.1741
2011-07-29,-4.0796
2011-08-31,-7.5758
2011-09-30,-4.4655
2011-10-31,22.8335
2011-11-30,-1.9401
2011-12-30,-2.3681
2012-01-31,-19.5434
2012-02-29,21.6549
2012-03-30,-6.3492
2012-04-30,3.1292
2012-05-31,-8.8908
2012-06-29,13.9400
2012-07-31,3.8560
2012-08-31,-12.2976
2012-09-28,-4.7619
2012-10-31,-5.5608
2012-11-30,-3.7461
2012-12-31,-4.3617
2013-01-31,6.2670
2013-02-28,17.1717
2013-03-29,0
2013-04-30,6.5215
2013-05-31,10.3076
2013-06-28,5.5765
2013-07-31,28.4844
2013-08-30,-10.8524
2013-09-30,-5.3957
2013-10-31,16.1351
2013-11-29,1.1872
2013-12-31,8.2755
2014-01-31,-5.2737
2014-02-28,2.0267
2014-03-31,-4.6858
2014-04-30,-3.8251
2014-05-30,-2.3601
2014-06-30,7.6142
2014-07-31,3.8899
2014-08-29,5.5800
2014-09-30,-7.6319
2014-10-31,6.3376
2014-11-28,-1.4594
2014-12-31,2.6573
2015-01-30,-1.9935
2015-02-27,16.8067
2015-03-31,-0.6214
2015-04-30,-2.6660
2015-05-29,4.5198
2015-06-30,-10.2009
2015-07-31,1.7391
2015-08-31,-8.8908
2015-09-30,-3.5123
2015-10-30,15.1536
2015-11-30,-3.1060
2015-12-31,-9.1358
2016-01-29,-5.6081
2016-02-29,10.9472
2016-03-31,5.5341
2016-04-29,5.5185
2016-05-31,-5.9125
2016-06-30,2.2975
2016-07-29,5.9102
2016-08-31,0.2767
2016-09-30,-6.7616
2016-10-31,-25.4515
2016-11-30,-1.2088
2016-12-30,-0.1835
2017-01-31,5.0858
2017-02-28,0.1834
2017-03-31,-30.9184
2017-04-28,6.9787
2017-05-31,-3.7670
2017-06-30,-0.9479
2017-07-31,-1.4354
2017-08-31,-5.4032
2017-09-29,11.5926
2017-10-31,-13.6961
2017-11-30,8.4263
2017-12-29,-0.9585
2018-01-31,-15.0728
2018-02-28,-7.6472
2018-03-30,0
2018-04-30,4.5792
2018-05-31,-13.2847
2018-06-29,-7.0968
2018-07-31,-0.1692
2018-08-31,2.0287
2018-09-28,9.0909
2018-10-31,17.6353
2018-11-30,3.9162
2018-12-31,-36.6400
2019-01-31,19.4379
2019-02-28,5.2042
2019-03-29,-11.9403
2019-04-30,-4.7423
2019-05-31,-40.8598
2019-06-28,-11.2613
2019-07-31,0.4975
2019-08-30,18.3521
2019-09-30,55.7851
2019-10-31,25.2874
2019-11-29,-8.2126
2019-12-31,8.8154
2020-01-31,-41.0319
2020-02-28,-25.9146
2020-03-31,-47.6230
2020-04-30,90.0000
2020-05-29,-36.2573
2020-06-30,12.2642
2020-07-31,1.8018
2020-08-31,16.8142
2020-09-30,13.1783
2020-10-30,-19.8630
2020-11-30,19.6581
2020-12-31,67.4074
2021-01-29,8.6364
2021-02-26,41.6667
2021-03-31,-0.2457
2021-04-30,3.3413
2021-05-31,0
2021-06-30,-4.8485
2021-07-30,-9.7345
2021-08-31,-17.2007
2021-09-30,5.1125
2021-10-29,18.7384
2021-11-30,62.2120
2021-12-31,5.9266
2022-01-31,-2.1314
2022-02-28,0
2022-03-31,0
