,ROC_daily_20
2000-01-31,-13.5333
2000-02-29,-4.8188
2000-03-31,-0.8223
2000-04-28,14.4188
2000-05-31,0.0000
2000-06-30,-20.1831
2000-07-31,-7.6018
2000-08-31,3.7171
2000-09-29,8.9000
2000-10-31,10.3434
2000-11-30,-0.7003
2000-12-29,35.5484
2001-01-31,-0.7120
2001-02-28,5.0044
2001-03-30,0.1229
2001-04-30,15.9714
2001-05-31,1.4471
2001-06-29,-12.3686
2001-07-31,0.6046
2001-08-31,-6.1363
2001-09-28,-13.6858
2001-10-31,4.7289
2001-11-30,13.4070
2001-12-31,3.3341
2002-01-31,3.2274
2002-02-28,5.8394
2002-03-29,0
2002-04-30,3.5976
2002-05-31,-6.2431
2002-06-28,-7.2123
2002-07-31,0.6260
2002-08-30,9.0201
2002-09-30,-10.8732
2002-10-31,7.6923
2002-11-29,2.8246
2002-12-31,-5.0898
2003-01-31,-5.9279
2003-02-28,-3.4237
2003-03-31,11.4421
2003-04-30,5.7243
2003-05-30,-0.9883
2003-06-30,-11.1032
2003-07-31,12.4447
2003-08-29,5.4986
2003-09-30,-4.1291
2003-10-31,6.1250
2003-11-28,-3.3263
2003-12-31,6.0402
2004-01-30,-1.7114
2004-02-27,5.2965
2004-03-31,3.8171
2004-04-30,-1.4097
2004-05-31,0
2004-06-30,5.2872
2004-07-30,2.7744
2004-08-31,-1.3595
2004-09-30,0.7581
2004-10-29,8.2228
2004-11-30,-0.8994
2004-12-31,3.0335
2005-01-31,-4.0267
2005-02-28,13.8503
2005-03-31,-1.4767
2005-04-29,-2.7663
2005-05-31,-1.0868
2005-06-30,0.5920
2005-07-29,3.1807
2005-08-31,0.1351
2005-09-30,-0.9506
2005-10-31,-8.9563
2005-11-30,8.1107
2005-12-30,-2.3381
2006-01-31,0.2530
2006-02-28,-1.6864
2006-03-31,4.8511
2006-04-28,7.9189
2006-05-31,2.1591
2006-06-30,6.3018
2006-07-31,-0.1472
2006-08-31,1.3633
2006-09-29,5.2033
2006-10-31,1.6584
2006-11-30,3.4305
2006-12-29,5.4338
2007-01-31,-7.5658
2007-02-28,6.8785
2007-03-30,5.0519
2007-04-30,6.2818
2007-05-31,8.7178
2007-06-29,-2.1335
2007-07-31,-7.0329
2007-08-31,-7.6558
2007-09-28,2.2581
2007-10-31,3.4921
2007-11-30,-10.7411
2007-12-31,-7.4679
2008-01-31,13.9950
2008-02-29,-1.6300
2008-03-31,2.7298
2008-04-30,-5.1397
2008-05-30,-1.3038
2008-06-30,-3.7337
2008-07-31,-4.5600
2008-08-29,11.6354
2008-09-30,-2.4173
2008-10-31,-23.9055
2008-11-28,-4.8061
2008-12-31,12.6584
2009-01-30,2.2823
2009-02-27,-8.5785
2009-03-31,20.7542
2009-04-30,1.1433
2009-05-29,-4.1336
2009-06-30,-6.1669
2009-07-31,18.4148
2009-08-31,6.7199
2009-09-30,7.0344
2009-10-30,2.7183
2009-11-30,2.3649
2009-12-31,-1.6183
2010-01-29,-2.9768
2010-02-26,6.7163
2010-03-31,3.7385
2010-04-30,6.6650
2010-05-31,0
2010-06-30,-8.0079
2010-07-30,10.9200
2010-08-31,-11.2104
2010-09-30,11.4913
2010-10-29,2.9943
2010-11-30,-0.4684
2010-12-31,1.6699
2011-01-31,-4.0149
2011-02-28,17.4586
2011-03-31,3.6539
2011-04-29,2.0603
2011-05-31,-0.3499
2011-06-30,14.0140
2011-07-29,7.5903
2011-08-31,2.1555
2011-09-30,5.7090
2011-10-31,16.9176
2011-11-30,2.3542
2011-12-30,-7.5311
2012-01-31,3.5436
2012-02-29,11.0731
2012-03-30,-0.3769
2012-04-30,4.1581
2012-05-31,-9.4214
2012-06-29,-0.1573
2012-07-31,13.1918
2012-08-31,2.4286
2012-09-28,5.1081
2012-10-31,-1.3616
2012-11-30,0.5009
2012-12-31,-5.4087
2013-01-31,-1.8489
2013-02-28,10.6491
2013-03-29,0
2013-04-30,6.1276
2013-05-31,4.8532
2013-06-28,5.4982
2013-07-31,1.7667
2013-08-30,-7.4592
2013-09-30,6.8081
2013-10-31,10.5171
2013-11-29,9.1070
