,ROC_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,0
2015-02-27,0
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,0
2015-07-31,-2.9697
2015-08-31,-5.4878
2015-09-30,-11.9630
2015-10-30,1.4148
2015-11-30,-5.0826
2015-12-31,-9.4302
2016-01-29,-22.9021
2016-02-29,-3.1351
2016-03-31,5.7724
2016-04-29,6.7602
2016-05-31,-3.2157
2016-06-30,-2.5082
2016-07-29,10.3936
2016-08-31,15.1598
2016-09-30,-0.0618
2016-10-31,-4.1900
2016-11-30,13.9073
2016-12-30,-0.2946
2017-01-31,5.1014
2017-02-28,0.6655
2017-03-31,-3.7195
2017-04-28,1.9026
2017-05-31,1.1685
2017-06-30,2.8312
2017-07-31,1.3413
2017-08-31,1.2820
2017-09-29,-0.3163
2017-10-31,5.6321
2017-11-30,2.5022
2017-12-29,1.2818
2018-01-31,2.9671
2018-02-28,-2.8820
2018-03-30,0
2018-04-30,-4.5036
2018-05-31,1.2865
2018-06-29,-5.1564
2018-07-31,1.8444
2018-08-31,-0.5620
2018-09-28,-3.7637
2018-10-31,-17.0463
2018-11-30,6.2834
2018-12-31,-18.5329
2019-01-31,4.6799
2019-02-28,-8.7720
2019-03-29,2.1305
2019-04-30,-3.4951
2019-05-31,-14.3321
2019-06-28,11.8712
2019-07-31,-3.1695
2019-08-30,-6.0335
2019-09-30,6.6413
2019-10-31,11.6522
2019-11-29,9.1747
2019-12-31,6.2129
2020-01-31,-10.2417
2020-02-28,-15.9685
2020-03-31,-13.2597
2020-04-30,20.5167
2020-05-29,-12.1564
2020-06-30,-0.3526
2020-07-31,-4.7518
2020-08-31,9.7567
2020-09-30,8.3255
2020-10-30,7.2244
2020-11-30,12.9875
2020-12-31,0.1380
2021-01-29,-4.6051
2021-02-26,7.5911
2021-03-31,8.6412
2021-04-30,6.8212
2021-05-31,0
2021-06-30,-9.4436
2021-07-30,-7.7428
2021-08-31,5.1308
2021-09-30,-3.7101
2021-10-29,-5.5566
2021-11-30,-8.7382
2021-12-31,-1.3565
2022-01-31,4.0577
2022-02-28,2.4595
2022-03-31,6.0907
