,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,82.0042
2000-09-29,15.0370
2000-10-31,0.8317
2000-11-30,-30.0940
2000-12-29,-32.8703
2001-01-31,-15.0243
2001-02-28,-15.9022
2001-03-30,-57.6857
2001-04-30,-37.3016
2001-05-31,-55.8040
2001-06-29,-50.7655
2001-07-31,-60.1064
2001-08-31,-65.8855
2001-09-28,-62.5935
2001-10-31,-57.4545
2001-11-30,-57.2941
2001-12-31,-48.2056
2002-01-31,-59.9449
2002-02-28,-69.2574
2002-03-29,0
2002-04-30,-50.1366
2002-05-31,-53.7988
2002-06-28,-52.6506
2002-07-31,-79.1289
2002-08-30,-78.3223
2002-09-30,-76.1538
2002-10-31,-57.8313
2002-11-29,-35.6098
2002-12-31,-50.0666
2003-01-31,-43.8122
2003-02-28,-18.1435
2003-03-31,23.8739
2003-04-30,87.3529
2003-05-30,594.1667
2003-06-30,214.5749
2003-07-31,421.0526
2003-08-29,219.9405
2003-09-30,168.8571
2003-10-31,165.4088
2003-11-28,254.5714
2003-12-31,104.2593
2004-01-30,90.7692
2004-02-27,66.2069
2004-03-31,59.2686
2004-04-30,37.1681
2004-05-31,0
2004-06-30,43.6222
2004-07-30,24.0773
2004-08-31,14.9398
2004-09-30,27.1795
2004-10-29,21.5079
2004-11-30,37.6835
2004-12-31,25.1128
2005-01-31,14.0473
2005-02-28,19.7070
2005-03-31,6.9241
2005-04-29,13.1930
2005-05-31,32.6866
2005-06-30,39.6564
2005-07-29,42.3152
2005-08-31,50.7917
2005-09-30,51.1043
2005-10-31,43.6438
2005-11-30,69.5545
2005-12-30,63.8855
2006-01-31,95.8514
2006-02-28,87.3879
2006-03-31,53.4921
2006-04-28,62.7176
2006-05-31,44.1470
2006-06-30,40.4065
2006-07-31,45.3383
2006-08-31,24.2676
2006-09-29,31.6891
2006-10-31,17.9047
2006-11-30,16.3796
2006-12-29,10.4274
2007-01-31,15.6960
2007-02-28,-4.9680
2007-03-30,8.9522
2007-04-30,-0.9518
2007-05-31,11.5758
2007-06-29,2.9813
2007-07-31,5.5313
2007-08-31,12.1758
2007-09-28,18.5239
2007-10-31,20.2283
2007-11-30,18.5363
2007-12-31,25.9843
2008-01-31,4.2424
2008-02-29,1.6047
2008-03-31,-1.7379
2008-04-30,2.1293
2008-05-30,15.4306
2008-06-30,3.3075
2008-07-31,-0.5467
2008-08-29,-4.7376
2008-09-30,-25.4887
2008-10-31,-41.0963
2008-11-28,-59.7540
2008-12-31,-48.1416
2009-01-30,-48.6181
2009-02-27,-57.6124
2009-03-31,-50.6409
2009-04-30,-30.5776
2009-05-29,-35.2721
2009-06-30,-29.5395
2009-07-31,34.1111
2009-08-31,101.6517
2009-09-30,77.4759
2009-10-30,66.9613
2009-11-30,91.3928
2009-12-31,94.3255
2010-01-29,50.8987
2010-02-26,64.7059
2010-03-31,69.3841
2010-04-30,49.4276
2010-05-31,0
2010-06-30,27.4282
2010-07-30,23.8558
2010-08-31,13.7483
2010-09-30,20.1688
2010-10-29,11.6809
2010-11-30,9.3734
2010-12-31,13.6670
2011-01-31,12.5734
2011-02-28,13.4895
2011-03-31,7.3411
2011-04-29,12.9381
2011-05-31,6.8369
2011-06-30,-4.4731
2011-07-29,2.2379
2011-08-31,3.1346
2011-09-30,-3.4196
2011-10-31,1.5468
2011-11-30,-6.9890
2011-12-30,12.3370
