,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,57.8916
2003-10-31,50.8676
2003-11-28,58.5923
2003-12-31,58.2731
2004-01-30,85.3768
2004-02-27,60.2838
2004-03-31,48.5573
2004-04-30,54.5114
2004-05-31,0
2004-06-30,103.2695
2004-07-30,69.3207
2004-08-31,93.5550
2004-09-30,137.9051
2004-10-29,140.8714
2004-11-30,137.0740
2004-12-31,144.2820
2005-01-31,98.1588
2005-02-28,77.7291
2005-03-31,54.9702
2005-04-29,60.2728
2005-05-31,63.4133
2005-06-30,110.2292
2005-07-29,80.9849
2005-08-31,32.6611
2005-09-30,51.3925
2005-10-31,76.8002
2005-11-30,67.9412
2005-12-30,90.5250
2006-01-31,148.6189
2006-02-28,125.6590
2006-03-31,74.0854
2006-04-28,52.5703
2006-05-31,51.1893
2006-06-30,63.7028
2006-07-31,45.1910
2006-08-31,15.0312
2006-09-29,30.0815
2006-10-31,31.7211
2006-11-30,30.5643
2006-12-29,19.6051
2007-01-31,15.3816
2007-02-28,16.9763
2007-03-30,21.2037
2007-04-30,9.6069
2007-05-31,14.6862
2007-06-29,18.0751
2007-07-31,11.1962
2007-08-31,11.6636
2007-09-28,8.6447
2007-10-31,15.0105
2007-11-30,15.5583
2007-12-31,30.7389
2008-01-31,11.0883
2008-02-29,-1.5016
2008-03-31,-14.4722
2008-04-30,-21.5823
2008-05-30,-23.0881
2008-06-30,-29.9728
2008-07-31,-41.7904
2008-08-29,-47.8680
2008-09-30,-45.8290
2008-10-31,-47.0565
2008-11-28,-59.1968
2008-12-31,-54.8986
2009-01-30,-64.1232
2009-02-27,-59.1446
2009-03-31,-38.9227
2009-04-30,-26.2173
2009-05-29,-2.0305
2009-06-30,-8.6289
2009-07-31,-28.9630
2009-08-31,31.5013
2009-09-30,48.6216
2009-10-30,82.9289
2009-11-30,74.6017
2009-12-31,42.7531
2010-01-29,14.5887
2010-02-26,18.0394
2010-03-31,-3.5659
2010-04-30,19.8517
2010-05-31,0
2010-06-30,2.4231
2010-07-30,-7.3320
2010-08-31,-20.3744
2010-09-30,-20.8562
2010-10-29,-14.2289
2010-11-30,-1.8968
2010-12-31,4.7243
2011-01-31,0.0130
2011-02-28,-2.7380
2011-03-31,-1.7007
2011-04-29,8.3819
2011-05-31,18.1998
2011-06-30,8.8365
2011-07-29,11.0999
2011-08-31,-6.5157
2011-09-30,-21.4490
2011-10-31,-11.7539
2011-11-30,-13.1467
2011-12-30,-13.7709
2012-01-31,-20.3307
2012-02-29,-0.0516
2012-03-30,10.5006
2012-04-30,-5.3227
2012-05-31,1.8464
2012-06-29,2.7664
2012-07-31,5.0588
2012-08-31,10.1636
2012-09-28,23.8152
2012-10-31,23.5033
