,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,48.2719
2000-09-29,105.5292
2000-10-31,87.5243
2000-11-30,86.0732
2000-12-29,83.6768
2001-01-31,49.2341
2001-02-28,59.7925
2001-03-30,64.1110
2001-04-30,55.7269
2001-05-31,27.9246
2001-06-29,-15.9847
2001-07-31,-27.3880
2001-08-31,-20.8707
2001-09-28,-28.7862
2001-10-31,-18.9224
2001-11-30,-35.3134
2001-12-31,-34.4442
2002-01-31,-43.3877
2002-02-28,-52.2718
2002-03-29,0
2002-04-30,-18.4730
2002-05-31,-41.4745
2002-06-28,-40.8364
2002-07-31,-62.4399
2002-08-30,-53.3287
2002-09-30,-57.7786
2002-10-31,-71.5565
2002-11-29,-63.1189
2002-12-31,-63.8237
2003-01-31,-70.2402
2003-02-28,-69.5436
2003-03-31,-57.1884
2003-04-30,-45.2632
2003-05-30,-3.7449
2003-06-30,-25.4646
2003-07-31,27.7415
2003-08-29,37.0632
2003-09-30,27.2064
2003-10-31,22.9679
2003-11-28,96.0654
2003-12-31,59.0362
2004-01-30,42.8527
2004-02-27,41.4633
2004-03-31,27.0444
2004-04-30,42.2934
2004-05-31,0
2004-06-30,30.4286
2004-07-30,22.2515
2004-08-31,15.5321
2004-09-30,13.9717
2004-10-29,4.4507
2004-11-30,11.1560
2004-12-31,5.1150
2005-01-31,5.4130
2005-02-28,20.1890
2005-03-31,16.3424
2005-04-29,3.9188
2005-05-31,14.9237
2005-06-30,29.7404
2005-07-29,33.0451
2005-08-31,31.1906
2005-09-30,34.6549
2005-10-31,24.7343
2005-11-30,9.8895
2005-12-30,6.5722
2006-01-31,10.3179
2006-02-28,11.6702
2006-03-31,-3.5936
2006-04-28,-9.8554
2006-05-31,-7.4635
2006-06-30,-13.8849
2006-07-31,4.4451
2006-08-31,16.1694
2006-09-29,14.3254
2006-10-31,21.3411
2006-11-30,31.4155
2006-12-29,34.8382
2007-01-31,51.5882
2007-02-28,51.3664
2007-03-30,52.5347
2007-04-30,51.8273
2007-05-31,41.7449
2007-06-29,26.5325
2007-07-31,16.5431
2007-08-31,4.9760
2007-09-28,1.5282
2007-10-31,3.2296
2007-11-30,1.0712
2007-12-31,0.9942
2008-01-31,-12.2129
2008-02-29,-22.7007
2008-03-31,-17.6354
2008-04-30,-9.9886
2008-05-30,12.4879
2008-06-30,3.1956
2008-07-31,-2.1368
2008-08-29,-7.3918
2008-09-30,-17.8957
2008-10-31,-25.5136
2008-11-28,-12.0440
2008-12-31,-7.4280
2009-01-30,-9.9844
2009-02-27,-30.3796
2009-03-31,-34.3483
2009-04-30,-28.7223
2009-05-29,-33.4646
2009-06-30,-24.7127
2009-07-31,17.1314
2009-08-31,13.5328
2009-09-30,2.5341
2009-10-30,5.4284
2009-11-30,6.1312
2009-12-31,46.2300
2010-01-29,43.9008
2010-02-26,33.4264
2010-03-31,43.5346
2010-04-30,32.9825
2010-05-31,0
2010-06-30,9.6198
2010-07-30,17.1305
2010-08-31,23.7699
2010-09-30,12.4111
2010-10-29,18.0128
2010-11-30,16.4946
2010-12-31,13.4252
2011-01-31,17.2602
2011-02-28,15.5823
2011-03-31,32.3360
2011-04-29,35.0765
2011-05-31,38.0295
2011-06-30,32.5065
2011-07-29,26.7863
2011-08-31,27.5386
2011-09-30,27.8914
2011-10-31,37.2283
2011-11-30,28.6266
2011-12-30,36.3474
