,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,50.1773
2000-09-29,1.6477
2000-10-31,-14.6984
2000-11-30,-21.2598
2000-12-29,22.8571
2001-01-31,2.0065
2001-02-28,9.7971
2001-03-30,15.0477
2001-04-30,57.3489
2001-05-31,50.0000
2001-06-29,76.6304
2001-07-31,106.4000
2001-08-31,51.5692
2001-09-28,63.5143
2001-10-31,60.8219
2001-11-30,82.8267
2001-12-31,81.8500
2002-01-31,62.1234
2002-02-28,13.9083
2002-03-29,0
2002-04-30,-15.9323
2002-05-31,-6.8242
2002-06-28,-1.5966
2002-07-31,-40.6073
2002-08-30,-29.3438
2002-09-30,-52.1746
2002-10-31,-50.9049
2002-11-29,-47.0202
2002-12-31,-28.2424
2003-01-31,-43.6094
2003-02-28,-55.2692
2003-03-31,-51.8193
2003-04-30,-42.5445
2003-05-30,-24.2833
2003-06-30,-33.0070
2003-07-31,-14.3379
2003-08-29,-3.1792
2003-09-30,-5.9740
2003-10-31,1.3821
2003-11-28,29.1712
2003-12-31,116.7102
2004-01-30,107.0025
2004-02-27,121.9209
2004-03-31,107.9426
2004-04-30,94.1598
2004-05-31,0
2004-06-30,154.7710
2004-07-30,67.6714
2004-08-31,69.5550
2004-09-30,20.9585
2004-10-29,5.4484
2004-11-30,25.7276
2004-12-31,34.0122
2005-01-31,13.8187
2005-02-28,28.0220
2005-03-31,-3.8760
2005-04-29,-12.8267
2005-05-31,21.8182
2005-06-30,24.0625
2005-07-29,33.7343
2005-08-31,7.3012
2005-09-30,-10.3979
2005-10-31,-0.4263
2005-11-30,9.0988
2005-12-30,-5.2977
2006-01-31,12.6062
2006-02-28,11.2834
2006-03-31,11.6762
2006-04-28,6.8444
2006-05-31,15.6342
2006-06-30,4.8676
2006-07-31,15.9269
2006-08-31,14.0593
2006-09-29,20.3672
2006-10-31,18.2747
2006-11-30,19.3128
2006-12-29,11.4827
2007-01-31,12.0670
2007-02-28,13.7505
2007-03-30,16.1759
2007-04-30,13.0265
2007-05-31,15.9049
2007-06-29,5.9577
2007-07-31,-2.3933
2007-08-31,-2.0040
2007-09-28,12.7911
2007-10-31,26.7922
2007-11-30,25.0335
2007-12-31,54.7273
2008-01-31,42.7374
2008-02-29,41.4601
2008-03-31,35.5719
2008-04-30,33.7807
2008-05-30,58.3949
2008-06-30,45.6463
2008-07-31,21.4958
2008-08-29,21.9451
2008-09-30,-8.5659
2008-10-31,-11.2185
2008-11-28,-32.5834
2008-12-31,-28.4474
2009-01-30,-40.4008
2009-02-27,-35.4515
2009-03-31,-36.8936
2009-04-30,-25.2619
2009-05-29,-30.5499
2009-06-30,-23.4658
2009-07-31,0.7705
2009-08-31,22.8790
2009-09-30,29.3728
2009-10-30,22.2729
2009-11-30,23.0361
2009-12-31,24.6851
2010-01-29,11.8622
2010-02-26,13.8481
2010-03-31,3.4282
2010-04-30,7.3383
2010-05-31,0
2010-06-30,-3.1901
2010-07-30,8.5170
2010-08-31,-0.3017
2010-09-30,-8.1616
2010-10-29,-5.2602
2010-11-30,0.6239
2010-12-31,5.3894
2011-01-31,12.3998
2011-02-28,12.5067
2011-03-31,16.2909
2011-04-29,24.5677
2011-05-31,38.0323
2011-06-30,31.7501
2011-07-29,26.7873
2011-08-31,24.5010
2011-09-30,5.8728
2011-10-31,15.9478
2011-11-30,10.3118
2011-12-30,18.3638
