,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,-3.3532
2000-09-29,23.3798
2000-10-31,66.4419
2000-11-30,55.7192
2000-12-29,19.1992
2001-01-31,13.2638
2001-02-28,25.9363
2001-03-30,17.3433
2001-04-30,28.9756
2001-05-31,38.2072
2001-06-29,39.5785
2001-07-31,40.9125
2001-08-31,30.9593
2001-09-28,18.3647
2001-10-31,33.1929
2001-11-30,29.0824
2001-12-31,33.0266
2002-01-31,40.7921
2002-02-28,58.6104
2002-03-29,0
2002-04-30,27.4246
2002-05-31,14.0478
2002-06-28,11.0874
2002-07-31,-11.5412
2002-08-30,-2.4937
2002-09-30,-7.1967
2002-10-31,2.5822
2002-11-29,-9.6509
2002-12-31,-20.9967
2003-01-31,-24.4057
2003-02-28,-35.6768
2003-03-31,-27.3759
2003-04-30,-7.0255
2003-05-30,23.7712
2003-06-30,12.4677
2003-07-31,1.2693
2003-08-29,-1.6591
2003-09-30,-4.1595
2003-10-31,6.4124
2003-11-28,22.2414
2003-12-31,25.7058
2004-01-30,24.7693
2004-02-27,10.9117
2004-03-31,-5.7052
2004-04-30,-5.8594
2004-05-31,0
2004-06-30,11.4032
2004-07-30,6.4650
2004-08-31,-1.0138
2004-09-30,10.0932
2004-10-29,8.1803
2004-11-30,3.7356
2004-12-31,9.0896
2005-01-31,7.2521
2005-02-28,24.9594
2005-03-31,21.4147
2005-04-29,42.1494
2005-05-31,47.8286
2005-06-30,40.9308
2005-07-29,40.3953
2005-08-31,21.4692
2005-09-30,24.2211
2005-10-31,25.6216
2005-11-30,22.8227
2005-12-30,23.9025
2006-01-31,28.1686
2006-02-28,6.4319
2006-03-31,7.0927
2006-04-28,4.9647
2006-05-31,6.3095
2006-06-30,1.4794
2006-07-31,-4.3546
2006-08-31,-13.1999
2006-09-29,-1.7447
2006-10-31,-2.8996
2006-11-30,4.1210
2006-12-29,6.7851
2007-01-31,16.8912
2007-02-28,5.0013
2007-03-30,7.5591
2007-04-30,22.6010
2007-05-31,34.8982
2007-06-29,21.0383
2007-07-31,12.8852
2007-08-31,1.4848
2007-09-28,-3.9587
2007-10-31,-4.9589
2007-11-30,-5.6741
2007-12-31,-1.3480
2008-01-31,-2.6840
2008-02-29,-16.9154
2008-03-31,-21.7035
2008-04-30,-16.2077
2008-05-30,0.4839
2008-06-30,-8.4653
2008-07-31,-3.4676
2008-08-29,-10.5679
2008-09-30,-6.7051
2008-10-31,-20.2450
2008-11-28,-27.1659
2008-12-31,-21.7623
2009-01-30,-30.4831
2009-02-27,-43.6727
2009-03-31,-32.5157
2009-04-30,-11.8932
2009-05-29,-24.9479
2009-06-30,-28.7236
2009-07-31,-6.0739
2009-08-31,18.5037
2009-09-30,24.6853
2009-10-30,8.4696
2009-11-30,24.2406
2009-12-31,38.1810
2010-01-29,19.0677
2010-02-26,14.0576
2010-03-31,36.1071
2010-04-30,30.7633
2010-05-31,0
2010-06-30,2.2569
2010-07-30,12.2141
2010-08-31,2.1632
2010-09-30,2.3963
2010-10-29,4.0045
2010-11-30,9.2237
2010-12-31,0.4246
2011-01-31,3.3089
2011-02-28,10.2816
2011-03-31,29.1331
2011-04-29,27.2572
2011-05-31,26.9878
2011-06-30,18.2368
2011-07-29,8.8882
2011-08-31,-4.1622
2011-09-30,-10.8276
2011-10-31,-3.3170
2011-11-30,4.4463
2011-12-30,10.7898
