,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,110.9300
2006-10-31,82.0181
2006-11-30,89.0150
2006-12-29,61.5511
2007-01-31,122.2128
2007-02-28,90.4383
2007-03-30,165.6739
2007-04-30,117.0940
2007-05-31,140.4845
2007-06-29,133.6441
2007-07-31,72.1298
2007-08-31,64.8249
2007-09-28,34.1754
2007-10-31,33.6061
2007-11-30,7.6606
2007-12-31,52.3184
2008-01-31,6.1061
2008-02-29,-5.1121
2008-03-31,-11.6931
2008-04-30,-8.7246
2008-05-30,-3.4377
2008-06-30,-11.6758
2008-07-31,-36.5705
2008-08-29,-47.5700
2008-09-30,-55.3810
2008-10-31,-34.6621
2008-11-28,-44.8235
2008-12-31,-37.8983
2009-01-30,-62.5879
2009-02-27,-64.6733
2009-03-31,-39.4553
2009-04-30,1.3889
2009-05-29,29.5709
2009-06-30,25.6766
2009-07-31,11.4455
2009-08-31,38.9424
2009-09-30,26.5660
2009-10-30,74.5166
2009-11-30,69.1857
2009-12-31,44.4187
2010-01-29,10.0000
2010-02-26,11.1813
2010-03-31,-0.7959
2010-04-30,27.7437
2010-05-31,0
2010-06-30,25.2826
2010-07-30,10.3081
2010-08-31,-11.3790
2010-09-30,-4.5918
2010-10-29,4.7988
2010-11-30,8.1989
2010-12-31,8.7731
2011-01-31,12.0733
2011-02-28,5.1509
2011-03-31,-2.6784
2011-04-29,14.0434
2011-05-31,25.0778
2011-06-30,16.3774
2011-07-29,9.1730
2011-08-31,4.0582
2011-09-30,0.3905
2011-10-31,11.7055
2011-11-30,-3.9609
2011-12-30,-3.8216
2012-01-31,-5.1061
2012-02-29,16.5991
2012-03-30,17.9368
2012-04-30,5.5622
2012-05-31,5.1705
2012-06-29,12.8558
2012-07-31,5.7544
2012-08-31,7.6124
2012-09-28,13.6856
2012-10-31,12.4753
2012-11-30,-1.1445
2012-12-31,-12.0168
2013-01-31,4.2841
2013-02-28,23.8065
2013-03-29,0
2013-04-30,21.8259
2013-05-31,28.4782
2013-06-28,30.8984
2013-07-31,41.7858
2013-08-30,40.0577
