,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,21.8771
2014-03-31,18.3450
2014-04-30,7.9725
2014-05-30,12.3402
2014-06-30,19.8336
2014-07-31,30.7235
2014-08-29,27.1409
2014-09-30,23.7630
2014-10-31,17.5974
2014-11-28,10.7663
2014-12-31,11.1594
2015-01-30,19.4000
2015-02-27,36.8000
2015-03-31,29.7617
2015-04-30,19.5644
2015-05-29,24.2602
2015-06-30,26.1247
2015-07-31,45.0009
2015-08-31,32.0865
2015-09-30,21.2655
2015-10-30,7.8083
2015-11-30,7.3922
2015-12-31,2.8614
2016-01-29,-9.4253
2016-02-29,-4.2303
2016-03-31,-6.5863
2016-04-29,-9.0346
2016-05-31,-9.4800
2016-06-30,-15.1027
2016-07-29,11.1048
2016-08-31,15.8747
2016-09-30,17.5976
2016-10-31,13.2618
2016-11-30,21.6242
2016-12-30,17.6334
2017-01-31,11.9846
2017-02-28,18.4964
2017-03-31,23.7020
2017-04-28,18.6040
2017-05-31,13.1414
2017-06-30,14.8909
2017-07-31,19.3174
2017-08-31,24.8927
2017-09-29,19.8563
2017-10-31,40.7735
2017-11-30,31.0340
2017-12-29,21.7510
2018-01-31,28.5732
2018-02-28,18.6271
2018-03-30,0
2018-04-30,7.3302
2018-05-31,9.9344
2018-06-29,3.3654
2018-07-31,23.8598
2018-08-31,22.8160
2018-09-28,27.6340
2018-10-31,22.6601
2018-11-30,23.1368
2018-12-31,10.2810
2019-01-31,31.5891
2019-02-28,35.9930
2019-03-29,37.0653
2019-04-30,29.9345
2019-05-31,12.4586
2019-06-28,28.7303
2019-07-31,29.8499
2019-08-30,28.0961
2019-09-30,22.1023
2019-10-31,15.7768
2019-11-29,3.4365
2019-12-31,7.9885
2020-01-31,13.9115
2020-02-28,3.6715
2020-03-31,-23.6660
2020-04-30,-8.9289
2020-05-29,-4.8128
2020-06-30,-6.2570
2020-07-31,8.0718
2020-08-31,14.0559
2020-09-30,8.8229
2020-10-30,-4.3362
2020-11-30,2.8420
2020-12-31,99.3436
2021-01-29,43.3640
2021-02-26,43.0193
2021-03-31,38.3822
2021-04-30,54.0264
2021-05-31,0
2021-06-30,49.9041
2021-07-30,48.6884
2021-08-31,54.7855
2021-09-30,43.1799
2021-10-29,38.9719
2021-11-30,36.0262
2021-12-31,51.2815
2022-01-31,13.6111
2022-02-28,0.2003
2022-03-31,-5.3310
