,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,-2.0024
2000-09-29,21.9541
2000-10-31,24.5432
2000-11-30,51.7532
2000-12-29,64.4205
2001-01-31,65.2465
2001-02-28,48.2736
2001-03-30,71.4394
2001-04-30,49.9754
2001-05-31,6.4070
2001-06-29,15.3685
2001-07-31,28.7277
2001-08-31,4.5422
2001-09-28,-13.9315
2001-10-31,-13.5711
2001-11-30,10.0130
2001-12-31,48.4813
2002-01-31,49.6517
2002-02-28,43.6166
2002-03-29,0
2002-04-30,61.0854
2002-05-31,86.5818
2002-06-28,61.1468
2002-07-31,45.3799
2002-08-30,41.9006
2002-09-30,29.7829
2002-10-31,23.0498
2002-11-29,7.7133
2002-12-31,3.1300
2003-01-31,-2.7791
2003-02-28,-10.9008
2003-03-31,-2.8785
2003-04-30,1.6740
2003-05-30,36.4928
2003-06-30,24.3071
2003-07-31,28.5180
2003-08-29,34.6227
2003-09-30,41.9259
2003-10-31,47.5542
2003-11-28,55.7306
2003-12-31,58.2573
2004-01-30,43.3388
2004-02-27,39.4663
2004-03-31,13.9453
2004-04-30,13.5529
2004-05-31,0
2004-06-30,23.8731
2004-07-30,-4.6310
2004-08-31,1.2095
2004-09-30,28.0140
2004-10-29,23.6753
2004-11-30,28.3828
2004-12-31,33.4296
2005-01-31,51.4625
2005-02-28,101.9300
2005-03-31,87.1455
2005-04-29,75.9429
2005-05-31,111.1348
2005-06-30,102.5459
2005-07-29,113.7278
2005-08-31,65.7678
2005-09-30,40.0190
2005-10-31,20.5360
2005-11-30,24.3967
2005-12-30,29.8478
2006-01-31,38.2437
2006-02-28,19.4606
2006-03-31,-7.5959
2006-04-28,-23.0505
2006-05-31,-30.0875
2006-06-30,-39.4620
2006-07-31,-32.9546
2006-08-31,-34.1818
2006-09-29,-37.0188
2006-10-31,-41.8771
2006-11-30,-21.9346
2006-12-29,-21.9620
2007-01-31,-14.8336
2007-02-28,-15.3373
2007-03-30,2.5878
2007-04-30,5.6997
2007-05-31,13.4159
2007-06-29,-8.9234
2007-07-31,-29.3559
2007-08-31,-31.0363
2007-09-28,-50.6049
2007-10-31,-44.1237
2007-11-30,-60.9536
2007-12-31,-51.2903
2008-01-31,-34.6137
2008-02-29,-43.9279
2008-03-31,-41.5604
2008-04-30,-37.1498
2008-05-30,-34.1108
2008-06-30,-34.6485
2008-07-31,-33.6349
2008-08-29,-19.0872
2008-09-30,-9.8544
2008-10-31,-4.3214
2008-11-28,-51.0508
2008-12-31,-39.1948
2009-01-30,-54.9993
2009-02-27,-62.0969
2009-03-31,-28.0115
2009-04-30,22.4207
2009-05-29,-14.1652
2009-06-30,-37.8870
2009-07-31,12.7602
2009-08-31,47.6560
2009-09-30,17.6232
2009-10-30,15.8139
2009-11-30,16.4923
2009-12-31,12.6297
2010-01-29,-1.9138
2010-02-26,3.8415
2010-03-31,27.9813
2010-04-30,41.2617
2010-05-31,0
2010-06-30,-41.4084
2010-07-30,-26.3537
2010-08-31,-30.7072
2010-09-30,-13.1300
2010-10-29,-32.1110
2010-11-30,-32.4332
2010-12-31,-22.4021
2011-01-31,-11.9409
2011-02-28,-18.6080
2011-03-31,-2.3077
2011-04-29,6.5001
2011-05-31,20.8119
2011-06-30,-15.3490
2011-07-29,-22.4137
2011-08-31,-43.7515
2011-09-30,-51.4091
2011-10-31,-54.8603
2011-11-30,-47.5708
