,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,7.9670
2000-09-29,14.5107
2000-10-31,13.7683
2000-11-30,7.7833
2000-12-29,8.6210
2001-01-31,11.6941
2001-02-28,18.7281
2001-03-30,18.7875
2001-04-30,25.6116
2001-05-31,10.3617
2001-06-29,1.3619
2001-07-31,2.7997
2001-08-31,2.9552
2001-09-28,7.8119
2001-10-31,2.6007
2001-11-30,-8.1875
2001-12-31,-1.5980
2002-01-31,-0.1245
2002-02-28,-0.1209
2002-03-29,0
2002-04-30,1.5529
2002-05-31,0.4153
2002-06-28,-11.8477
2002-07-31,-34.6960
2002-08-30,-22.7834
2002-09-30,-28.3092
2002-10-31,-42.6364
2002-11-29,-40.1863
2002-12-31,-39.5858
2003-01-31,-41.0356
2003-02-28,-39.1716
2003-03-31,-30.8766
2003-04-30,-22.6505
2003-05-30,13.4191
2003-06-30,0.1533
2003-07-31,23.3401
2003-08-29,47.5057
2003-09-30,52.7757
2003-10-31,48.5877
2003-11-28,64.7955
2003-12-31,64.4122
2004-01-30,61.1453
2004-02-27,48.9182
2004-03-31,34.9978
2004-04-30,31.0247
2004-05-31,0
2004-06-30,22.5047
2004-07-30,16.7608
2004-08-31,8.5045
2004-09-30,3.9969
2004-10-29,9.1127
2004-11-30,8.2094
2004-12-31,11.4280
2005-01-31,13.4603
2005-02-28,14.7175
2005-03-31,10.1202
2005-04-29,4.2588
2005-05-31,10.6024
2005-06-30,14.0944
2005-07-29,16.6797
2005-08-31,13.4686
2005-09-30,7.8954
2005-10-31,-2.6844
2005-11-30,7.5352
2005-12-30,5.7747
2006-01-31,16.6730
2006-02-28,27.5303
2006-03-31,17.1719
2006-04-28,16.8000
2006-05-31,20.6739
2006-06-30,17.5985
2006-07-31,35.0711
2006-08-31,39.2886
2006-09-29,28.9894
2006-10-31,36.4058
2006-11-30,28.4811
2006-12-29,16.0011
2007-01-31,19.7541
2007-02-28,27.6848
2007-03-30,35.9127
2007-04-30,30.8163
2007-05-31,26.3136
2007-06-29,9.6775
2007-07-31,2.0742
2007-08-31,-1.4542
2007-09-28,1.0505
2007-10-31,13.6168
2007-11-30,0.8792
2007-12-31,-5.9153
2008-01-31,-14.3056
2008-02-29,-19.3816
2008-03-31,-10.1634
2008-04-30,-1.2474
2008-05-30,3.2522
2008-06-30,-4.9550
2008-07-31,-15.1745
2008-08-29,-11.7515
2008-09-30,-21.6836
2008-10-31,-19.5318
2008-11-28,-8.7458
2008-12-31,-14.1630
2009-01-30,-20.9781
2009-02-27,-35.2552
2009-03-31,-31.1489
2009-04-30,-29.8977
2009-05-29,-28.5355
2009-06-30,-19.7060
2009-07-31,-0.9139
2009-08-31,-1.4369
2009-09-30,-4.3224
2009-10-30,2.6223
2009-11-30,5.3788
2009-12-31,34.1983
2010-01-29,37.2724
2010-02-26,35.9406
2010-03-31,39.8311
2010-04-30,37.0033
2010-05-31,0
2010-06-30,24.2031
2010-07-30,33.3808
2010-08-31,33.1353
2010-09-30,22.6619
2010-10-29,17.0608
2010-11-30,18.5977
2010-12-31,17.0681
2011-01-31,12.6872
2011-02-28,18.9025
2011-03-31,19.9255
2011-04-29,19.0397
2011-05-31,20.0736
2011-06-30,15.9821
2011-07-29,14.6610
2011-08-31,13.9097
2011-09-30,9.4957
2011-10-31,13.7368
2011-11-30,10.9988
2011-12-30,18.3163
2012-01-31,15.4765
