,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,3.0790
2000-09-29,-26.2590
2000-10-31,-55.1735
2000-11-30,-68.3322
2000-12-29,-67.5615
2001-01-31,-27.5616
2001-02-28,-35.5902
2001-03-30,-38.5193
2001-04-30,-18.3448
2001-05-31,15.3718
2001-06-29,17.4257
2001-07-31,55.5000
2001-08-31,62.3280
2001-09-28,1.9242
2001-10-31,-4.9147
2001-11-30,-0.0912
2001-12-31,-4.2474
2002-01-31,1.1304
2002-02-28,-24.5467
2002-03-29,0
2002-04-30,-1.4971
2002-05-31,-15.8090
2002-06-28,-25.6410
2002-07-31,-38.2840
2002-08-30,-49.3025
2002-09-30,-64.1851
2002-10-31,-45.7561
2002-11-29,-31.7934
2002-12-31,-61.8375
2003-01-31,-60.4131
2003-02-28,-50.9926
2003-03-31,-41.6795
2003-04-30,-15.2914
2003-05-30,46.6721
2003-06-30,64.5045
2003-07-31,160.9581
2003-08-29,113.5947
2003-09-30,76.2887
2003-10-31,119.6333
2003-11-28,167.4477
2003-12-31,142.6747
2004-01-30,132.7209
2004-02-27,55.1578
2004-03-31,37.6438
2004-04-30,0.8223
2004-05-31,0
2004-06-30,6.4337
2004-07-30,-11.9276
2004-08-31,-31.2819
2004-09-30,-32.3857
2004-10-29,-22.2289
2004-11-30,-5.1768
2004-12-31,17.6159
2005-01-31,5.6455
2005-02-28,40.0445
2005-03-31,16.4649
2005-04-29,19.5804
2005-05-31,53.6341
2005-06-30,30.1124
2005-07-29,25.9407
2005-08-31,16.8448
2005-09-30,4.8520
2005-10-31,24.0441
2005-11-30,22.1535
2005-12-30,28.8552
2006-01-31,79.4743
2006-02-28,62.7644
2006-03-31,42.0079
2006-04-28,58.8560
2006-05-31,56.0084
2006-06-30,50.0803
2006-07-31,37.7483
2006-08-31,14.2208
2006-09-29,22.3812
2006-10-31,31.4495
2006-11-30,10.1801
2006-12-29,17.9953
2007-01-31,-2.0526
2007-02-28,-8.7268
2007-03-30,13.4164
2007-04-30,25.9780
2007-05-31,37.6025
2007-06-29,20.5158
2007-07-31,20.1995
2007-08-31,0.7136
2007-09-28,0.3013
2007-10-31,-7.2603
2007-11-30,1.5729
2007-12-31,-5.0725
2008-01-31,-26.0023
2008-02-29,-24.3467
2008-03-31,-26.9356
2008-04-30,-24.9954
2008-05-30,-23.2365
2008-06-30,-28.2738
2008-07-31,-39.8390
2008-08-29,-23.2568
2008-09-30,-29.3312
2008-10-31,-43.7059
2008-11-28,-47.9113
2008-12-31,-45.1264
2009-01-30,-52.9562
2009-02-27,-51.1366
2009-03-31,-38.4761
2009-04-30,-13.3623
2009-05-29,-33.7800
2009-06-30,-18.6992
2009-07-31,29.2347
2009-08-31,70.1774
2009-09-30,48.3927
2009-10-30,59.5835
2009-11-30,56.7082
2009-12-31,60.3681
2010-01-29,28.8447
2010-02-26,34.6169
2010-03-31,50.7270
2010-04-30,38.2674
2010-05-31,0
2010-06-30,8.0943
2010-07-30,11.2605
2010-08-31,2.6435
2010-09-30,7.5006
2010-10-29,19.4314
2010-11-30,27.1353
2010-12-31,52.7434
2011-01-31,24.9124
2011-02-28,40.7692
2011-03-31,32.5690
2011-04-29,14.7779
2011-05-31,24.7876
2011-06-30,12.7004
2011-07-29,-0.8970
2011-08-31,-17.1830
2011-09-30,-25.2671
2011-10-31,-18.4096
2011-11-30,-24.0641
