,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,131.2667
2000-09-29,131.4815
2000-10-31,73.2820
2000-11-30,37.8297
2000-12-29,46.0000
2001-01-31,33.6141
2001-02-28,32.2133
2001-03-30,22.8450
2001-04-30,24.3320
2001-05-31,-5.1677
2001-06-29,-23.1651
2001-07-31,-42.7538
2001-08-31,-49.7738
2001-09-28,-55.3021
2001-10-31,-51.3400
2001-11-30,-57.5342
2001-12-31,-47.6372
2002-01-31,-47.3902
2002-02-28,-37.5821
2002-03-29,0
2002-04-30,10.2032
2002-05-31,56.3035
2002-06-28,38.5780
2002-07-31,-0.5754
2002-08-30,-4.0081
2002-09-30,9.8017
2002-10-31,22.7192
2002-11-29,13.8743
2002-12-31,-11.0387
2003-01-31,-19.7565
2003-02-28,-17.4615
2003-03-31,-4.9660
2003-04-30,15.0768
2003-05-30,35.8659
2003-06-30,18.4069
2003-07-31,-11.2397
2003-08-29,-3.9254
2003-09-30,-20.7860
2003-10-31,-8.3173
2003-11-28,-4.9877
2003-12-31,-2.0158
2004-01-30,19.2486
2004-02-27,23.6371
2004-03-31,25.8007
2004-04-30,37.4692
2004-05-31,0
2004-06-30,73.5943
2004-07-30,76.0526
2004-08-31,55.3247
2004-09-30,53.4080
2004-10-29,50.3568
2004-11-30,34.1735
2004-12-31,20.0749
2005-01-31,24.7632
2005-02-28,74.7880
2005-03-31,62.2655
2005-04-29,19.3393
2005-05-31,51.2605
2005-06-30,48.9348
2005-07-29,61.8738
2005-08-31,97.3870
2005-09-30,83.7989
2005-10-31,73.7208
2005-11-30,51.3608
2005-12-30,26.0302
2006-01-31,84.5463
2006-02-28,46.2407
2006-03-31,36.1937
2006-04-28,42.8542
2006-05-31,9.9717
2006-06-30,-0.9851
2006-07-31,15.0901
2006-08-31,14.5815
2006-09-29,-9.1544
2006-10-31,-15.1685
2006-11-30,9.4815
2006-12-29,0.7244
2007-01-31,-9.7350
2007-02-28,-0.2864
2007-03-30,36.9060
2007-04-30,37.0538
2007-05-31,45.7562
2007-06-29,78.9528
2007-07-31,125.2203
2007-08-31,111.0122
2007-09-28,119.3382
2007-10-31,156.4875
2007-11-30,99.5900
2007-12-31,101.5087
2008-01-31,45.4106
2008-02-29,37.4821
2008-03-31,14.6617
2008-04-30,21.4298
2008-05-30,44.1273
2008-06-30,32.9238
2008-07-31,-0.8199
2008-08-29,13.6055
2008-09-30,-34.4684
2008-10-31,-50.2082
2008-11-28,-55.0667
2008-12-31,-57.8475
2009-01-30,-63.6264
2009-02-27,-64.9443
2009-03-31,-65.4762
2009-04-30,-63.1944
2009-05-29,-43.8255
2009-06-30,-44.1518
2009-07-31,20.3214
2009-08-31,46.8687
2009-09-30,71.1508
2009-10-30,71.0054
2009-11-30,55.1882
2009-12-31,51.3299
2010-01-29,23.1165
2010-02-26,26.4006
2010-03-31,11.1453
2010-04-30,35.5064
2010-05-31,0
2010-06-30,-16.8742
2010-07-30,-12.3394
2010-08-31,-12.1790
2010-09-30,1.1528
2010-10-29,15.3574
2010-11-30,40.1396
2010-12-31,54.9188
2011-01-31,75.2072
2011-02-28,97.1912
2011-03-31,108.4772
2011-04-29,112.5296
2011-05-31,84.8407
2011-06-30,91.0522
2011-07-29,68.1224
2011-08-31,15.5551
2011-09-30,-17.2988
2011-10-31,3.3900
2011-11-30,-8.6107
2011-12-30,-12.7203
