,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,-12.2607
2007-11-30,-18.4384
2007-12-31,-15.7911
2008-01-31,-25.9582
2008-02-29,-29.0488
2008-03-31,-29.1484
2008-04-30,-26.3725
2008-05-30,-8.0092
2008-06-30,-20.1583
2008-07-31,-27.1459
2008-08-29,-14.4528
2008-09-30,-24.8948
2008-10-31,-35.6678
2008-11-28,-47.6553
2008-12-31,-45.1312
2009-01-30,-38.3825
2009-02-27,-41.6743
2009-03-31,-23.0805
2009-04-30,-9.7000
2009-05-29,-19.8838
2009-06-30,-20.4762
2009-07-31,24.8087
2009-08-31,56.2806
2009-09-30,61.0130
2009-10-30,56.5019
2009-11-30,49.8190
2009-12-31,58.8836
2010-01-29,20.8092
2010-02-26,36.2069
2010-03-31,43.5132
2010-04-30,37.3886
2010-05-31,0
2010-06-30,24.7418
2010-07-30,25.0468
2010-08-31,9.5440
2010-09-30,10.2447
2010-10-29,26.7245
2010-11-30,30.5760
2010-12-31,37.2982
2011-01-31,35.6015
2011-02-28,59.4573
2011-03-31,31.1551
2011-04-29,17.6686
2011-05-31,47.0803
2011-06-30,47.5704
2011-07-29,14.9204
2011-08-31,-6.8288
2011-09-30,-15.9679
2011-10-31,-6.2924
2011-11-30,-12.1320
2011-12-30,16.1463
2012-01-31,39.2499
2012-02-29,24.0790
2012-03-30,41.3080
2012-04-30,48.0367
2012-05-31,41.1745
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,0
2015-02-27,0
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,-45.8348
2015-07-31,-35.2784
2015-08-31,-57.0077
2015-09-30,-62.8580
2015-10-30,-80.4056
2015-11-30,-83.1779
2015-12-31,-82.4490
2016-01-29,-90.4965
2016-02-29,-90.4249
2016-03-31,-89.7240
2016-04-29,-74.3481
2016-05-31,-70.3506
2016-06-30,-71.3038
2016-07-29,-45.1348
2016-08-31,-20.2247
2016-09-30,3.1726
2016-10-31,3.1304
2016-11-30,-54.6973
2016-12-30,-50.4425
2017-01-31,-52.3810
2017-02-28,-30.0000
2017-03-31,-27.5434
2017-04-28,-49.4407
2017-05-31,-60.0694
2017-06-30,-67.6944
2017-07-31,0
2017-08-31,0
2017-09-29,0
2017-10-31,0
2017-11-30,0
2017-12-29,0
2018-01-31,0
2018-02-28,0
2018-03-30,0
2018-04-30,0
2018-05-31,0
2018-06-29,0
2018-07-31,0
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
