,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,14.2109
2000-09-29,46.2680
2000-10-31,26.3217
2000-11-30,21.7257
2000-12-29,26.6170
2001-01-31,30.3580
2001-02-28,23.8752
2001-03-30,30.0032
2001-04-30,33.6087
2001-05-31,31.1989
2001-06-29,31.1025
2001-07-31,30.4730
2001-08-31,34.8892
2001-09-28,45.9518
2001-10-31,27.5815
2001-11-30,28.9826
2001-12-31,16.3242
2002-01-31,20.8016
2002-02-28,15.7918
2002-03-29,0
2002-04-30,23.7929
2002-05-31,26.9689
2002-06-28,31.4936
2002-07-31,22.2996
2002-08-30,18.9451
2002-09-30,25.5287
2002-10-31,21.3650
2002-11-29,24.7603
2002-12-31,2.1901
2003-01-31,-3.6713
2003-02-28,-7.1482
2003-03-31,-18.0928
2003-04-30,0.9850
2003-05-30,-0.4840
2003-06-30,5.9715
2003-07-31,18.8671
2003-08-29,5.7318
2003-09-30,29.1876
2003-10-31,33.6487
2003-11-28,41.4992
2003-12-31,55.9952
2004-01-30,68.2359
2004-02-27,52.4004
2004-03-31,41.2525
2004-04-30,12.9434
2004-05-31,0
2004-06-30,16.7464
2004-07-30,9.5002
2004-08-31,12.4204
2004-09-30,11.6482
2004-10-29,10.0540
2004-11-30,0.3016
2004-12-31,4.3338
2005-01-31,12.2318
2005-02-28,20.6219
2005-03-31,4.9187
2005-04-29,5.2435
2005-05-31,17.3458
2005-06-30,11.7766
2005-07-29,8.8182
2005-08-31,1.8897
2005-09-30,2.5344
2005-10-31,3.1072
2005-11-30,5.5043
2005-12-30,9.6166
2006-01-31,20.8859
2006-02-28,11.1206
2006-03-31,8.6376
2006-04-28,1.5185
2006-05-31,5.8216
2006-06-30,2.2567
2006-07-31,16.2960
2006-08-31,19.2737
2006-09-29,22.6156
2006-10-31,21.8868
2006-11-30,39.0099
2006-12-29,35.1781
2007-01-31,58.9915
2007-02-28,46.9435
2007-03-30,43.9840
2007-04-30,36.9575
2007-05-31,21.0990
2007-06-29,-1.5217
2007-07-31,-12.4435
2007-08-31,-1.5985
2007-09-28,-4.9629
2007-10-31,-8.4681
2007-11-30,-11.6032
2007-12-31,-0.3156
2008-01-31,-13.9944
2008-02-29,-7.1839
2008-03-31,17.9749
2008-04-30,24.4868
2008-05-30,35.8499
2008-06-30,3.5378
2008-07-31,10.7333
2008-08-29,13.9800
2008-09-30,28.6934
2008-10-31,1.9085
2008-11-28,-25.3994
2008-12-31,-7.7977
2009-01-30,-34.3337
2009-02-27,-45.2194
2009-03-31,-45.3104
2009-04-30,-26.5261
2009-05-29,-29.4535
2009-06-30,-36.2143
2009-07-31,-15.3015
2009-08-31,42.5384
2009-09-30,34.5085
2009-10-30,38.2426
2009-11-30,64.7751
2009-12-31,64.3779
2010-01-29,40.5608
2010-02-26,37.9495
2010-03-31,60.7412
2010-04-30,53.2028
2010-05-31,0
2010-06-30,17.3841
2010-07-30,26.8579
2010-08-31,28.1269
2010-09-30,18.1810
2010-10-29,23.8859
2010-11-30,18.4154
2010-12-31,14.2878
2011-01-31,23.8326
2011-02-28,18.0237
2011-03-31,15.3559
2011-04-29,20.4991
2011-05-31,14.2190
2011-06-30,2.8279
2011-07-29,3.9212
2011-08-31,16.9598
2011-09-30,7.2159
2011-10-31,14.4977
2011-11-30,7.1392
2011-12-30,16.2710
2012-01-31,16.5708
2012-02-29,11.5868
