,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,-8.1081
2000-09-29,7.5671
2000-10-31,84.9143
2000-11-30,80.1387
2000-12-29,64.7519
2001-01-31,81.2037
2001-02-28,36.9581
2001-03-30,26.2519
2001-04-30,46.5279
2001-05-31,5.8591
2001-06-29,5.7220
2001-07-31,-6.7722
2001-08-31,-20.9342
2001-09-28,18.4713
2001-10-31,0.4286
2001-11-30,0.0320
2001-12-31,11.0354
2002-01-31,26.4694
2002-02-28,35.4998
2002-03-29,0
2002-04-30,66.3950
2002-05-31,59.3286
2002-06-28,59.6188
2002-07-31,-1.8432
2002-08-30,13.8835
2002-09-30,-7.1877
2002-10-31,-6.2173
2002-11-29,-21.6404
2002-12-31,-23.2477
2003-01-31,-19.4324
2003-02-28,-38.6903
2003-03-31,-33.1708
2003-04-30,-10.6424
2003-05-30,-1.9916
2003-06-30,-6.0500
2003-07-31,8.9297
2003-08-29,11.6192
2003-09-30,-1.1321
2003-10-31,-10.4292
2003-11-28,-0.6698
2003-12-31,9.5575
2004-01-30,10.9822
2004-02-27,-2.0928
2004-03-31,-0.4175
2004-04-30,0.2044
2004-05-31,0
2004-06-30,18.0409
2004-07-30,27.3695
2004-08-31,34.3223
2004-09-30,38.2109
2004-10-29,23.5354
2004-11-30,33.3809
2004-12-31,36.3440
2005-01-31,23.1514
2005-02-28,20.6110
2005-03-31,14.6100
2005-04-29,14.6648
2005-05-31,17.0033
2005-06-30,9.8234
2005-07-29,11.3023
2005-08-31,3.0446
2005-09-30,-0.5266
2005-10-31,2.2514
2005-11-30,2.5800
2005-12-30,6.4485
2006-01-31,13.1406
2006-02-28,13.1825
2006-03-31,19.1791
2006-04-28,13.3776
2006-05-31,17.9589
2006-06-30,18.1641
2006-07-31,25.9098
2006-08-31,27.5749
2006-09-29,23.0618
2006-10-31,25.8969
2006-11-30,19.7588
2006-12-29,18.3288
2007-01-31,20.5729
2007-02-28,15.9160
2007-03-30,24.5763
2007-04-30,23.7413
2007-05-31,25.3074
2007-06-29,16.3417
2007-07-31,13.1984
2007-08-31,26.3431
2007-09-28,24.0649
2007-10-31,24.7644
2007-11-30,13.3916
2007-12-31,16.4914
2008-01-31,20.0178
2008-02-29,21.6106
2008-03-31,17.0043
2008-04-30,20.1324
2008-05-30,16.5327
2008-06-30,-8.5843
2008-07-31,-11.1804
2008-08-29,-1.5569
2008-09-30,-13.5621
2008-10-31,-16.0943
2008-11-28,-25.3241
2008-12-31,-19.3231
2009-01-30,-21.6798
2009-02-27,-37.0551
2009-03-31,-31.8517
2009-04-30,-18.6446
2009-05-29,-25.5005
2009-06-30,-25.5383
2009-07-31,-2.7150
2009-08-31,0.2021
2009-09-30,-3.5952
2009-10-30,-10.9427
2009-11-30,12.6905
2009-12-31,45.8139
2010-01-29,26.6973
2010-02-26,19.8353
2010-03-31,30.2208
2010-04-30,33.4687
2010-05-31,0
2010-06-30,6.9333
2010-07-30,2.7184
2010-08-31,-7.6989
2010-09-30,-12.7093
2010-10-29,-13.3279
2010-11-30,-13.1837
2010-12-31,-16.5958
2011-01-31,-12.1748
2011-02-28,-7.7051
2011-03-31,-1.3788
2011-04-29,1.5444
2011-05-31,15.4522
2011-06-30,11.4963
2011-07-29,-0.0251
2011-08-31,-4.7480
2011-09-30,-6.5755
2011-10-31,-9.5935
2011-11-30,-7.7431
2011-12-30,0.5184
