,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,3.2217
2000-09-29,-13.0613
2000-10-31,-4.6179
2000-11-30,12.0967
2000-12-29,9.0059
2001-01-31,21.6910
2001-02-28,12.0410
2001-03-30,3.6548
2001-04-30,1.0186
2001-05-31,-3.7836
2001-06-29,-18.2245
2001-07-31,27.7076
2001-08-31,9.8523
2001-09-28,-17.8658
2001-10-31,-0.8960
2001-11-30,7.6614
2001-12-31,19.0236
2002-01-31,11.2874
2002-02-28,20.3585
2002-03-29,0
2002-04-30,31.6726
2002-05-31,28.2777
2002-06-28,17.2397
2002-07-31,8.3762
2002-08-30,2.1705
2002-09-30,-27.2999
2002-10-31,-14.8247
2002-11-29,-6.3562
2002-12-31,-16.6069
2003-01-31,-22.8092
2003-02-28,-19.4779
2003-03-31,-12.9088
2003-04-30,3.8043
2003-05-30,20.2174
2003-06-30,23.3521
2003-07-31,28.2374
2003-08-29,13.7644
2003-09-30,-0.6029
2003-10-31,8.3937
2003-11-28,25.0890
2003-12-31,27.2063
2004-01-30,14.7796
2004-02-27,6.7355
2004-03-31,3.6189
2004-04-30,21.8666
2004-05-31,0
2004-06-30,18.4333
2004-07-30,13.6241
2004-08-31,11.9416
2004-09-30,-9.5490
2004-10-29,-9.7127
2004-11-30,3.5612
2004-12-31,9.7952
2005-01-31,2.7853
2005-02-28,3.7280
2005-03-31,-2.2951
2005-04-29,4.7458
2005-05-31,14.2964
2005-06-30,9.1822
2005-07-29,29.4002
2005-08-31,19.7240
2005-09-30,7.7120
2005-10-31,9.5557
2005-11-30,11.9725
2005-12-30,20.4947
2006-01-31,33.5199
2006-02-28,19.8546
2006-03-31,13.4725
2006-04-28,21.5493
2006-05-31,20.1594
2006-06-30,17.7523
2006-07-31,20.9689
2006-08-31,22.7232
2006-09-29,18.9913
2006-10-31,23.9923
2006-11-30,24.8138
2006-12-29,24.8918
2007-01-31,30.6550
2007-02-28,26.2813
2007-03-30,24.2436
2007-04-30,41.0615
2007-05-31,31.4327
2007-06-29,15.9930
2007-07-31,17.3353
2007-08-31,7.5719
2007-09-28,5.5338
2007-10-31,6.1061
2007-11-30,-0.4742
2007-12-31,2.7139
2008-01-31,4.4127
2008-02-29,-4.9607
2008-03-31,-2.2986
2008-04-30,19.5998
2008-05-30,28.8981
2008-06-30,13.3586
2008-07-31,20.3912
2008-08-29,20.7167
2008-09-30,10.8571
2008-10-31,-6.1990
2008-11-28,-26.7360
2008-12-31,-17.5089
2009-01-30,-43.7227
2009-02-27,-59.8252
2009-03-31,-56.2256
2009-04-30,-30.4320
2009-05-29,-44.6419
2009-06-30,-48.5376
2009-07-31,-13.6791
2009-08-31,22.4735
2009-09-30,-3.4250
2009-10-30,6.2806
2009-11-30,31.8592
2009-12-31,63.8026
2010-01-29,47.8975
2010-02-26,41.1000
2010-03-31,41.8017
2010-04-30,71.7534
2010-05-31,0
2010-06-30,15.2924
2010-07-30,23.8061
2010-08-31,11.2557
2010-09-30,19.5330
2010-10-29,18.0841
2010-11-30,28.7120
2010-12-31,31.9619
2011-01-31,28.5517
2011-02-28,26.1094
2011-03-31,39.6819
2011-04-29,44.4502
2011-05-31,47.8852
2011-06-30,39.6290
2011-07-29,19.3096
2011-08-31,3.1861
2011-09-30,-20.7781
2011-10-31,-4.1707
2011-11-30,-10.2848
2011-12-30,-9.2083
2012-01-31,-3.5522
