,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,-23.7351
2000-09-29,-1.5587
2000-10-31,34.8921
2000-11-30,39.5349
2000-12-29,60.2386
2001-01-31,76.6438
2001-02-28,116.9374
2001-03-30,57.7181
2001-04-30,96.5405
2001-05-31,90.9492
2001-06-29,64.4791
2001-07-31,59.3333
2001-08-31,38.5403
2001-09-28,32.7481
2001-10-31,51.2492
2001-11-30,6.8169
2001-12-31,1.5000
2002-01-31,33.6238
2002-02-28,18.5442
2002-03-29,0
2002-04-30,9.4368
2002-05-31,2.1739
2002-06-28,-9.3454
2002-07-31,16.0556
2002-08-30,1.4222
2002-09-30,45.6725
2002-10-31,56.0588
2002-11-29,24.2077
2002-12-31,14.4948
2003-01-31,12.7404
2003-02-28,10.1658
2003-03-31,37.2508
2003-04-30,24.3836
2003-05-30,5.0792
2003-06-30,2.5766
2003-07-31,-11.6494
2003-08-29,-9.2248
2003-09-30,-5.8487
2003-10-31,-10.1812
2003-11-28,-2.4051
2003-12-31,-11.9252
2004-01-30,9.2873
2004-02-27,9.3316
2004-03-31,7.3211
2004-04-30,-4.7701
2004-05-31,0
2004-06-30,-5.8038
2004-07-30,-8.0912
2004-08-31,8.3847
2004-09-30,-1.9660
2004-10-29,-9.0789
2004-11-30,-13.3005
2004-12-31,-5.3094
2005-01-31,-10.4906
2005-02-28,10.0979
2005-03-31,13.4831
2005-04-29,7.5386
2005-05-31,13.5900
2005-06-30,9.6081
2005-07-29,26.6994
2005-08-31,15.2460
2005-09-30,-1.5826
2005-10-31,-0.1611
2005-11-30,3.0254
2005-12-30,1.7021
2006-01-31,12.2478
2006-02-28,3.8688
2006-03-31,-2.6812
2006-04-28,-12.6879
2006-05-31,-11.0089
2006-06-30,-9.7354
2006-07-31,2.6173
2006-08-31,-3.3926
2006-09-29,-9.2264
2006-10-31,-4.1344
2006-11-30,-0.3794
2006-12-29,0.9908
2007-01-31,7.8986
2007-02-28,14.0995
2007-03-30,22.3579
2007-04-30,13.2880
2007-05-31,33.1094
2007-06-29,24.4944
2007-07-31,15.4762
2007-08-31,12.0406
2007-09-28,7.3405
2007-10-31,14.9997
2007-11-30,4.6204
2007-12-31,12.9099
2008-01-31,-7.9970
2008-02-29,-9.6217
2008-03-31,-9.5847
2008-04-30,-8.3973
2008-05-30,10.1389
2008-06-30,7.9544
2008-07-31,21.4681
2008-08-29,33.1963
2008-09-30,31.7224
2008-10-31,16.6737
2008-11-28,17.1761
2008-12-31,-12.7225
2009-01-30,1.1047
2009-02-27,-26.4351
2009-03-31,-24.1234
2009-04-30,-21.2980
2009-05-29,-35.4348
2009-06-30,-28.6827
2009-07-31,-12.7739
2009-08-31,-6.1405
2009-09-30,16.0804
2009-10-30,23.8184
2009-11-30,27.0343
2009-12-31,35.5428
2010-01-29,12.6288
2010-02-26,29.6936
2010-03-31,47.3956
2010-04-30,35.4090
2010-05-31,0
2010-06-30,17.7155
2010-07-30,5.6148
2010-08-31,-9.2917
2010-09-30,18.6421
2010-10-29,25.4902
2010-11-30,13.4213
2010-12-31,10.8478
2011-01-31,-1.1403
2011-02-28,3.3649
2011-03-31,8.4556
2011-04-29,17.1567
2011-05-31,21.2857
2011-06-30,9.5185
2011-07-29,3.1432
2011-08-31,-5.5112
2011-09-30,-20.2843
2011-10-31,-13.0365
2011-11-30,-10.2096
2011-12-30,-5.8375
