,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,44.4606
2000-09-29,86.7448
2000-10-31,83.3333
2000-11-30,124.2470
2000-12-29,123.9067
2001-01-31,137.4465
2001-02-28,58.6207
2001-03-30,31.3415
2001-04-30,30.8571
2001-05-31,50.4892
2001-06-29,38.1215
2001-07-31,45.0777
2001-08-31,18.8666
2001-09-28,19.4381
2001-10-31,28.6465
2001-11-30,20.4527
2001-12-31,49.3269
2002-01-31,47.3978
2002-02-28,23.0552
2002-03-29,0
2002-04-30,34.8185
2002-05-31,33.3333
2002-06-28,6.4274
2002-07-31,8.7579
2002-08-30,6.0718
2002-09-30,-2.3122
2002-10-31,-6.6457
2002-11-29,-12.0152
2002-12-31,-1.5369
2003-01-31,12.1637
2003-02-28,11.4826
2003-03-31,26.5905
2003-04-30,55.2990
2003-05-30,48.1775
2003-06-30,53.3333
2003-07-31,42.3077
2003-08-29,53.8712
2003-09-30,56.0813
2003-10-31,43.2512
2003-11-28,47.7146
2003-12-31,29.0221
2004-01-30,44.7130
2004-02-27,32.2833
2004-03-31,13.7942
2004-04-30,49.0618
2004-05-31,0
2004-06-30,38.8139
2004-07-30,25.5442
2004-08-31,14.2864
2004-09-30,25.2831
2004-10-29,20.8099
2004-11-30,3.3729
2004-12-31,14.6679
2005-01-31,6.2473
2005-02-28,9.6878
2005-03-31,-6.3535
2005-04-29,7.2827
2005-05-31,24.0185
2005-06-30,21.4594
2005-07-29,24.6647
2005-08-31,17.8131
2005-09-30,14.8748
2005-10-31,24.3726
2005-11-30,19.9950
2005-12-30,36.0802
2006-01-31,35.8684
2006-02-28,19.6536
2006-03-31,1.2596
2006-04-28,-8.9273
2006-05-31,-24.7573
2006-06-30,-31.0213
2006-07-31,-16.6102
2006-08-31,-27.7149
2006-09-29,-32.0170
2006-10-31,-36.1880
2006-11-30,-24.0628
2006-12-29,-17.9165
2007-01-31,19.1086
2007-02-28,4.2302
2007-03-30,18.4194
2007-04-30,27.6551
2007-05-31,26.7518
2007-06-29,9.9655
2007-07-31,14.3387
2007-08-31,30.1374
2007-09-28,16.7417
2007-10-31,3.2184
2007-11-30,-5.0860
2007-12-31,8.1139
2008-01-31,-2.4849
2008-02-29,-1.3541
2008-03-31,1.0765
2008-04-30,3.9658
2008-05-30,-8.1794
2008-06-30,-11.0144
2008-07-31,3.1901
2008-08-29,17.8755
2008-09-30,5.0737
2008-10-31,-7.6269
2008-11-28,-35.0556
2008-12-31,-21.6730
2009-01-30,-17.6217
2009-02-27,-19.8065
2009-03-31,-12.7940
2009-04-30,-23.7489
2009-05-29,-15.3396
2009-06-30,-4.5296
2009-07-31,-0.1060
2009-08-31,15.1479
2009-09-30,24.4735
2009-10-30,12.1791
2009-11-30,-4.1014
2009-12-31,-1.5261
2010-01-29,7.4929
2010-02-26,1.5139
2010-03-31,11.1562
2010-04-30,3.8149
2010-05-31,0
2010-06-30,-7.5564
2010-07-30,10.5200
2010-08-31,-0.4893
2010-09-30,1.9435
2010-10-29,-1.1358
2010-11-30,1.2032
2010-12-31,6.8750
2011-01-31,-0.9295
2011-02-28,21.8011
2011-03-31,36.2690
2011-04-29,45.9676
2011-05-31,36.6544
2011-06-30,29.9697
2011-07-29,18.7909
2011-08-31,18.3164
2011-09-30,-11.9945
2011-10-31,-4.6124
2011-11-30,-17.6747
2011-12-30,-25.5859
