,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,58.2431
2000-09-29,21.5127
2000-10-31,0.8089
2000-11-30,-55.9908
2000-12-29,-37.5843
2001-01-31,-14.2857
2001-02-28,-67.5196
2001-03-30,-68.9288
2001-04-30,-47.7234
2001-05-31,-42.3026
2001-06-29,-28.5887
2001-07-31,54.0202
2001-08-31,-10.0538
2001-09-28,-60.5177
2001-10-31,-18.4874
2001-11-30,-8.3620
2001-12-31,56.3845
2002-01-31,19.3201
2002-02-28,-44.8264
2002-03-29,0
2002-04-30,-52.7027
2002-05-31,-68.4031
2002-06-28,-77.5758
2002-07-31,-87.7997
2002-08-30,-84.6659
2002-09-30,-80.0879
2002-10-31,-61.6216
2002-11-29,-37.9825
2002-12-31,-51.7627
2003-01-31,-58.9864
2003-02-28,-39.5147
2003-03-31,-4.4479
2003-04-30,17.5824
2003-05-30,125.9819
2003-06-30,37.8819
2003-07-31,83.1897
2003-08-29,44.8980
2003-09-30,-8.6345
2003-10-31,2.1310
2003-11-28,36.5148
2003-12-31,18.2065
2004-01-30,80.1358
2004-02-27,67.7083
2004-03-31,70.3650
2004-04-30,-0.9270
2004-05-31,0
2004-06-30,-21.2804
2004-07-30,-22.4792
2004-08-31,-5.8757
2004-09-30,14.7700
2004-10-29,-8.3505
2004-11-30,-3.8722
2004-12-31,-17.3532
2005-01-31,-32.1109
2005-02-28,-19.6013
2005-03-31,-26.0768
2005-04-29,-28.3951
2005-05-31,-12.4481
2005-06-30,-19.4536
2005-07-29,-28.6271
2005-08-31,-19.9578
2005-09-30,-33.6484
2005-10-31,-36.1144
2005-11-30,-28.6093
2005-12-30,-22.8788
2006-01-31,0.9560
2006-02-28,-0.9416
2006-03-31,-1.4535
2006-04-28,-13.5593
2006-05-31,-15.1424
2006-06-30,-22.6124
2006-07-31,-13.4122
2006-08-31,-5.1230
2006-09-29,-9.2657
2006-10-31,25.3308
2006-11-30,40.0387
2006-12-29,21.6495
2007-01-31,-10.9756
2007-02-28,0.7634
2007-03-30,7.6779
2007-04-30,41.7695
2007-05-31,67.6123
2007-06-29,47.5904
2007-07-31,15.4519
2007-08-31,17.5857
2007-09-28,19.8939
2007-10-31,25.6131
2007-11-30,37.3676
2007-12-31,30.1685
2008-01-31,28.5942
2008-02-29,15.6863
2008-03-31,1.1111
2008-04-30,2.7187
2008-05-30,37.7333
2008-06-30,17.0819
2008-07-31,5.8166
2008-08-29,14.6572
2008-09-30,-7.1111
2008-10-31,0.9915
2008-11-28,-35.6033
2008-12-31,-28.2383
2009-01-30,-44.6154
2009-02-27,-22.4344
2009-03-31,-25.7143
2009-04-30,-10.3448
2009-05-29,-3.1504
2009-06-30,16.4090
2009-07-31,77.9087
2009-08-31,104.0351
2009-09-30,200.2268
2009-10-30,134.3820
2009-11-30,92.3438
2009-12-31,75.8364
2010-01-29,43.2280
2010-02-26,80.2834
2010-03-31,55.2239
2010-04-30,49.6000
2010-05-31,0
2010-06-30,21.1400
2010-07-30,45.5980
2010-08-31,48.2529
2010-09-30,47.3272
2010-10-29,49.5108
2010-11-30,80.2408
2010-12-31,80.9735
2011-01-31,96.5965
2011-02-28,128.0457
2011-03-31,88.7012
2011-04-29,79.1572
2011-05-31,49.3842
2011-06-30,19.3146
2011-07-29,19.1059
2011-08-31,-10.0697
2011-09-30,-33.4815
2011-10-31,-39.0649
