,ROC_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,-38.9343
2000-09-29,4.1615
2000-10-31,14.8753
2000-11-30,28.1846
2000-12-29,42.5345
2001-01-31,45.2572
2001-02-28,26.7740
2001-03-30,33.8625
2001-04-30,39.8632
2001-05-31,39.0317
2001-06-29,33.1352
2001-07-31,57.8320
2001-08-31,34.5483
2001-09-28,15.4396
2001-10-31,-23.4158
2001-11-30,-17.9747
2001-12-31,0.2762
2002-01-31,-8.4317
2002-02-28,0.9568
2002-03-29,0
2002-04-30,3.5353
2002-05-31,-2.8821
2002-06-28,-0.0839
2002-07-31,30.6147
2002-08-30,21.2032
2002-09-30,-2.1666
2002-10-31,7.5966
2002-11-29,12.3424
2002-12-31,-2.7040
2003-01-31,-8.0529
2003-02-28,-11.5714
2003-03-31,-11.8027
2003-04-30,7.5716
2003-05-30,14.9366
2003-06-30,24.8480
2003-07-31,35.5444
2003-08-29,19.1745
2003-09-30,16.9029
2003-10-31,23.8493
2003-11-28,41.2833
2003-12-31,54.3710
2004-01-30,39.3030
2004-02-27,31.7196
2004-03-31,16.4550
2004-04-30,6.2958
2004-05-31,0
2004-06-30,21.2317
2004-07-30,16.2209
2004-08-31,11.1044
2004-09-30,8.3493
2004-10-29,6.4624
2004-11-30,10.5386
2004-12-31,14.6335
2005-01-31,18.8238
2005-02-28,18.1837
2005-03-31,6.2863
2005-04-29,1.4734
2005-05-31,4.9310
2005-06-30,4.6279
2005-07-29,6.5159
2005-08-31,-0.7264
2005-09-30,-2.2674
2005-10-31,1.0934
2005-11-30,3.2804
2005-12-30,6.6927
2006-01-31,10.3663
2006-02-28,12.5671
2006-03-31,7.9232
2006-04-28,8.9374
2006-05-31,5.4758
2006-06-30,8.7643
2006-07-31,19.0825
2006-08-31,10.2086
2006-09-29,13.3719
2006-10-31,16.2607
2006-11-30,14.4681
2006-12-29,21.4157
2007-01-31,20.7724
2007-02-28,16.0545
2007-03-30,16.2547
2007-04-30,14.5144
2007-05-31,11.9564
2007-06-29,4.8354
2007-07-31,-8.4623
2007-08-31,-0.6577
2007-09-28,0.2391
2007-10-31,-3.9052
2007-11-30,-5.6645
2007-12-31,-5.0304
2008-01-31,1.9961
2008-02-29,-3.7465
2008-03-31,-0.3496
2008-04-30,6.0771
2008-05-30,16.7180
2008-06-30,-8.6569
2008-07-31,-1.9184
2008-08-29,2.3072
2008-09-30,14.2758
2008-10-31,2.5831
2008-11-28,-13.5093
2008-12-31,-21.2987
2009-01-30,-53.1418
2009-02-27,-55.9984
2009-03-31,-50.3130
2009-04-30,-17.0735
2009-05-29,-34.9399
2009-06-30,-45.1205
2009-07-31,-33.5661
2009-08-31,-7.9731
2009-09-30,-13.1762
2009-10-30,23.0884
2009-11-30,96.2009
2009-12-31,43.6907
2010-01-29,41.2099
2010-02-26,38.5636
2010-03-31,46.5683
2010-04-30,50.1779
2010-05-31,0
2010-06-30,2.5578
2010-07-30,5.2579
2010-08-31,-12.7842
2010-09-30,-5.3524
2010-10-29,-3.8503
2010-11-30,0.3019
2010-12-31,4.6273
2011-01-31,-1.0180
2011-02-28,5.7815
2011-03-31,15.5783
2011-04-29,6.7566
2011-05-31,16.2316
2011-06-30,14.0945
2011-07-29,15.3215
2011-08-31,-5.8564
2011-09-30,-7.2065
2011-10-31,-5.0874
2011-11-30,-8.1586
2011-12-30,4.6960
