,ROC_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,13.3548
2001-11-30,51.1706
2001-12-31,99.5552
2002-01-31,41.2603
2002-02-28,15.8850
2002-03-29,0
2002-04-30,-23.4286
2002-05-31,-24.2919
2002-06-28,-24.3028
2002-07-31,-18.3168
2002-08-30,-15.7275
2002-09-30,-20.2235
2002-10-31,2.4272
2002-11-29,21.9899
2002-12-31,47.4590
2003-01-31,-2.0710
2003-02-28,-23.3766
2003-03-31,-16.7114
2003-04-30,-1.7178
2003-05-30,11.0970
2003-06-30,15.9615
2003-07-31,16.4269
2003-08-29,14.6883
2003-09-30,24.0422
2003-10-31,17.8841
2003-11-28,4.7539
2003-12-31,13.9887
2004-01-30,-2.1092
2004-02-27,-8.8398
2004-03-31,-6.9767
2004-04-30,5.1770
2004-05-31,0
2004-06-30,9.3514
2004-07-30,2.8392
2004-08-31,4.6092
2004-09-30,-0.7339
2004-10-29,-2.5755
2004-11-30,0.1544
2004-12-31,0.0371
2005-01-31,5.7224
2005-02-28,-4.6997
2005-03-31,-8.4187
2005-04-29,-15.9892
2005-05-31,-8.2381
2005-06-30,-9.2111
2005-07-29,13.3032
2005-08-31,2.0494
2005-09-30,14.6847
2005-10-31,5.8677
2005-11-30,11.9459
2005-12-30,17.1000
2006-01-31,19.7493
2006-02-28,14.8383
2006-03-31,2.0706
2006-04-28,-8.3544
2006-05-31,-13.0368
2006-06-30,-4.6465
2006-07-31,-0.3066
2006-08-31,9.7299
2006-09-29,12.2875
2006-10-31,15.5226
2006-11-30,18.0089
2006-12-29,19.0895
2007-01-31,14.4633
2007-02-28,7.7711
2007-03-30,5.9373
2007-04-30,2.6516
2007-05-31,16.1748
2007-06-29,10.7696
2007-07-31,7.7494
2007-08-31,3.4907
2007-09-28,-5.9799
2007-10-31,-5.9999
2007-11-30,-13.8941
2007-12-31,-8.8602
2008-01-31,-9.8438
2008-02-29,3.3421
2008-03-31,-2.4681
2008-04-30,9.9239
2008-05-30,16.2632
2008-06-30,10.7425
2008-07-31,8.0466
2008-08-29,0.8043
2008-09-30,-4.6663
2008-10-31,-18.2078
2008-11-28,-17.9555
2008-12-31,-0.5450
2009-01-30,-1.9571
2009-02-27,0.4474
2009-03-31,-18.3546
2009-04-30,-10.4927
2009-05-29,6.2101
2009-06-30,19.3295
2009-07-31,16.3184
2009-08-31,8.0550
2009-09-30,14.4305
2009-10-30,7.5060
2009-11-30,21.5461
2009-12-31,10.3386
2010-01-29,8.8712
2010-02-26,-2.6072
2010-03-31,-0.2852
2010-04-30,5.8179
2010-05-31,0
2010-06-30,-6.1013
2010-07-30,-5.9995
2010-08-31,0.1368
2010-09-30,8.2272
2010-10-29,12.9713
2010-11-30,13.4028
2010-12-31,8.3456
2011-01-31,13.5201
2011-02-28,17.0000
2011-03-31,13.8803
2011-04-29,9.5598
2011-05-31,9.8702
2011-06-30,10.8698
2011-07-29,5.7771
2011-08-31,-4.7628
2011-09-30,-16.9609
2011-10-31,6.5695
2011-11-30,15.5580
2011-12-30,-1.8127
2012-01-31,-1.9494
2012-02-29,2.7083
2012-03-30,21.8591
