,ROC_daily_60
2000-01-31,-23.3610
2000-02-29,-22.4177
2000-03-31,-17.4990
2000-04-28,-7.4054
2000-05-31,16.4797
2000-06-30,15.0494
2000-07-31,31.1749
2000-08-31,9.9464
2000-09-29,8.8590
2000-10-31,11.5371
2000-11-30,28.2827
2000-12-29,24.0653
2001-01-31,3.6651
2001-02-28,-6.0991
2001-03-30,-3.6237
2001-04-30,-4.1749
2001-05-31,0.3820
2001-06-29,13.6013
2001-07-31,-14.3553
2001-08-31,-5.6612
2001-09-28,-8.8451
2001-10-31,9.1326
2001-11-30,-9.5983
2001-12-31,-2.4758
2002-01-31,0.4728
2002-02-28,15.3144
2002-03-29,0
2002-04-30,16.6042
2002-05-31,4.1840
2002-06-28,0.6136
2002-07-31,-9.3631
2002-08-30,2.2676
2002-09-30,-3.7851
2002-10-31,2.7626
2002-11-29,5.3613
2002-12-31,8.4116
2003-01-31,1.6630
2003-02-28,-5.3553
2003-03-31,-8.4569
2003-04-30,4.1964
2003-05-30,15.9924
2003-06-30,17.2030
2003-07-31,7.0299
2003-08-29,-1.5337
2003-09-30,-3.0755
2003-10-31,5.1205
2003-11-28,1.7479
2003-12-31,-0.9087
2004-01-30,5.0270
2004-02-27,7.6657
2004-03-31,5.5444
2004-04-30,0.0323
2004-05-31,0
2004-06-30,-0.4681
2004-07-30,2.1336
2004-08-31,5.0182
2004-09-30,0.0086
2004-10-29,5.3624
2004-11-30,8.1631
2004-12-31,7.2693
2005-01-31,8.5158
2005-02-28,3.6520
2005-03-31,2.6153
2005-04-29,-5.6474
2005-05-31,1.8139
2005-06-30,6.4917
2005-07-29,9.9946
2005-08-31,5.5072
2005-09-30,-2.7028
2005-10-31,-7.8490
2005-11-30,-9.0885
2005-12-30,-4.6896
2006-01-31,0.8692
2006-02-28,0.5466
2006-03-31,-0.3948
2006-04-28,2.6640
2006-05-31,3.6796
2006-06-30,5.5567
2006-07-31,6.8527
2006-08-31,9.4347
2006-09-29,1.5399
2006-10-31,8.8719
2006-11-30,16.6980
2006-12-29,12.2893
2007-01-31,2.0717
2007-02-28,-2.6074
2007-03-30,-2.0233
2007-04-30,1.5278
2007-05-31,4.7353
2007-06-29,-4.5112
2007-07-31,-11.5836
2007-08-31,-7.5459
2007-09-28,-5.5658
2007-10-31,1.7869
2007-11-30,-4.7375
2007-12-31,-2.1232
2008-01-31,3.6071
2008-02-29,0.5146
2008-03-31,-7.6613
2008-04-30,-3.0957
2008-05-30,5.6149
2008-06-30,5.5048
2008-07-31,-5.7950
2008-08-29,1.6815
2008-09-30,1.0876
2008-10-31,-7.5589
2008-11-28,-5.4886
2008-12-31,-12.5711
2009-01-30,4.4362
2009-02-27,-4.5324
2009-03-31,-2.9085
2009-04-30,0.7252
2009-05-29,15.9084
2009-06-30,9.5530
2009-07-31,7.0471
2009-08-31,11.9959
2009-09-30,14.6033
2009-10-30,2.9949
2009-11-30,2.0163
2009-12-31,4.3193
2010-01-29,0.8682
2010-02-26,1.4778
2010-03-31,-2.0383
2010-04-30,8.4411
2010-05-31,0
2010-06-30,-7.6316
2010-07-30,1.9885
2010-08-31,7.1590
2010-09-30,6.3387
2010-10-29,0.6635
2010-11-30,4.3622
2010-12-31,7.4360
