,ROC_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,21.2598
2004-10-29,31.4049
2004-11-30,31.5042
2004-12-31,38.0092
2005-01-31,32.6385
2005-02-28,24.8451
2005-03-31,6.1912
2005-04-29,-1.1385
2005-05-31,3.9462
2005-06-30,29.5720
2005-07-29,30.4248
2005-08-31,25.5081
2005-09-30,11.0111
2005-10-31,4.2465
2005-11-30,13.0344
2005-12-30,20.3479
2006-01-31,12.0741
2006-02-28,23.7476
2006-03-31,32.4034
2006-04-28,37.9967
2006-05-31,6.8648
2006-06-30,-7.4349
2006-07-31,-17.8995
2006-08-31,-0.5190
2006-09-29,-2.9968
2006-10-31,24.9168
2006-11-30,40.3666
2006-12-29,36.7381
2007-01-31,30.0934
2007-02-28,1.9902
2007-03-30,1.5750
2007-04-30,-10.2836
2007-05-31,14.5583
2007-06-29,5.4913
2007-07-31,-6.7059
2007-08-31,-18.3628
2007-09-28,-27.1204
2007-10-31,-23.2609
2007-11-30,-14.1049
2007-12-31,-22.2022
2008-01-31,-13.6039
2008-02-29,-15.0000
2008-03-31,1.2161
2008-04-30,21.0471
2008-05-30,18.2728
2008-06-30,-11.4391
2008-07-31,-39.2301
2008-08-29,-41.1791
2008-09-30,-27.7688
2008-10-31,-53.6376
2008-11-28,-64.0945
2008-12-31,-47.5091
2009-01-30,-52.0639
2009-02-27,-10.2484
2009-03-31,-10.0446
2009-04-30,111.8644
2009-05-29,162.5899
2009-06-30,86.4542
2009-07-31,14.3757
2009-08-31,47.2637
2009-09-30,47.6730
2009-10-30,-9.1308
2009-11-30,3.9091
2009-12-31,17.6930
2010-01-29,16.4773
2010-02-26,15.4856
2010-03-31,14.6889
2010-04-30,26.5157
2010-05-31,0
2010-06-30,-17.6649
2010-07-30,0.8902
2010-08-31,16.8683
2010-09-30,33.4307
2010-10-29,8.3235
2010-11-30,6.9081
2010-12-31,10.1668
2011-01-31,17.5318
2011-02-28,31.2369
2011-03-31,30.6902
2011-04-29,11.1065
2011-05-31,5.4248
2011-06-30,-10.7993
2011-07-29,-17.1103
2011-08-31,-40.2679
2011-09-30,-48.3500
2011-10-31,-2.6820
2011-11-30,20.4155
2011-12-30,9.9711
2012-01-31,10.5384
2012-02-29,11.0909
2012-03-30,24.3614
2012-04-30,-0.6339
2012-05-31,-8.2543
2012-06-29,-14.0305
2012-07-31,-13.1065
2012-08-31,7.2491
2012-09-28,14.4900
2012-10-31,5.5035
2012-11-30,9.9303
2012-12-31,4.8472
2013-01-31,22.9630
