,ROC_daily_60
2000-01-31,99.2857
2000-02-29,163.4931
2000-03-31,57.4818
2000-04-28,88.2400
2000-05-31,-37.2624
2000-06-30,105.5387
2000-07-31,8.2083
2000-08-31,57.0125
2000-09-29,16.6667
2000-10-31,12.9474
2000-11-30,-11.4525
2000-12-29,-41.1765
2001-01-31,-59.7476
2001-02-28,-54.2061
2001-03-30,-16.6667
2001-04-30,-36.3243
2001-05-31,8.5725
2001-06-29,65.9954
2001-07-31,56.1121
2001-08-31,-17.4777
2001-09-28,-6.0768
2001-10-31,20.2337
2001-11-30,26.2758
2001-12-31,24.3475
2002-01-31,-20.7056
2002-02-28,-25.2221
2002-03-29,0
2002-04-30,-29.7585
2002-05-31,-35.1819
2002-06-28,-37.2951
2002-07-31,-4.1853
2002-08-30,-1.2500
2002-09-30,24.7407
2002-10-31,30.2941
2002-11-29,51.6646
2002-12-31,34.8618
2003-01-31,-5.3677
2003-02-28,-9.0909
2003-03-31,19.1956
2003-04-30,20.7350
2003-05-30,36.8696
2003-06-30,6.2325
2003-07-31,28.0714
2003-08-29,11.9221
2003-09-30,35.3548
2003-10-31,24.5965
2003-11-28,8.8810
2003-12-31,-1.6867
2004-01-30,-1.2686
2004-02-27,-13.9589
2004-03-31,8.7155
2004-04-30,26.8125
2004-05-31,0
2004-06-30,12.2745
2004-07-30,2.5577
2004-08-31,-3.4700
2004-09-30,3.3730
2004-10-29,15.7257
2004-11-30,-3.3656
2004-12-31,-15.9962
2005-01-31,-13.2063
2005-02-28,-2.2670
2005-03-31,29.4677
2005-04-29,36.0732
2005-05-31,47.6290
2005-06-30,15.7895
2005-07-29,23.6434
2005-08-31,26.1689
2005-09-30,33.3006
2005-10-31,18.0804
2005-11-30,14.4252
2005-12-30,25.8008
2006-01-31,23.3316
2006-02-28,24.7538
2006-03-31,35.2914
2006-04-28,17.6339
2006-05-31,2.8026
2006-06-30,12.6871
2006-07-31,19.1887
2006-08-31,-4.0556
2006-09-29,-8.4567
2006-10-31,18.4135
2006-11-30,36.3258
2006-12-29,29.2519
2007-01-31,1.4937
2007-02-28,-4.7704
2007-03-30,-8.2867
2007-04-30,9.0196
2007-05-31,19.4360
2007-06-29,3.2973
2007-07-31,-3.9188
2007-08-31,12.1768
2007-09-28,23.4805
2007-10-31,8.2322
2007-11-30,-7.5687
2007-12-31,-36.1564
2008-01-31,-13.5972
2008-02-29,-6.4202
2008-03-31,32.3758
2008-04-30,8.4657
2008-05-30,6.2129
2008-06-30,-0.6842
2008-07-31,15.0061
2008-08-29,9.3923
2008-09-30,-8.5417
2008-10-31,-12.9268
2008-11-28,-22.8034
2008-12-31,-1.1622
2009-01-30,-18.8257
2009-02-27,-6.4617
2009-03-31,-21.4020
2009-04-30,-19.6388
2009-05-29,-0.4713
2009-06-30,13.4994
2009-07-31,45.6405
