,ROC_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,-10.1852
2005-05-31,-6.2386
2005-06-30,-7.8841
2005-07-29,23.7344
2005-08-31,16.7449
2005-09-30,7.3699
2005-10-31,-4.1090
2005-11-30,-7.0660
2005-12-30,13.6765
2006-01-31,12.5823
2006-02-28,23.9562
2006-03-31,6.1289
2006-04-28,8.9893
2006-05-31,-5.8649
2006-06-30,-0.3848
2006-07-31,-14.2239
2006-08-31,-3.1536
2006-09-29,-12.0375
2006-10-31,15.4623
2006-11-30,23.4565
2006-12-29,45.8832
2007-01-31,26.1629
2007-02-28,30.7725
2007-03-30,22.0456
2007-04-30,25.4234
2007-05-31,21.0103
2007-06-29,24.8127
2007-07-31,7.8646
2007-08-31,-3.2679
2007-09-28,-3.4916
2007-10-31,19.2881
2007-11-30,10.3308
2007-12-31,6.2229
2008-01-31,-10.7752
2008-02-29,-2.5013
2008-03-31,-9.1327
2008-04-30,16.2580
2008-05-30,21.4755
2008-06-30,9.4471
2008-07-31,-15.5590
2008-08-29,-21.5246
2008-09-30,-35.1109
2008-10-31,-61.5818
2008-11-28,-66.4152
2008-12-31,-38.2009
2009-01-30,-24.4571
2009-02-27,-14.8561
2009-03-31,2.4437
2009-04-30,119.8564
2009-05-29,122.9461
2009-06-30,43.6502
2009-07-31,16.6747
2009-08-31,20.3189
2009-09-30,16.7773
2009-10-30,4.5374
2009-11-30,19.2280
2009-12-31,28.4486
2010-01-29,6.6828
2010-02-26,4.9315
2010-03-31,-4.1239
2010-04-30,2.2285
2010-05-31,0
2010-06-30,-24.7670
2010-07-30,-3.0596
2010-08-31,2.2915
2010-09-30,27.5146
2010-10-29,21.6420
2010-11-30,27.7721
2010-12-31,23.2585
2011-01-31,13.0287
2011-02-28,7.9833
2011-03-31,6.5261
2011-04-29,13.6853
2011-05-31,24.9664
2011-06-30,14.8480
2011-07-29,17.1310
2011-08-31,-1.8499
2011-09-30,-41.3530
2011-10-31,-0.4390
2011-11-30,11.7404
2011-12-30,31.4910
2012-01-31,15.4115
2012-02-29,3.2324
2012-03-30,-0.5172
2012-04-30,-3.9161
2012-05-31,-11.1034
2012-06-29,-23.2406
2012-07-31,-17.7524
2012-08-31,-2.2781
2012-09-28,10.7775
2012-10-31,-0.5876
2012-11-30,10.2440
2012-12-31,17.4465
2013-01-31,19.7140
2013-02-28,14.3275
