,ROC_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,12.0919
2006-05-31,26.1629
2006-06-30,6.6492
2006-07-31,-5.5925
2006-08-31,-15.8164
2006-09-29,-15.8991
2006-10-31,10.1103
2006-11-30,15.6918
2006-12-29,11.7866
2007-01-31,2.0611
2007-02-28,3.6276
2007-03-30,10.0869
2007-04-30,9.0803
2007-05-31,44.1984
2007-06-29,31.7066
2007-07-31,12.7217
2007-08-31,25.5160
2007-09-28,43.0492
2007-10-31,28.1106
2007-11-30,26.4963
2007-12-31,18.8348
2008-01-31,-8.5814
2008-02-29,-25.2990
2008-03-31,-22.6631
2008-04-30,-16.0852
2008-05-30,-9.3498
2008-06-30,-29.1788
2008-07-31,-30.3720
2008-08-29,-26.9932
2008-09-30,-29.3211
2008-10-31,-28.6618
2008-11-28,-27.8311
2008-12-31,26.6190
2009-01-30,-2.5704
2009-02-27,19.7239
2009-03-31,3.4924
2009-04-30,65.1191
2009-05-29,56.0394
2009-06-30,12.5492
2009-07-31,16.3278
2009-08-31,-1.8144
2009-09-30,26.2850
2009-10-30,-12.6206
2009-11-30,-1.2426
2009-12-31,-3.9023
2010-01-29,16.6667
2010-02-26,25.4763
2010-03-31,28.2673
2010-04-30,34.3993
2010-05-31,0
2010-06-30,11.9833
2010-07-30,9.5556
2010-08-31,8.4562
2010-09-30,24.2326
2010-10-29,39.2765
2010-11-30,58.0882
2010-12-31,21.6451
2011-01-31,-0.1824
2011-02-28,-5.3396
2011-03-31,22.4850
2011-04-29,16.5531
2011-05-31,13.3608
2011-06-30,10.8517
2011-07-29,24.5845
2011-08-31,11.4006
2011-09-30,-7.7750
2011-10-31,7.8968
2011-11-30,3.5853
2011-12-30,12.2843
2012-01-31,11.4283
2012-02-29,20.7962
2012-03-30,19.8566
2012-04-30,14.1475
2012-05-31,6.6538
2012-06-29,-8.8936
2012-07-31,-28.3294
2012-08-31,-28.5651
2012-09-28,-17.0611
2012-10-31,-14.4868
2012-11-30,-7.7660
2012-12-31,-1.8154
2013-01-31,17.0364
2013-02-28,20.0963
2013-03-29,0
2013-04-30,16.1428
2013-05-31,9.7264
2013-06-28,12.7460
