,ROC_daily_60
2000-01-31,-7.0863
2000-02-29,-14.8780
2000-03-31,10.8942
2000-04-28,25.2577
2000-05-31,15.9794
2000-06-30,-17.9711
2000-07-31,-11.5987
2000-08-31,-0.0983
2000-09-29,11.8804
2000-10-31,-7.1257
2000-11-30,-17.1515
2000-12-29,-11.4528
2001-01-31,-3.9976
2001-02-28,-6.0040
2001-03-30,-13.3640
2001-04-30,-4.9607
2001-05-31,5.2611
2001-06-29,5.8027
2001-07-31,-5.2611
2001-08-31,-14.1598
2001-09-28,-18.8033
2001-10-31,-7.6720
2001-11-30,2.1907
2001-12-31,21.5811
2002-01-31,7.9354
2002-02-28,7.7166
2002-03-29,0
2002-04-30,-1.6144
2002-05-31,-15.0615
2002-06-28,-11.5040
2002-07-31,-18.1626
2002-08-30,-15.8269
2002-09-30,-25.4678
2002-10-31,-9.6591
2002-11-29,12.4717
2002-12-31,15.0972
2003-01-31,0.6073
2003-02-28,-18.2129
2003-03-31,-20.0603
2003-04-30,11.9916
2003-05-30,21.9341
2003-06-30,21.1081
2003-07-31,25.6420
2003-08-29,14.2179
2003-09-30,13.3452
2003-10-31,9.3375
2003-11-28,1.2575
2003-12-31,5.6496
2004-01-30,5.1990
2004-02-27,2.1814
2004-03-31,-4.9151
2004-04-30,1.4211
2004-05-31,0
2004-06-30,4.7955
2004-07-30,-0.8103
2004-08-31,-4.0868
2004-09-30,-4.5244
2004-10-29,2.3943
2004-11-30,4.5274
2004-12-31,4.9209
2005-01-31,-3.3422
2005-02-28,-6.6973
2005-03-31,-7.8464
2005-04-29,-3.5328
2005-05-31,-4.0045
2005-06-30,-2.7237
2005-07-29,10.7081
2005-08-31,7.7007
2005-09-30,12.2884
2005-10-31,-4.3842
2005-11-30,-1.0284
2005-12-30,1.9000
2006-01-31,17.5348
2006-02-28,18.9336
2006-03-31,15.4759
2006-04-28,8.3207
2006-05-31,3.5928
2006-06-30,0.9603
2006-07-31,-5.7880
2006-08-31,4.6708
2006-09-29,-3.5962
2006-10-31,0.5773
2006-11-30,5.2979
2006-12-29,4.6925
2007-01-31,4.8162
2007-02-28,-3.7126
2007-03-30,0.3980
2007-04-30,-4.5800
2007-05-31,6.4394
2007-06-29,4.2932
2007-07-31,5.9019
2007-08-31,1.3346
2007-09-28,-0.8341
2007-10-31,-9.9799
2007-11-30,-5.5155
2007-12-31,-8.1260
2008-01-31,-10.2651
2008-02-29,-8.8255
2008-03-31,-5.5055
2008-04-30,17.2452
2008-05-30,29.5213
2008-06-30,9.2752
2008-07-31,-2.5514
2008-08-29,-8.0449
2008-09-30,-13.3659
2008-10-31,-34.0991
2008-11-28,-34.9144
2008-12-31,-5.3824
2009-01-30,-11.4004
2009-02-27,-7.4165
2009-03-31,-23.5236
2009-04-30,4.5745
2009-05-29,31.7860
2009-06-30,12.5435
2009-07-31,5.2990
2009-08-31,-2.3786
2009-09-30,25.7370
2009-10-30,11.8253
2009-11-30,20.6666
2009-12-31,10.3289
2010-01-29,13.1893
2010-02-26,11.3583
2010-03-31,11.0055
2010-04-30,19.0205
2010-05-31,0
2010-06-30,-11.7768
2010-07-30,-6.4824
