,ROC_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,2.6582
2004-12-31,3.4393
2005-01-31,-5.1468
2005-02-28,0.9284
2005-03-31,3.2608
2005-04-29,1.9683
2005-05-31,3.9649
2005-06-30,10.3629
2005-07-29,27.0971
2005-08-31,4.8872
2005-09-30,5.1020
2005-10-31,-1.0941
2005-11-30,-1.8682
2005-12-30,4.5077
2006-01-31,9.3585
2006-02-28,-0.0770
2006-03-31,13.6107
2006-04-28,4.9206
2006-05-31,1.5168
2006-06-30,-2.5046
2006-07-31,4.7394
2006-08-31,16.4194
2006-09-29,8.1416
2006-10-31,13.5214
2006-11-30,9.4742
2006-12-29,4.8811
2007-01-31,9.5900
2007-02-28,5.8299
2007-03-30,3.3800
2007-04-30,-4.2324
2007-05-31,-3.4920
2007-06-29,-12.3927
2007-07-31,-22.5745
2007-08-31,-9.4251
2007-09-28,-5.0953
2007-10-31,6.4398
2007-11-30,-3.8944
2007-12-31,-8.5197
2008-01-31,2.1243
2008-02-29,7.7955
2008-03-31,17.9208
2008-04-30,11.6203
2008-05-30,11.3716
2008-06-30,-7.9292
2008-07-31,-18.1527
2008-08-29,-3.5428
2008-09-30,4.0410
2008-10-31,-15.8672
2008-11-28,-42.3970
2008-12-31,-22.8612
2009-01-30,-28.4199
2009-02-27,-14.1200
2009-03-31,-43.1402
2009-04-30,-4.7960
2009-05-29,37.8959
2009-06-30,28.4615
2009-07-31,23.1417
2009-08-31,13.9241
2009-09-30,32.7044
2009-10-30,5.6291
2009-11-30,18.8108
2009-12-31,15.8226
2010-01-29,20.2527
2010-02-26,3.8518
2010-03-31,7.4933
2010-04-30,30.4013
2010-05-31,0
2010-06-30,4.4428
2010-07-30,-1.3495
2010-08-31,12.0442
2010-09-30,16.6961
2010-10-29,3.2957
2010-11-30,-1.0500
2010-12-31,8.3711
2011-01-31,15.1348
2011-02-28,21.4285
2011-03-31,17.8376
2011-04-29,11.6803
2011-05-31,10.8483
2011-06-30,6.3381
2011-07-29,0.8469
2011-08-31,3.3977
2011-09-30,-15.3995
2011-10-31,16.4987
2011-11-30,16.0350
2011-12-30,30.7407
2012-01-31,16.7717
2012-02-29,11.8146
2012-03-30,20.8449
2012-04-30,14.3820
2012-05-31,8.5059
2012-06-29,8.3921
2012-07-31,9.6109
2012-08-31,19.8557
2012-09-28,9.5397
2012-10-31,3.7060
2012-11-30,3.3123
2012-12-31,11.0223
2013-01-31,14.8996
2013-02-28,7.2714
