,ROC_daily_60
2000-01-31,-6.4823
2000-02-29,-16.7097
2000-03-31,-8.6474
2000-04-28,13.6294
2000-05-31,16.8588
2000-06-30,-8.3835
2000-07-31,-6.9114
2000-08-31,-38.8597
2000-09-29,-34.0628
2000-10-31,-9.4696
2000-11-30,-11.7132
2000-12-29,-10.1389
2001-01-31,9.3324
2001-02-28,23.5515
2001-03-30,13.0970
2001-04-30,4.9700
2001-05-31,-15.2968
2001-06-29,-13.1963
2001-07-31,-12.4140
2001-08-31,-16.7019
2001-09-28,-29.2303
2001-10-31,-35.2777
2001-11-30,-3.2540
2001-12-31,-7.9645
2002-01-31,-5.4537
2002-02-28,-20.9144
2002-03-29,0
2002-04-30,7.3826
2002-05-31,8.6117
2002-06-28,6.3271
2002-07-31,-14.8148
2002-08-30,-29.2097
2002-09-30,-37.0761
2002-10-31,-30.2893
2002-11-29,7.7189
2002-12-31,8.6657
2003-01-31,7.5586
2003-02-28,-26.5624
2003-03-31,-23.5404
2003-04-30,13.0435
2003-05-30,36.6230
2003-06-30,40.8211
2003-07-31,11.3046
2003-08-29,10.0806
2003-09-30,-2.8496
2003-10-31,14.0633
2003-11-28,12.0994
2003-12-31,41.6042
2004-01-30,19.7490
2004-02-27,5.4745
2004-03-31,-17.6787
2004-04-30,11.2966
2004-05-31,0
2004-06-30,15.3072
2004-07-30,-3.8488
2004-08-31,-4.7425
2004-09-30,-5.4646
2004-10-29,-7.5422
2004-11-30,0.5472
2004-12-31,4.0285
2005-01-31,0.1408
2005-02-28,-9.8674
2005-03-31,-22.4006
2005-04-29,-30.5978
2005-05-31,-18.6356
2005-06-30,-6.8224
2005-07-29,6.6929
2005-08-31,0.0281
2005-09-30,-3.0983
2005-10-31,-18.6898
2005-11-30,-17.3557
2005-12-30,-17.0248
2006-01-31,4.9451
2006-02-28,-0.8373
2006-03-31,0.5220
2006-04-28,-18.5912
2006-05-31,-5.5524
2006-06-30,-7.1372
2006-07-31,-1.6105
2006-08-31,24.1936
2006-09-29,23.6820
2006-10-31,15.4812
2006-11-30,-4.9123
2006-12-29,-12.2664
2007-01-31,-4.5775
2007-02-28,-3.1824
2007-03-30,5.0599
2007-04-30,-3.0157
2007-05-31,9.1623
2007-06-29,17.1642
2007-07-31,3.5280
2007-08-31,-3.1017
2007-09-28,-7.2131
2007-10-31,6.8675
2007-11-30,-3.4704
2007-12-31,-18.5230
2008-01-31,-25.8101
2008-02-29,-9.9310
2008-03-31,-13.3333
2008-04-30,23.6527
2008-05-30,11.1111
2008-06-30,-25.8860
2008-07-31,-41.9589
2008-08-29,-30.3125
2008-09-30,16.3311
2008-10-31,-54.9383
2008-11-28,-38.7244
2008-12-31,-37.9404
2009-01-30,-12.2066
2009-02-27,-21.5686
2009-03-31,6.9106
2009-04-30,205.1020
2009-05-29,207.4866
2009-06-30,86.7692
2009-07-31,27.7955
2009-08-31,19.4969
2009-09-30,30.3797
2009-10-30,-13.2590
2009-11-30,18.8503
2009-12-31,40.0560
2010-01-29,43.0079
2010-02-26,32.0585
2010-03-31,22.2763
2010-04-30,11.8557
2010-05-31,0
2010-06-30,-20.6299
2010-07-30,3.4846
2010-08-31,1.7583
2010-09-30,15.5807
2010-10-29,8.8598
2010-11-30,32.0630
2010-12-31,26.8127
2011-01-31,5.0725
2011-02-28,-8.5662
2011-03-31,-14.2117
2011-04-29,0.4545
2011-05-31,3.4674
2011-06-30,-12.6662
2011-07-29,-19.4059
2011-08-31,-20.2867
2011-09-30,-31.5156
2011-10-31,7.7491
2011-11-30,3.7182
2011-12-30,1.8939
2012-01-31,11.8463
2012-02-29,17.3815
2012-03-30,11.2937
2012-04-30,-7.2160
2012-05-31,-11.9170
2012-06-29,-22.9707
2012-07-31,-13.4021
2012-08-31,-10.9875
2012-09-28,3.5909
2012-10-31,23.3223
2012-11-30,22.2242
2012-12-31,32.8705
2013-01-31,16.7769
2013-02-28,10.9302
2013-03-29,0
2013-04-30,5.2995
2013-05-31,22.5538
2013-06-28,23.2065
2013-07-31,20.5110
2013-08-30,5.4787
2013-09-30,1.6164
2013-10-31,2.6158
2013-11-29,-0.7023
2013-12-31,-9.1926
2014-01-31,-11.2792
2014-02-28,-9.0500
2014-03-31,1.8639
2014-04-30,11.8557
2014-05-30,5.9964
2014-06-30,6.0002
2014-07-31,10.1661
2014-08-29,5.1238
2014-09-30,-13.9960
2014-10-31,-15.4779
2014-11-28,-8.0987
2014-12-31,7.7086
2015-01-30,6.2373
2015-02-27,4.6893
2015-03-31,6.1681
2015-04-30,1.9038
2015-05-29,-4.4788
2015-06-30,-5.3091
2015-07-31,-3.2542
2015-08-31,-5.2315
2015-09-30,-7.7183
2015-10-30,0.8658
2015-11-30,4.5779
2015-12-31,-0.5508
2016-01-29,-16.3184
2016-02-29,-11.1794
2016-03-31,-0.1024
2016-04-29,19.6239
2016-05-31,0.3542
2016-06-30,-0.8734
2016-07-29,-3.8541
2016-08-31,-4.8104
2016-09-30,-4.3088
2016-10-31,-2.4725
2016-11-30,-4.4089
2016-12-30,-1.5742
2017-01-31,10.1684
2017-02-28,6.4543
2017-03-31,-10.1929
2017-04-28,-5.6458
2017-05-31,-9.9862
2017-06-30,0.7165
2017-07-31,3.3077
2017-08-31,0.9161
2017-09-29,8.4388
2017-10-31,13.7556
2017-11-30,10.2192
2017-12-29,2.8035
2018-01-31,-9.4507
2018-02-28,-13.1217
2018-03-30,0
2018-04-30,4.3391
2018-05-31,10.1418
2018-06-29,-1.1321
2018-07-31,-10.3643
2018-08-31,-20.0776
2018-09-28,-15.1005
2018-10-31,-3.5681
2018-11-30,1.5677
2018-12-31,-14.7158
2019-01-31,-3.6432
2019-02-28,-4.7915
2019-03-29,13.0532
2019-04-30,21.7317
2019-05-31,12.7076
2019-06-28,13.8174
2019-07-31,-6.7245
2019-08-30,-4.5408
2019-09-30,-8.8517
2019-10-31,-8.3663
2019-11-29,-1.3865
2019-12-31,8.1749
2020-01-31,-0.3409
2020-02-28,-21.4447
2020-03-31,-46.6691
2020-04-30,-44.5534
2020-05-29,-19.3503
2020-06-30,43.3962
2020-07-31,35.7290
2020-08-31,-7.0845
2020-09-30,8.8235
2020-10-30,11.5440
2020-11-30,33.1378
2020-12-31,25.9312
2021-01-29,36.5759
2021-02-26,28.8546
2021-03-31,43.7793
2021-04-30,3.0357
2021-05-31,0
2021-06-30,15.0155
2021-07-30,20.1550
2021-08-31,-17.9471
2021-09-30,-0.4919
2021-10-29,24.5806
2021-11-30,49.6362
2021-12-31,47.8483
2022-01-31,10.0816
2022-02-28,-9.8577
2022-03-31,-30.0842
