,ROC_daily_60
2000-01-31,5.2124
2000-02-29,-13.1193
2000-03-31,0.1832
2000-04-28,-10.6413
2000-05-31,2.4000
2000-06-30,-7.1122
2000-07-31,-0.7555
2000-08-31,4.8514
2000-09-29,10.8162
2000-10-31,4.2853
2000-11-30,14.0584
2000-12-29,18.9696
2001-01-31,8.9769
2001-02-28,7.9482
2001-03-30,-5.5637
2001-04-30,0.1479
2001-05-31,-6.1936
2001-06-29,0.0772
2001-07-31,-2.1820
2001-08-31,-2.2441
2001-09-28,-9.4262
2001-10-31,-12.2013
2001-11-30,-10.1291
2001-12-31,4.1998
2002-01-31,9.3270
2002-02-28,12.4041
2002-03-29,0
2002-04-30,12.9305
2002-05-31,4.0824
2002-06-28,-9.1922
2002-07-31,2.6930
2002-08-30,8.2777
2002-09-30,17.8602
2002-10-31,15.3804
2002-11-29,15.1630
2002-12-31,12.3767
2003-01-31,1.3772
2003-02-28,-2.3951
2003-03-31,-8.9005
2003-04-30,-0.0014
2003-05-30,7.8082
2003-06-30,2.9390
2003-07-31,-6.5649
2003-08-29,-3.1297
2003-09-30,-9.2123
2003-10-31,9.2867
2003-11-28,18.2400
2003-12-31,16.5043
2004-01-30,15.7474
2004-02-27,10.2322
2004-03-31,11.2669
2004-04-30,7.2932
2004-05-31,0
2004-06-30,-0.8750
2004-07-30,-6.8792
2004-08-31,-9.8946
2004-09-30,1.3590
2004-10-29,6.2363
2004-11-30,5.4843
2004-12-31,5.0752
2005-01-31,0.2604
2005-02-28,-7.6020
2005-03-31,-7.0226
2005-04-29,-6.1586
2005-05-31,-7.4766
2005-06-30,-6.1581
2005-07-29,2.7276
2005-08-31,-0.2715
2005-09-30,-4.3225
2005-10-31,-10.6280
2005-11-30,-10.0439
2005-12-30,-2.0024
2006-01-31,1.7176
2006-02-28,2.3282
2006-03-31,-1.8006
2006-04-28,1.2133
2006-05-31,7.2167
2006-06-30,3.1664
2006-07-31,2.5208
2006-08-31,-2.7370
2006-09-29,-4.2442
2006-10-31,3.0921
2006-11-30,-2.9210
