,ROC_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,-5.2738
2010-07-30,0.5446
2010-08-31,-3.0400
2010-09-30,-6.5113
2010-10-29,-9.1336
2010-11-30,13.5218
2010-12-31,11.2105
2011-01-31,13.5671
2011-02-28,16.5289
2011-03-31,26.8125
2011-04-29,29.4776
2011-05-31,2.3346
2011-06-30,-2.9029
2011-07-29,-2.5735
2011-08-31,14.4364
2011-09-30,-3.7852
2011-10-31,23.1681
2011-11-30,30.7773
2011-12-30,41.6372
2012-01-31,21.4883
2012-02-29,2.3742
2012-03-30,-11.9125
2012-04-30,-14.7611
2012-05-31,0.6916
2012-06-29,2.6013
2012-07-31,27.1604
2012-08-31,8.7097
2012-09-28,2.2788
2012-10-31,53.1532
2012-11-30,54.4981
2012-12-31,32.3178
2013-01-31,8.2387
2013-02-28,5.5777
2013-03-29,0
2013-04-30,-4.8212
2013-05-31,16.2123
2013-06-28,22.6663
2013-07-31,29.1499
2013-08-30,10.9431
2013-09-30,7.3515
2013-10-31,18.1753
2013-11-29,32.1916
2013-12-31,34.6968
2014-01-31,0.0208
2014-02-28,8.0000
2014-03-31,4.7611
2014-04-30,26.8419
2014-05-30,-16.9283
2014-06-30,-18.0151
2014-07-31,-17.6471
2014-08-29,-4.4175
