,ROC_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,13.9348
2004-09-30,4.4843
2004-10-29,9.5905
2004-11-30,17.3048
2004-12-31,10.6334
2005-01-31,7.0277
2005-02-28,8.8718
2005-03-31,1.8415
2005-04-29,5.0077
2005-05-31,1.0731
2005-06-30,9.7879
2005-07-29,12.8302
2005-08-31,8.6812
2005-09-30,1.7159
2005-10-31,3.5767
2005-11-30,8.2560
2005-12-30,10.9603
2006-01-31,2.5974
2006-02-28,-7.4336
2006-03-31,-4.2508
2006-04-28,0.6784
2006-05-31,0.1338
2006-06-30,2.8811
2006-07-31,3.8478
2006-08-31,5.5488
2006-09-29,0.2719
2006-10-31,-1.6263
2006-11-30,-5.8571
2006-12-29,-3.1685
2007-01-31,5.9695
2007-02-28,6.8867
2007-03-30,2.8213
2007-04-30,4.4974
2007-05-31,4.7266
2007-06-29,-2.0195
2007-07-31,-13.8232
2007-08-31,-16.0922
2007-09-28,-11.3580
2007-10-31,-2.3855
2007-11-30,-9.0914
2007-12-31,-18.2111
2008-01-31,-4.3399
2008-02-29,-12.4587
2008-03-31,-9.0601
2008-04-30,-4.1040
2008-05-30,-2.9525
2008-06-30,-25.6593
2008-07-31,-31.0346
2008-08-29,-26.1550
2008-09-30,-48.3316
2008-10-31,-66.3055
2008-11-28,-90.4523
2008-12-31,-52.7743
2009-01-30,-56.2264
2009-02-27,5.2174
2009-03-31,-33.5664
2009-04-30,-1.2552
2009-05-29,492.0000
2009-06-30,246.0396
2009-07-31,81.1024
2009-08-31,58.3208
2009-09-30,97.1947
2009-10-30,29.1971
2009-11-30,17.8337
2009-12-31,-6.0430
2010-01-29,36.0865
2010-02-26,48.0037
2010-03-31,52.1992
2010-04-30,12.3810
2010-05-31,0
2010-06-30,-29.3131
2010-07-30,-12.6688
2010-08-31,-22.4052
2010-09-30,-11.5134
2010-10-29,-14.4260
2010-11-30,-3.0756
2010-12-31,5.9677
2011-01-31,16.4807
2011-02-28,10.0666
2011-03-31,-0.2224
2011-04-29,-4.4671
2011-05-31,-13.6752
2011-06-30,-22.1212
2011-07-29,-31.0688
2011-08-31,-34.5609
2011-09-30,-46.2547
2011-10-31,-5.8997
2011-11-30,9.1060
2011-12-30,22.6592
2012-01-31,24.9595
2012-02-29,38.9908
2012-03-30,23.2593
2012-04-30,-25.2488
2012-05-31,-38.8208
2012-06-29,-29.4264
2012-07-31,-13.1034
2012-08-31,-1.8553
2012-09-28,-6.7736
2012-10-31,37.9630
2012-11-30,13.3333
