,ROC_daily_60
2000-01-31,-5.6054
2000-02-29,-14.4724
2000-03-31,6.7160
2000-04-28,30.0236
2000-05-31,39.3357
2000-06-30,5.5366
2000-07-31,-13.1887
2000-08-31,-15.6250
2000-09-29,-17.7419
2000-10-31,-9.1794
2000-11-30,2.4980
2000-12-29,30.5124
2001-01-31,43.8491
2001-02-28,20.4113
2001-03-30,-9.7054
2001-04-30,-6.7840
2001-05-31,23.1760
2001-06-29,27.1754
2001-07-31,30.5229
2001-08-31,21.1378
2001-09-28,-30.7856
2001-10-31,-44.0326
2001-11-30,-23.5370
2001-12-31,66.1891
2002-01-31,99.7843
2002-02-28,31.1173
2002-03-29,0
2002-04-30,-2.0202
2002-05-31,2.3212
2002-06-28,17.6096
2002-07-31,-1.0898
2002-08-30,-9.2614
2002-09-30,-18.1154
2002-10-31,10.0994
2002-11-29,22.4299
2002-12-31,29.6460
2003-01-31,-1.9169
2003-02-28,-15.0865
2003-03-31,-8.7148
2003-04-30,26.2907
2003-05-30,51.0163
2003-06-30,38.1937
2003-07-31,35.2890
2003-08-29,29.9241
2003-09-30,31.4759
2003-10-31,11.5359
2003-11-28,-0.6803
2003-12-31,-2.6667
2004-01-30,1.7795
2004-02-27,2.7402
2004-03-31,0.2135
2004-04-30,22.5707
2004-05-31,0
2004-06-30,33.6217
2004-07-30,21.6661
2004-08-31,-4.2954
2004-09-30,-2.1845
2004-10-29,12.4690
2004-11-30,16.8435
2004-12-31,15.6470
2005-01-31,7.2285
2005-02-28,14.6898
2005-03-31,-0.4502
2005-04-29,-13.4594
2005-05-31,-14.2692
2005-06-30,-11.0249
2005-07-29,-1.4761
2005-08-31,-8.8268
2005-09-30,-5.2752
2005-10-31,0.5699
2005-11-30,19.7496
2005-12-30,23.6587
2006-01-31,13.7612
2006-02-28,6.0252
2006-03-31,-4.6251
2006-04-28,2.4422
2006-05-31,6.2864
2006-06-30,10.1526
2006-07-31,-18.7648
2006-08-31,-18.0115
2006-09-29,-16.8961
2006-10-31,4.7942
2006-11-30,15.1191
2006-12-29,-3.3868
2007-01-31,17.9324
