,ROC_daily_60
2000-01-31,56.6283
2000-02-29,66.6577
2000-03-31,50.0156
2000-04-28,43.8752
2000-05-31,15.2435
2000-06-30,43.6664
2000-07-31,13.6203
2000-08-31,-9.4286
2000-09-29,-8.8164
2000-10-31,33.8787
2000-11-30,25.7435
2000-12-29,41.5289
2001-01-31,-16.9592
2001-02-28,-14.6996
2001-03-30,-20.4583
2001-04-30,22.7170
2001-05-31,22.1984
2001-06-29,64.3693
2001-07-31,-3.2843
2001-08-31,-13.2203
2001-09-28,-23.8744
2001-10-31,-13.9187
2001-11-30,-3.0896
2001-12-31,-5.1745
2002-01-31,-13.2590
2002-02-28,-9.0225
2002-03-29,0
2002-04-30,5.4271
2002-05-31,-15.3333
2002-06-28,-22.2554
2002-07-31,-38.6237
2002-08-30,-13.7421
2002-09-30,-22.9642
2002-10-31,-28.8531
2002-11-29,-16.5001
2002-12-31,34.1657
2003-01-31,7.8030
2003-02-28,-11.1474
2003-03-31,-16.4402
2003-04-30,4.3302
2003-05-30,35.2748
2003-06-30,60.1257
2003-07-31,32.2924
2003-08-29,21.8526
2003-09-30,-1.2917
2003-10-31,10.6769
2003-11-28,10.8807
2003-12-31,10.8420
2004-01-30,-10.1989
2004-02-27,-11.9410
2004-03-31,-8.2752
2004-04-30,0.4312
2004-05-31,0
2004-06-30,1.9354
2004-07-30,1.5831
2004-08-31,-5.1832
2004-09-30,0.0569
2004-10-29,2.0788
2004-11-30,4.7060
2004-12-31,2.2527
2005-01-31,5.7424
2005-02-28,2.0262
2005-03-31,-13.6452
2005-04-29,-17.6824
2005-05-31,-9.5163
2005-06-30,2.3780
2005-07-29,8.9045
2005-08-31,5.7869
2005-09-30,5.2745
2005-10-31,-2.6946
2005-11-30,-2.8605
2005-12-30,0.9226
2006-01-31,13.9899
2006-02-28,15.2920
2006-03-31,17.1047
2006-04-28,10.2254
2006-05-31,-14.0955
2006-06-30,-16.4946
2006-07-31,-17.3213
2006-08-31,0.0522
2006-09-29,14.0514
2006-10-31,22.0115
2006-11-30,13.9386
2006-12-29,-2.8001
2007-01-31,1.0480
2007-02-28,6.6363
2007-03-30,12.8478
2007-04-30,11.2319
2007-05-31,15.0513
2007-06-29,6.8163
2007-07-31,-0.3601
2007-08-31,2.3002
2007-09-28,-1.9489
2007-10-31,20.7465
2007-11-30,1.4538
2007-12-31,-8.4825
2008-01-31,-13.6075
2008-02-29,-10.6050
2008-03-31,3.6168
2008-04-30,4.9303
2008-05-30,2.4289
2008-06-30,-16.4707
2008-07-31,-17.9268
2008-08-29,-16.3325
2008-09-30,-4.2861
2008-10-31,-15.4200
2008-11-28,-6.8158
2008-12-31,6.1076
2009-01-30,-3.3775
2009-02-27,-2.9896
2009-03-31,-16.1118
2009-04-30,-0.9418
2009-05-29,20.8793
2009-06-30,17.8615
2009-07-31,21.9512
2009-08-31,21.3431
2009-09-30,17.0251
2009-10-30,9.0192
2009-11-30,0.7589
2009-12-31,-1.7191
2010-01-29,-4.0927
2010-02-26,-0.7662
2010-03-31,1.3046
2010-04-30,13.3449
2010-05-31,0
2010-06-30,-3.1137
2010-07-30,0.7324
2010-08-31,2.5719
2010-09-30,5.9604
2010-10-29,5.9718
2010-11-30,11.3433
2010-12-31,13.3332
2011-01-31,6.7004
2011-02-28,13.3241
2011-03-31,16.0427
2011-04-29,10.3652
2011-05-31,-3.4342
2011-06-30,-10.8347
2011-07-29,-8.3673
2011-08-31,-1.0491
2011-09-30,-6.3179
2011-10-31,23.1772
2011-11-30,18.5587
2011-12-30,14.4865
2012-01-31,8.5357
2012-02-29,2.9880
2012-03-30,3.8320
2012-04-30,-0.6767
2012-05-31,0.4431
2012-06-29,2.5501
2012-07-31,6.6142
2012-08-31,8.8660
2012-09-28,7.1580
2012-10-31,8.6560
2012-11-30,3.9488
2012-12-31,3.3521
2013-01-31,6.7585
2013-02-28,12.8123
2013-03-29,0
2013-04-30,11.4953
2013-05-31,4.8879
2013-06-28,5.1710
2013-07-31,4.5975
2013-08-30,8.4311
2013-09-30,8.0085
2013-10-31,10.1174
