,ROC_daily_60
2000-01-31,-1.5566
2000-02-29,1.2909
2000-03-31,23.7791
2000-04-28,-11.9701
2000-05-31,-9.9913
2000-06-30,-20.0069
2000-07-31,2.6863
2000-08-31,9.7606
2000-09-29,-1.6142
2000-10-31,-12.5346
2000-11-30,-32.1940
2000-12-29,-0.2634
2001-01-31,23.2447
2001-02-28,29.0178
2001-03-30,-11.2999
2001-04-30,-14.8382
2001-05-31,1.5903
2001-06-29,9.8241
2001-07-31,-13.1434
2001-08-31,-12.3446
2001-09-28,-22.9610
2001-10-31,-17.1152
2001-11-30,-1.9817
2001-12-31,6.4110
2002-01-31,-4.6379
2002-02-28,-21.7296
2002-03-29,0
2002-04-30,10.2017
2002-05-31,6.6054
2002-06-28,-1.5099
2002-07-31,-26.6519
2002-08-30,-20.7853
2002-09-30,-41.7306
2002-10-31,-12.0775
2002-11-29,6.3856
2002-12-31,45.1028
2003-01-31,7.4599
2003-02-28,-8.8695
2003-03-31,-6.8003
2003-04-30,26.1553
2003-05-30,46.0103
2003-06-30,37.0489
2003-07-31,15.2665
2003-08-29,-1.5382
2003-09-30,-2.1101
2003-10-31,10.3456
2003-11-28,3.0672
2003-12-31,3.3193
2004-01-30,6.9220
2004-02-27,16.0989
2004-03-31,14.7743
2004-04-30,-2.6007
2004-05-31,0
2004-06-30,-6.6458
2004-07-30,-1.6901
2004-08-31,7.1152
2004-09-30,7.7862
2004-10-29,7.3045
2004-11-30,-4.7128
2004-12-31,-1.2155
2005-01-31,-3.0619
2005-02-28,-3.6741
2005-03-31,-10.8397
2005-04-29,-4.4581
2005-05-31,-3.7325
2005-06-30,1.8454
2005-07-29,-1.7153
2005-08-31,-3.5551
2005-09-30,-1.5380
2005-10-31,4.9378
2005-11-30,11.7647
2005-12-30,18.6547
2006-01-31,7.7718
2006-02-28,8.4785
2006-03-31,5.0984
2006-04-28,14.7067
2006-05-31,3.7484
2006-06-30,-1.2694
2006-07-31,0.6387
2006-08-31,8.9281
2006-09-29,10.6243
2006-10-31,5.5437
2006-11-30,1.5940
2006-12-29,1.7056
2007-01-31,9.2909
2007-02-28,6.5767
2007-03-30,0.6449
2007-04-30,2.4503
2007-05-31,7.5699
2007-06-29,-0.2265
2007-07-31,-15.7345
2007-08-31,-9.9501
2007-09-28,-6.0873
2007-10-31,4.4993
2007-11-30,4.0236
2007-12-31,-7.6190
2008-01-31,10.8392
2008-02-29,-9.2760
2008-03-31,1.8497
2008-04-30,3.9411
2008-05-30,11.9045
2008-06-30,-24.7092
2008-07-31,-14.7638
2008-08-29,-7.5536
2008-09-30,37.1915
2008-10-31,4.4070
2008-11-28,-15.8498
2008-12-31,-28.3409
2009-01-30,-36.6089
2009-02-27,-11.4588
2009-03-31,-15.2153
2009-04-30,37.4578
2009-05-29,91.5312
2009-06-30,16.4959
2009-07-31,3.9958
2009-08-31,25.9750
2009-09-30,33.5568
2009-10-30,2.6255
2009-11-30,1.0229
2009-12-31,-7.3258
2010-01-29,-8.4419
2010-02-26,-1.1086
2010-03-31,4.3174
2010-04-30,5.8008
2010-05-31,0
2010-06-30,-20.1353
2010-07-30,-5.3816
2010-08-31,-0.8432
2010-09-30,-0.2359
2010-10-29,-8.7029
2010-11-30,-4.3962
2010-12-31,6.3158
2011-01-31,19.2759
2011-02-28,22.5239
2011-03-31,4.3931
2011-04-29,0.9377
2011-05-31,-4.4963
2011-06-30,-12.1082
2011-07-29,-10.5644
2011-08-31,-7.2057
2011-09-30,-27.1055
2011-10-31,-6.7894
2011-11-30,-6.6212
2011-12-30,7.8145
2012-01-31,11.6730
2012-02-29,29.7462
2012-03-30,31.5594
2012-04-30,15.2167
2012-05-31,-15.1349
2012-06-29,-19.5451
2012-07-31,-13.0515
2012-08-31,14.1437
2012-09-28,17.7429
2012-10-31,16.3370
2012-11-30,11.8120
2012-12-31,8.2403
2013-01-31,11.6597
2013-02-28,19.8847
2013-03-29,0
2013-04-30,3.0801
2013-05-31,9.8132
2013-06-28,11.1602
2013-07-31,16.5029
2013-08-30,-4.8717
2013-09-30,-4.2600
2013-10-31,-6.1194
2013-11-29,10.6072
2013-12-31,11.0309
2014-01-31,7.0742
2014-02-28,0.3702
2014-03-31,4.2948
2014-04-30,3.7226
2014-05-30,-3.8529
2014-06-30,-5.0115
2014-07-31,8.8689
2014-08-29,5.7091
2014-09-30,6.2996
2014-10-31,8.9092
2014-11-28,1.4386
2014-12-31,3.9880
2015-01-30,-10.1050
2015-02-27,2.7871
2015-03-31,-3.0565
2015-04-30,12.2745
2015-05-29,6.5812
2015-06-30,12.0556
2015-07-31,7.9052
2015-08-31,-4.3098
2015-09-30,-8.7275
2015-10-30,-5.1796
2015-11-30,7.1514
2015-12-31,6.4142
2016-01-29,-8.5879
2016-02-29,-16.1524
2016-03-31,-6.9161
2016-04-29,10.9036
2016-05-31,9.5006
2016-06-30,5.6623
2016-07-29,4.7121
2016-08-31,4.5633
2016-09-30,9.9208
2016-10-31,5.2175
