,ROC_daily_60
2000-01-31,-16.0262
2000-02-29,-8.5696
2000-03-31,-0.7781
2000-04-28,1.0000
2000-05-31,20.5357
2000-06-30,7.3259
2000-07-31,12.4094
2000-08-31,8.5714
2000-09-29,22.1515
2000-10-31,11.6568
2000-11-30,15.0943
2000-12-29,15.1009
2001-01-31,14.3713
2001-02-28,29.9007
2001-03-30,23.5620
2001-04-30,34.9437
2001-05-31,30.7625
2001-06-29,13.0307
2001-07-31,-11.7275
2001-08-31,-10.8441
2001-09-28,-0.6369
2001-10-31,13.0000
2001-11-30,17.3018
2001-12-31,-0.2268
2002-01-31,-7.6746
2002-02-28,-2.1755
2002-03-29,0
2002-04-30,22.8709
2002-05-31,9.8269
2002-06-28,-1.0245
2002-07-31,-13.7279
2002-08-30,-7.5068
2002-09-30,-12.2727
2002-10-31,-5.3437
2002-11-29,9.7310
2002-12-31,24.8247
2003-01-31,11.7718
2003-02-28,3.2065
2003-03-31,15.4121
2003-04-30,10.2331
2003-05-30,2.7368
2003-06-30,-1.1723
2003-07-31,7.3983
2003-08-29,17.6338
2003-09-30,5.1282
2003-10-31,6.5317
2003-11-28,-4.4112
2003-12-31,0.0208
2004-01-30,-2.3286
2004-02-27,-5.2191
2004-03-31,-6.0657
2004-04-30,-5.6975
2004-05-31,0
2004-06-30,-10.9050
2004-07-30,-2.9847
2004-08-31,-12.2701
2004-09-30,-1.8708
2004-10-29,6.7628
2004-11-30,16.9720
2004-12-31,23.4565
2005-01-31,26.1863
2005-02-28,21.1426
2005-03-31,11.9448
2005-04-29,-7.2720
2005-05-31,-6.3413
2005-06-30,5.6129
2005-07-29,20.7795
2005-08-31,18.2490
2005-09-30,19.3977
2005-10-31,7.5042
2005-11-30,2.2345
2005-12-30,8.2111
2006-01-31,30.2860
2006-02-28,31.9686
2006-03-31,25.1479
2006-04-28,-0.2653
2006-05-31,-7.7878
2006-06-30,-10.4061
2006-07-31,-2.5939
2006-08-31,15.7035
2006-09-29,-6.1888
2006-10-31,-10.4552
2006-11-30,-1.2713
2006-12-29,9.6115
2007-01-31,20.7333
2007-02-28,8.3263
2007-03-30,15.9006
2007-04-30,8.1725
2007-05-31,31.7495
2007-06-29,20.6419
2007-07-31,17.6819
2007-08-31,20.9775
2007-09-28,27.6905
2007-10-31,35.9594
2007-11-30,22.3634
2007-12-31,21.1020
2008-01-31,-8.8902
2008-02-29,-7.5107
2008-03-31,-23.8356
2008-04-30,10.6511
2008-05-30,18.7570
2008-06-30,-0.0495
2008-07-31,-14.9269
2008-08-29,-20.1428
2008-09-30,-28.6334
2008-10-31,-49.9313
2008-11-28,-30.8037
2008-12-31,17.6039
2009-01-30,7.6859
2009-02-27,-13.2425
2009-03-31,-23.3241
2009-04-30,-0.6789
2009-05-29,23.7381
2009-06-30,-2.5017
2009-07-31,-3.8254
2009-08-31,0.8253
2009-09-30,21.5287
2009-10-30,-0.1653
2009-11-30,-20.8013
2009-12-31,-15.9929
2010-01-29,-11.2911
2010-02-26,10.8888
2010-03-31,17.5293
2010-04-30,28.3471
2010-05-31,0
2010-06-30,-19.7534
2010-07-30,-19.9956
2010-08-31,-10.0156
2010-09-30,3.7255
2010-10-29,5.6940
2010-11-30,3.7177
2010-12-31,13.6871
2011-01-31,29.8862
2011-02-28,27.2496
2011-03-31,11.7072
2011-04-29,-4.8341
2011-05-31,-7.1371
2011-06-30,-16.7308
2011-07-29,-17.0763
2011-08-31,-12.2526
2011-09-30,-26.0591
2011-10-31,8.8664
2011-11-30,18.2129
2011-12-30,19.1777
2012-01-31,13.8931
2012-02-29,11.9942
2012-03-30,6.8642
2012-04-30,-4.9653
2012-05-31,-20.7673
2012-06-29,-13.8174
2012-07-31,-2.4779
2012-08-31,9.1964
2012-09-28,6.4508
2012-10-31,-1.0259
2012-11-30,3.6981
2012-12-31,3.7534
2013-01-31,24.0908
2013-02-28,19.2965
2013-03-29,0
2013-04-30,4.4486
2013-05-31,13.4753
2013-06-28,4.0385
2013-07-31,16.3065
2013-08-30,4.2203
2013-09-30,5.0939
2013-10-31,2.3733
2013-11-29,1.2708
2013-12-31,9.4717
2014-01-31,-1.3647
2014-02-28,1.9842
2014-03-31,0.9860
2014-04-30,-1.3507
2014-05-30,-10.9044
2014-06-30,-17.1771
2014-07-31,-10.2931
2014-08-29,-3.6633
2014-09-30,-8.8499
2014-10-31,-5.1000
2014-11-28,-12.1762
2014-12-31,-5.5978
2015-01-30,-19.0567
2015-02-27,-3.5458
2015-03-31,1.1649
2015-04-30,4.2315
2015-05-29,-1.1878
2015-06-30,-10.2320
2015-07-31,-1.9325
2015-08-31,-7.4015
2015-09-30,-6.5418
2015-10-30,-7.7029
2015-11-30,9.4199
2015-12-31,5.5080
2016-01-29,-4.8739
2016-02-29,-14.0347
2016-03-31,3.8884
2016-04-29,19.3574
2016-05-31,24.4537
2016-06-30,17.8098
2016-07-29,20.4049
2016-08-31,1.7771
2016-09-30,3.5021
2016-10-31,-4.0551
2016-11-30,20.0348
2016-12-30,8.9241
2017-01-31,15.8259
2017-02-28,-8.7968
2017-03-31,-5.7125
2017-04-28,-6.4221
2017-05-31,-6.8202
2017-06-30,0.4378
2017-07-31,-3.4813
2017-08-31,5.0831
2017-09-29,7.8712
2017-10-31,11.5641
2017-11-30,20.7528
2017-12-29,12.8482
2018-01-31,18.2499
2018-02-28,-6.7442
2018-03-30,0
2018-04-30,-16.8427
2018-05-31,7.8936
2018-06-29,6.2951
2018-07-31,19.2622
2018-08-31,10.2997
2018-09-28,19.1776
2018-10-31,4.2645
2018-11-30,-10.8900
2018-12-31,-24.6844
2019-01-31,-14.2063
2019-02-28,13.6171
2019-03-29,28.8958
2019-04-30,19.4910
2019-05-31,4.4362
2019-06-28,10.8746
2019-07-31,7.5930
2019-08-30,11.8156
2019-09-30,8.2329
2019-10-31,12.1138
2019-11-29,0.9937
2019-12-31,0.0111
2020-01-31,-4.4066
2020-02-28,3.5426
2020-03-31,-12.6093
2020-04-30,-13.3145
2020-05-29,-16.8379
2020-06-30,7.6572
2020-07-31,9.4581
2020-08-31,1.5862
2020-09-30,11.3245
2020-10-30,5.2254
2020-11-30,18.7517
2020-12-31,14.3697
2021-01-29,1.8563
2021-02-26,6.9040
2021-03-31,22.0438
2021-04-30,26.1649
2021-05-31,0
2021-06-30,1.2575
2021-07-30,-1.8163
2021-08-31,-4.5966
2021-09-30,-0.6260
2021-10-29,9.2429
2021-11-30,4.1449
2021-12-31,5.4503
2022-01-31,-7.7719
2022-02-28,-11.1998
2022-03-31,-3.1389
