,ROC_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,13.6795
2004-01-30,6.6819
2004-02-27,4.4444
2004-03-31,-1.4640
2004-04-30,-1.8242
2004-05-31,0
2004-06-30,4.7887
2004-07-30,0.1127
2004-08-31,-1.9355
2004-09-30,-3.6900
2004-10-29,-7.0170
2004-11-30,1.2415
2004-12-31,10.5785
2005-01-31,8.9902
2005-02-28,-2.5710
2005-03-31,1.3636
2005-04-29,14.1076
2005-05-31,30.7004
2005-06-30,28.9786
2005-07-29,31.3993
2005-08-31,25.6225
2005-09-30,9.4203
2005-10-31,-0.0989
2005-11-30,12.5345
2005-12-30,17.5153
2006-01-31,47.7176
2006-02-28,35.1335
2006-03-31,9.4687
2006-04-28,-4.5805
2006-05-31,-6.5934
2006-06-30,-7.3171
2006-07-31,-2.6510
2006-08-31,1.2677
2006-09-29,15.1468
2006-10-31,7.6279
2006-11-30,8.2148
2006-12-29,8.0865
2007-01-31,-4.0752
2007-02-28,-7.2588
2007-03-30,-2.5847
2007-04-30,0.4895
2007-05-31,18.9614
2007-06-29,9.4541
2007-07-31,22.5431
2007-08-31,33.8807
2007-09-28,40.3629
2007-10-31,20.4247
2007-11-30,33.7487
2007-12-31,19.1272
2008-01-31,-7.6645
2008-02-29,6.9486
2008-03-31,6.9491
2008-04-30,8.2049
2008-05-30,1.9319
2008-06-30,-17.4509
2008-07-31,-0.1461
2008-08-29,-2.2443
2008-09-30,-7.4195
2008-10-31,-44.7343
2008-11-28,-41.0300
2008-12-31,-15.8730
2009-01-30,0.4348
2009-02-27,36.2260
2009-03-31,15.3597
2009-04-30,38.9525
2009-05-29,12.6667
2009-06-30,5.9923
2009-07-31,4.1812
2009-08-31,8.0946
2009-09-30,17.5650
2009-10-30,-2.5945
2009-11-30,3.4421
2009-12-31,2.5654
2010-01-29,8.2564
2010-02-26,9.8680
2010-03-31,3.0980
2010-04-30,13.2796
2010-05-31,0
2010-06-30,-4.3176
2010-07-30,-1.6899
2010-08-31,5.3824
2010-09-30,5.3165
2010-10-29,7.3014
2010-11-30,7.5523
2010-12-31,8.9688
2011-01-31,9.8681
2011-02-28,8.2954
2011-03-31,3.9689
2011-04-29,3.3607
2011-05-31,11.7227
2011-06-30,7.6320
2011-07-29,-2.0725
2011-08-31,1.7893
2011-09-30,-12.6537
2011-10-31,27.3124
2011-11-30,23.7034
2011-12-30,15.7814
2012-01-31,13.5493
2012-02-29,6.7694
2012-03-30,0.6783
2012-04-30,2.3875
2012-05-31,18.5426
2012-06-29,7.9424
2012-07-31,3.7287
2012-08-31,4.6589
2012-09-28,7.7888
2012-10-31,16.7215
2012-11-30,14.0625
