,ROC_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,6.2568
2014-08-29,7.6185
2014-09-30,1.2074
2014-10-31,18.3334
2014-11-28,17.7128
2014-12-31,23.8765
2015-01-30,-0.5916
2015-02-27,3.0779
2015-03-31,-6.0836
2015-04-30,-6.5643
2015-05-29,-3.6982
2015-06-30,-9.6463
2015-07-31,-19.1562
2015-08-31,-33.0016
2015-09-30,-39.9689
2015-10-30,-13.0543
2015-11-30,-1.9753
2015-12-31,-0.2328
2016-01-29,-28.1329
2016-02-29,-10.4111
2016-03-31,5.6162
2016-04-29,51.0985
2016-05-31,20.2632
2016-06-30,4.1403
2016-07-29,10.8579
2016-08-31,8.3458
2016-09-30,20.4198
2016-10-31,-11.0654
2016-11-30,20.9318
2016-12-30,12.1960
2017-01-31,14.3908
2017-02-28,-10.5630
2017-03-31,-11.3847
2017-04-28,2.3903
2017-05-31,-0.0685
2017-06-30,16.6640
2017-07-31,-1.6257
2017-08-31,-8.6874
2017-09-29,-5.2899
2017-10-31,-13.3325
2017-11-30,-7.4638
2017-12-29,-8.2380
2018-01-31,16.7541
2018-02-28,2.7756
2018-03-30,0
2018-04-30,-7.6130
2018-05-31,3.6350
2018-06-29,-3.5069
2018-07-31,-0.8676
2018-08-31,-8.3333
2018-09-28,3.8016
2018-10-31,-11.3017
2018-11-30,-14.9408
2018-12-31,-34.7892
2019-01-31,-3.7543
2019-02-28,9.7226
2019-03-29,26.1732
2019-04-30,19.6406
2019-05-31,10.4149
2019-06-28,15.3252
2019-07-31,2.8143
2019-08-30,-3.1915
2019-09-30,-8.0842
2019-10-31,4.5147
2019-11-29,12.1970
2019-12-31,18.8815
2020-01-31,3.7140
2020-02-28,-19.2066
2020-03-31,-43.2854
2020-04-30,-44.0175
2020-05-29,-32.0070
2020-06-30,18.6562
2020-07-31,16.0936
2020-08-31,3.1197
2020-09-30,26.7559
2020-10-30,-3.6341
2020-11-30,4.2269
2020-12-31,12.4191
2021-01-29,33.9767
2021-02-26,34.3145
2021-03-31,45.3503
2021-04-30,42.3841
2021-05-31,0
2021-06-30,35.8676
2021-07-30,22.0764
2021-08-31,22.6744
2021-09-30,4.5129
2021-10-29,-4.6264
2021-11-30,-14.3663
2021-12-31,15.1193
2022-01-31,-9.6712
2022-02-28,-9.5291
2022-03-31,-21.5384
