,ROC_daily_60
2000-01-31,-18.7652
2000-02-29,12.7660
2000-03-31,9.4697
2000-04-28,4.3180
2000-05-31,-35.4178
2000-06-30,-45.9343
2000-07-31,-42.5551
2000-08-31,6.6473
2000-09-29,17.9321
2000-10-31,15.6511
2000-11-30,-11.6667
2000-12-29,-2.5708
2001-01-31,27.2381
2001-02-28,38.8679
2001-03-30,7.6923
2001-04-30,-5.9406
2001-05-31,-6.7347
2001-06-29,25.8182
2001-07-31,22.2116
2001-08-31,56.1798
2001-09-28,36.0000
2001-10-31,4.7766
2001-11-30,15.6049
2001-12-31,30.7475
2002-01-31,14.6341
2002-02-28,17.7090
2002-03-29,0
2002-04-30,15.7195
2002-05-31,-8.0945
2002-06-28,-16.7905
2002-07-31,-32.3606
2002-08-30,-27.4972
2002-09-30,-24.9848
2002-10-31,12.4219
2002-11-29,40.1108
2002-12-31,24.4519
2003-01-31,-8.1843
2003-02-28,-33.6723
2003-03-31,-22.9316
2003-04-30,-5.5224
2003-05-30,21.5971
2003-06-30,23.9112
2003-07-31,25.7576
2003-08-29,23.5772
2003-09-30,-8.7070
2003-10-31,-7.2671
2003-11-28,-0.5022
2003-12-31,14.1393
2004-01-30,6.0505
2004-02-27,11.3738
2004-03-31,15.0367
2004-04-30,11.4577
2004-05-31,0
2004-06-30,-6.1321
2004-07-30,-7.2398
2004-08-31,-8.0941
2004-09-30,-17.0530
2004-10-29,1.5047
2004-11-30,2.8213
2004-12-31,14.9669
2005-01-31,5.1064
2005-02-28,15.9639
2005-03-31,28.9535
2005-04-29,10.6215
2005-05-31,1.0764
2005-06-30,3.2083
2005-07-29,41.7582
2005-08-31,36.0544
2005-09-30,29.1866
2005-10-31,-0.8642
2005-11-30,-2.3041
2005-12-30,11.0325
2006-01-31,15.3846
2006-02-28,20.2156
2006-03-31,18.6365
2006-04-28,23.1563
2006-05-31,15.3121
2006-06-30,0.9833
2006-07-31,-11.9228
2006-08-31,-10.5825
2006-09-29,4.7770
2006-10-31,10.0367
2006-11-30,2.2967
2006-12-29,-6.5148
2007-01-31,-9.5986
2007-02-28,-16.1598
2007-03-30,-7.7448
2007-04-30,-10.6801
2007-05-31,8.1724
2007-06-29,-13.4533
2007-07-31,-28.1933
2007-08-31,-29.6403
2007-09-28,-33.2254
2007-10-31,-20.3735
2007-11-30,-21.8778
2007-12-31,-34.1071
2008-01-31,-18.7054
2008-02-29,-31.2991
2008-03-31,-18.2087
2008-04-30,-11.8220
2008-05-30,12.6886
2008-06-30,-7.2095
2008-07-31,-49.6669
2008-08-29,-45.8878
2008-09-30,-44.0922
2008-10-31,-46.5082
2008-11-28,-73.0506
2008-12-31,-44.6097
2009-01-30,-25.0000
2009-02-27,-42.3077
2009-03-31,-62.5714
2009-04-30,34.8958
2009-05-29,448.2353
2009-06-30,154.7486
2009-07-31,59.6491
2009-08-31,3.1621
2009-09-30,71.9481
2009-10-30,19.5652
2009-11-30,21.8254
2009-12-31,-6.3861
2010-01-29,-2.4055
2010-02-26,17.5896
2010-03-31,23.7209
2010-04-30,12.2750
2010-05-31,0
2010-06-30,-51.4423
2010-07-30,-33.1269
2010-08-31,-33.1373
2010-09-30,12.4694
2010-10-29,-7.9918
2010-11-30,8.2090
2010-12-31,20.0000
2011-01-31,19.5900
2011-02-28,15.9389
2011-03-31,-20.3098
2011-04-29,-18.9850
2011-05-31,-21.3084
2011-06-30,-3.2110
2011-07-29,-9.5694
2011-08-31,-27.7778
2011-09-30,-53.3937
2011-10-31,-29.3210
2011-11-30,-1.3158
2011-12-30,8.5859
2012-01-31,18.6957
2012-02-29,48.6486
2012-03-30,58.2569
2012-04-30,5.1903
2012-05-31,-30.4207
2012-06-29,-34.7432
2012-07-31,-27.3469
2012-08-31,-26.4423
2012-09-28,16.3636
2012-10-31,39.3258
2012-11-30,108.6957
2012-12-31,41.3793
2013-01-31,71.8254
2013-02-28,19.9405
2013-03-29,0
2013-04-30,-13.4529
2013-05-31,9.9751
2013-06-28,2.6525
2013-07-31,9.6203
2013-08-30,-3.2333
2013-09-30,16.6667
2013-10-31,33.0952
2013-11-29,26.8065
2013-12-31,10.4384
2014-01-31,-13.9085
2014-02-28,-7.8505
2014-03-31,-22.5141
2014-04-30,-14.4351
2014-05-30,4.2770
2014-06-30,33.8824
2014-07-31,3.7267
2014-08-29,-1.1583
2014-09-30,-8.5409
2014-10-31,5.4545
2014-11-28,17.9715
2014-12-31,67.1540
2015-01-30,49.9014
2015-02-27,47.5591
2015-03-31,9.1340
2015-04-30,-0.6466
2015-05-29,-1.9048
2015-06-30,-6.6810
2015-07-31,-12.9489
2015-08-31,-14.6394
2015-09-30,-27.7840
2015-10-30,0.7937
2015-11-30,-9.9727
2015-12-31,-13.8931
2016-01-29,-31.1497
2016-02-29,-22.3242
2016-03-31,29.3260
2016-04-29,16.2055
2016-05-31,-31.9392
2016-06-30,-57.1798
2016-07-29,-42.8099
2016-08-31,1.7895
2016-09-30,10.2572
2016-10-31,-10.9125
2016-11-30,35.6028
2016-12-30,28.7095
2017-01-31,27.4382
2017-02-28,-14.3737
2017-03-31,0.8418
2017-04-28,16.1796
2017-05-31,12.3742
2017-06-30,20.8559
2017-07-31,17.0494
2017-08-31,-16.8192
2017-09-29,-17.8298
2017-10-31,-49.4397
2017-11-30,-23.8994
2017-12-29,-5.6288
2018-01-31,2.6646
2018-02-28,-19.5719
2018-03-30,0
2018-04-30,-30.3086
2018-05-31,-4.9585
2018-06-29,23.9230
2018-07-31,9.3605
2018-08-31,20.9651
2018-09-28,21.5746
2018-10-31,-9.8235
2018-11-30,-1.9412
2018-12-31,-13.8937
2019-01-31,13.0547
2019-02-28,6.2310
2019-03-29,39.0172
2019-04-30,-17.7792
2019-05-31,-40.2222
2019-06-28,-44.6716
2019-07-31,-12.4734
2019-08-30,-33.8793
2019-09-30,-17.4956
2019-10-31,19.0635
2019-11-29,57.5821
2019-12-31,63.8332
2020-01-31,2.9046
