,ROC_daily_60
2000-01-31,-10.7659
2000-02-29,-2.0319
2000-03-31,-6.9766
2000-04-28,-1.4254
2000-05-31,3.6427
2000-06-30,7.6105
2000-07-31,13.0907
2000-08-31,10.6211
2000-09-29,0.9675
2000-10-31,-7.9244
2000-11-30,-6.0487
2000-12-29,8.1619
2001-01-31,17.6515
2001-02-28,18.3932
2001-03-30,7.2159
2001-04-30,5.6962
2001-05-31,7.0452
2001-06-29,12.2333
2001-07-31,8.4810
2001-08-31,18.4869
2001-09-28,14.0027
2001-10-31,13.1284
2001-11-30,4.8120
2001-12-31,2.5097
2002-01-31,10.5861
2002-02-28,9.5369
2002-03-29,0
2002-04-30,3.9344
2002-05-31,-2.8224
2002-06-28,0.0425
2002-07-31,-1.2552
2002-08-30,-10.8702
2002-09-30,-11.3267
2002-10-31,-15.9154
2002-11-29,-1.6310
2002-12-31,5.2369
2003-01-31,6.1577
2003-02-28,5.4531
2003-03-31,-5.7250
2003-04-30,4.8911
2003-05-30,4.1118
2003-06-30,8.2584
2003-07-31,10.9445
2003-08-29,5.2565
2003-09-30,11.3538
2003-10-31,9.3968
2003-11-28,16.8816
2003-12-31,7.6148
2004-01-30,17.8910
2004-02-27,6.0590
2004-03-31,11.9743
2004-04-30,-9.4878
2004-05-31,0
2004-06-30,-6.3115
2004-07-30,8.8762
2004-08-31,7.3533
2004-09-30,4.2939
2004-10-29,10.6232
2004-11-30,3.9412
2004-12-31,9.9050
2005-01-31,-0.3228
2005-02-28,0.8156
2005-03-31,3.7791
2005-04-29,8.3982
2005-05-31,4.5816
2005-06-30,12.6842
2005-07-29,12.4169
2005-08-31,8.4023
2005-09-30,5.1946
2005-10-31,5.9364
2005-11-30,1.6426
2005-12-30,5.9070
2006-01-31,10.6735
2006-02-28,11.2999
2006-03-31,16.3681
2006-04-28,6.3652
2006-05-31,-8.6080
2006-06-30,-2.5259
2006-07-31,4.2016
2006-08-31,18.5687
2006-09-29,10.2760
2006-10-31,7.4042
2006-11-30,11.8093
2006-12-29,10.0590
2007-01-31,22.4943
2007-02-28,6.6162
2007-03-30,-4.0444
2007-04-30,-14.2724
2007-05-31,-8.0422
2007-06-29,-20.6031
2007-07-31,-21.5550
2007-08-31,-9.0882
2007-09-28,-1.3934
2007-10-31,10.6049
2007-11-30,1.4089
2007-12-31,-11.6272
2008-01-31,3.8266
2008-02-29,7.4112
2008-03-31,20.4776
2008-04-30,13.5090
2008-05-30,9.2737
2008-06-30,-10.4017
2008-07-31,-12.0501
2008-08-29,-1.2894
2008-09-30,28.6953
2008-10-31,2.3650
2008-11-28,-20.9857
2008-12-31,-3.6366
2009-01-30,-20.9090
2009-02-27,-0.6537
2009-03-31,-26.2063
2009-04-30,8.0757
2009-05-29,34.6164
2009-06-30,6.3096
2009-07-31,12.2884
2009-08-31,7.0117
2009-09-30,19.6467
2009-10-30,-1.2655
2009-11-30,16.3590
2009-12-31,13.4373
2010-01-29,7.7865
2010-02-26,4.0108
2010-03-31,15.6475
2010-04-30,22.3213
2010-05-31,0
2010-06-30,-6.3563
2010-07-30,2.0623
2010-08-31,14.1792
2010-09-30,8.6547
2010-10-29,-1.0724
2010-11-30,-6.0549
2010-12-31,6.1098
2011-01-31,7.5982
2011-02-28,15.2164
2011-03-31,10.6158
2011-04-29,8.2719
2011-05-31,9.2426
2011-06-30,3.4148
2011-07-29,3.7001
2011-08-31,7.8753
2011-09-30,-5.6203
2011-10-31,17.9098
2011-11-30,11.8166
2011-12-30,23.1941
2012-01-31,9.8352
2012-02-29,4.3022
2012-03-30,6.0732
2012-04-30,3.7492
2012-05-31,2.4806
2012-06-29,6.5587
2012-07-31,6.8811
2012-08-31,7.4544
2012-09-28,-2.7318
2012-10-31,-5.5528
2012-11-30,-3.3601
2012-12-31,4.9277
2013-01-31,10.5708
2013-02-28,8.3544
2013-03-29,0
2013-04-30,7.0000
2013-05-31,0.3174
2013-06-28,0.1450
2013-07-31,-3.7282
2013-08-30,0.0184
2013-09-30,5.8594
2013-10-31,3.4599
2013-11-29,1.7551
2013-12-31,-6.6603
2014-01-31,-5.6890
2014-02-28,11.6306
2014-03-31,14.0679
2014-04-30,13.5526
2014-05-30,1.5522
2014-06-30,2.0327
2014-07-31,1.2664
2014-08-29,1.1588
2014-09-30,-2.0353
2014-10-31,7.8691
2014-11-28,8.5530
2014-12-31,11.6222
2015-01-30,8.4656
2015-02-27,6.6878
2015-03-31,6.0761
2015-04-30,-6.7588
2015-05-29,-0.1027
2015-06-30,-6.6824
2015-07-31,10.5073
2015-08-31,7.9176
2015-09-30,10.7584
2015-10-30,11.5183
2015-11-30,19.1038
2015-12-31,14.8700
2016-01-29,8.5358
2016-02-29,3.3453
2016-03-31,13.6128
2016-04-29,-2.6461
2016-05-31,2.1687
2016-06-30,-5.9277
2016-07-29,-6.5134
2016-08-31,-11.7615
2016-09-30,-11.3508
2016-10-31,-7.4254
2016-11-30,-5.9499
2016-12-30,7.9772
2017-01-31,5.7076
2017-02-28,9.6751
2017-03-31,-1.8808
2017-04-28,-0.9295
2017-05-31,-4.6453
2017-06-30,-5.2839
2017-07-31,-0.0357
2017-08-31,-1.2133
2017-09-29,5.2063
2017-10-31,4.0615
2017-11-30,3.5035
2017-12-29,-1.3540
2018-01-31,-5.1460
2018-02-28,-7.9032
2018-03-30,0
2018-04-30,6.7255
2018-05-31,7.9866
2018-06-29,13.7075
2018-07-31,6.0069
2018-08-31,-0.2747
2018-09-28,-12.5239
2018-10-31,-4.3383
2018-11-30,0.2595
2018-12-31,3.3593
2019-01-31,4.0885
2019-02-28,0.7727
2019-03-29,12.6707
2019-04-30,6.5426
2019-05-31,12.5931
2019-06-28,9.7016
2019-07-31,7.9163
2019-08-30,9.0791
2019-09-30,0.8215
2019-10-31,-11.6336
2019-11-29,-17.7699
2019-12-31,-12.8736
2020-01-31,4.5489
2020-02-28,1.0227
2020-03-31,-6.1818
2020-04-30,-16.1080
2020-05-29,-9.4751
2020-06-30,-0.1219
2020-07-31,14.6656
2020-08-31,3.9696
2020-09-30,15.5518
2020-10-30,17.8644
2020-11-30,6.3530
2020-12-31,2.0607
2021-01-29,-1.3553
2021-02-26,5.1551
2021-03-31,12.9861
2021-04-30,22.5590
2021-05-31,0
2021-06-30,18.5739
2021-07-30,14.5587
2021-08-31,11.8765
2021-09-30,-2.9942
2021-10-29,8.2105
