,ROC_daily_60
2000-01-31,10.6295
2000-02-29,8.7159
2000-03-31,5.3000
2000-04-28,-63.1270
2000-05-31,-62.9488
2000-06-30,16.1563
2000-07-31,17.6471
2000-08-31,24.4651
2000-09-29,-4.8696
2000-10-31,8.8417
2000-11-30,-11.3854
2000-12-29,25.0233
2001-01-31,17.2577
2001-02-28,19.5867
2001-03-30,-39.1129
2001-04-30,-29.3242
2001-05-31,-0.8333
2001-06-29,68.3514
2001-07-31,-18.7124
2001-08-31,-41.4458
2001-09-28,-59.5164
2001-10-31,-26.2105
2001-11-30,24.8217
2001-12-31,30.3840
2002-01-31,-6.2670
2002-02-28,-15.8857
2002-03-29,0
2002-04-30,-41.8705
2002-05-31,-56.8238
2002-06-28,-41.6667
2002-07-31,-21.2121
2002-08-30,-40.0000
2002-09-30,-46.2687
2002-10-31,-22.2222
2002-11-29,32.4786
2002-12-31,41.5730
2003-01-31,-13.0435
2003-02-28,-33.7500
2003-03-31,-0.9132
2003-04-30,46.6667
2003-05-30,48.4018
2003-06-30,30.7359
2003-07-31,-6.4706
2003-08-29,-5.1136
2003-09-30,0.0000
2003-10-31,2.6756
2003-11-28,-7.8804
2003-12-31,11.6147
2004-01-30,35.5987
2004-02-27,25.9669
2004-03-31,9.9757
2004-04-30,12.7451
2004-05-31,0
2004-06-30,8.6957
2004-07-30,-6.3918
2004-08-31,2.5263
2004-09-30,17.8571
2004-10-29,22.4057
2004-11-30,21.6216
2004-12-31,6.7029
2005-01-31,3.6364
2005-02-28,-0.5155
2005-03-31,-1.2367
2005-04-29,-6.8301
2005-05-31,4.6957
2005-06-30,15.1625
2005-07-29,25.4545
2005-08-31,-6.4815
2005-09-30,9.7638
2005-10-31,0.7740
2005-11-30,-9.5532
2005-12-30,-9.8966
2006-01-31,-3.5439
2006-02-28,3.7138
2006-03-31,0.3379
2006-04-28,-7.2050
2006-05-31,-10.5298
2006-06-30,-22.3105
2006-07-31,5.8904
2006-08-31,20.2239
2006-09-29,37.5887
2006-10-31,34.8516
2006-11-30,21.6845
2006-12-29,1.9231
2007-01-31,4.6463
2007-02-28,-0.7804
2007-03-30,6.5620
2007-04-30,-11.1500
2007-05-31,-0.2670
2007-06-29,17.0639
2007-07-31,-2.3269
2007-08-31,-7.7528
2007-09-28,-19.2397
2007-10-31,15.0602
2007-11-30,-5.4360
2007-12-31,-2.4057
2008-01-31,-14.4566
2008-02-29,-9.5688
2008-03-31,-10.6764
2008-04-30,3.1972
2008-05-30,24.7012
2008-06-30,5.3729
2008-07-31,8.2123
2008-08-29,5.2963
2008-09-30,8.5546
2008-10-31,-35.4374
2008-11-28,-38.8036
2008-12-31,-17.4282
2009-01-30,-31.7665
2009-02-27,-24.4197
2009-03-31,-21.6025
2009-04-30,16.8763
2009-05-29,46.7681
2009-06-30,10.0753
2009-07-31,14.0459
2009-08-31,8.2181
2009-09-30,29.2797
2009-10-30,11.9369
2009-11-30,16.0247
2009-12-31,18.4058
2010-01-29,9.8872
2010-02-26,15.6042
2010-03-31,8.2783
2010-04-30,9.5463
2010-05-31,0
2010-06-30,-18.6819
2010-07-30,-0.3333
2010-08-31,10.3046
2010-09-30,22.7387
2010-10-29,17.0027
2010-11-30,19.0000
2010-12-31,15.5977
2011-01-31,1.5068
2011-02-28,6.9495
2011-03-31,-0.6186
2011-04-29,4.8380
2011-05-31,-0.2570
2011-06-30,1.0132
2011-07-29,-8.8558
2011-08-31,-16.8975
2011-09-30,-35.3782
2011-10-31,11.6890
2011-11-30,26.0896
2011-12-30,14.3394
2012-01-31,23.6248
2012-02-29,29.4232
2012-03-30,53.6854
2012-04-30,-15.7689
2012-05-31,-22.4270
2012-06-29,-22.9412
2012-07-31,1.7478
2012-08-31,4.5253
2012-09-28,5.3217
2012-10-31,-7.8539
2012-11-30,-7.5764
2012-12-31,2.6448
2013-01-31,9.1851
2013-02-28,14.2716
2013-03-29,0
2013-04-30,1.9533
2013-05-31,2.5316
2013-06-28,3.4585
2013-07-31,13.5906
2013-08-30,4.1550
2013-09-30,10.2246
2013-10-31,3.1204
2013-11-29,21.3726
2013-12-31,22.2030
2014-01-31,27.5652
2014-02-28,20.6568
2014-03-31,2.0749
2014-04-30,3.7548
2014-05-30,-7.5609
2014-06-30,10.8888
2014-07-31,3.2443
2014-08-29,4.9078
2014-09-30,-5.0193
2014-10-31,1.3549
2014-11-28,-1.1762
2014-12-31,-0.2992
2015-01-30,-12.4246
2015-02-27,-9.8231
2015-03-31,-0.4952
2015-04-30,10.8092
2015-05-29,22.7178
2015-06-30,10.3578
2015-07-31,-4.5180
2015-08-31,-20.6897
2015-09-30,-23.1849
2015-10-30,-1.7466
2015-11-30,10.2815
2015-12-31,1.7632
2016-01-29,-18.1139
2016-02-29,-14.4478
2016-03-31,-1.6899
2016-04-29,23.3006
2016-05-31,11.0628
2016-06-30,15.0995
2016-07-29,11.1951
2016-08-31,14.4275
2016-09-30,18.5076
2016-10-31,16.2175
2016-11-30,11.7971
2016-12-30,0.8281
2017-01-31,19.5588
2017-02-28,10.6344
