,ROC_daily_60
2000-01-31,-0.0119
2000-02-29,-4.3257
2000-03-31,1.4777
2000-04-28,14.4737
2000-05-31,12.8942
2000-06-30,21.6714
2000-07-31,11.5332
2000-08-31,8.0141
2000-09-29,1.2095
2000-10-31,-2.5435
2000-11-30,0.4579
2000-12-29,8.5355
2001-01-31,10.7536
2001-02-28,12.4071
2001-03-30,7.4543
2001-04-30,5.6820
2001-05-31,0.9269
2001-06-29,6.1043
2001-07-31,8.5959
2001-08-31,2.7667
2001-09-28,3.2430
2001-10-31,-1.4254
2001-11-30,4.0495
2001-12-31,11.8871
2002-01-31,16.3617
2002-02-28,10.8188
2002-03-29,0
2002-04-30,3.9335
2002-05-31,3.1906
2002-06-28,5.5220
2002-07-31,6.4821
2002-08-30,9.9644
2002-09-30,2.3122
2002-10-31,4.5278
2002-11-29,1.5466
2002-12-31,7.9772
2003-01-31,0.5659
2003-02-28,5.3300
2003-03-31,3.2294
2003-04-30,6.2679
2003-05-30,6.5959
2003-06-30,6.6683
2003-07-31,7.6718
2003-08-29,4.0911
2003-09-30,4.1805
2003-10-31,4.5976
2003-11-28,11.4714
2003-12-31,7.7496
2004-01-30,13.4782
2004-02-27,6.7245
2004-03-31,18.5873
2004-04-30,-7.5044
2004-05-31,0
2004-06-30,-6.3291
2004-07-30,13.9803
2004-08-31,15.5584
2004-09-30,6.4362
2004-10-29,14.3710
2004-11-30,13.0351
2004-12-31,19.0687
2005-01-31,-0.7291
2005-02-28,-2.0157
2005-03-31,-11.7118
2005-04-29,8.0102
2005-05-31,9.7993
2005-06-30,19.9969
2005-07-29,18.0379
2005-08-31,1.9450
2005-09-30,-0.4033
2005-10-31,-6.8326
2005-11-30,-2.5369
2005-12-30,7.0929
2006-01-31,18.6426
2006-02-28,12.1804
2006-03-31,11.4816
2006-04-28,-1.5805
2006-05-31,-5.8347
2006-06-30,-6.3423
2006-07-31,4.8939
2006-08-31,8.2839
2006-09-29,11.2144
2006-10-31,13.4065
2006-11-30,19.0674
2006-12-29,14.3586
2007-01-31,22.9803
2007-02-28,12.1826
2007-03-30,7.0374
2007-04-30,-6.1440
2007-05-31,-4.2931
2007-06-29,-15.3707
2007-07-31,-20.3655
2007-08-31,-7.2361
2007-09-28,5.3112
2007-10-31,5.9069
2007-11-30,-4.7362
2007-12-31,-17.4415
